OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
2646,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,1
2652,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,2
2676,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,3
2682,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,4
2685,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,5
2690,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,6
2696,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,7
2700,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,8
2703,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,9
2712,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,10
2742,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,11
2752,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,12
2756,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,13
2788,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,14
2792,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,15
2810,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,16
2814,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,17
2853,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,18
2929,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,19
3525,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,.alpha.-Hyodeoxycholic acid methyl ester,20
12099,.alpha.-Tocopherol nicotinate,.alpha.-Tocopherol nicotinate,.alpha.-Tocopherol nicotinate,.alpha.-Tocopherol nicotinate,.alpha.-Tocopherol nicotinate,.alpha.-Tocopherol nicotinate,21
2645,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,22
2650,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,23
2653,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,24
2658,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,25
2666,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,26
2677,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,27
2683,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,28
2701,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,29
2718,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,30
2736,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,31
2771,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,32
2778,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,33
2813,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,34
2868,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,35
2910,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,36
5226,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,37
5230,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,38
5231,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,39
5243,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,40
5247,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,41
5252,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,42
5257,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,43
5294,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,44
5316,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,45
5323,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,46
5324,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,47
5330,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,48
5332,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,49
5341,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,50
5357,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,51
5362,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,52
5364,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,53
5368,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,54
5376,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,55
5381,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,56
5389,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,57
5391,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,58
