#OTU ID	T589.T2	T586.T2	T602.T2	T596.T2	T603.T2	T583.T2	T601.T2	T592.T2	T576.T2	T600.T2	T590.T2	T577.T2	T599.T2	T570.T2	T578.T2	T598.T2	T595.T2	T571.T2	T580.T2	T574.T2	T585.T2	T594.T2	T588.T2	T582.T2	T581.T2	T584.T2	T575.T2	T591.T2	T597.T2	T573.T2	T593.T2	T572.T2
Unassigned;Other;Other;Other;Other;Other	0.003772614250193	0.006093845216332	0.003982471968037	0.002555778130828	0.005187930121758	0.002666200445824	0.005085093295058	0.00331431676175	0.003058506265005	0.004382188032225	0.004851827288911	0.001722967681303	0.002638820824066	0.004341054445439	0.004151726740895	0.002870957993351	0.00403172794601	0.002447980416157	0.001858343540144	0.007772832696045	0.003867254249483	0.001652209830649	0.00340384147824	0.00136763825968	0.000823361510594	0.003464271035171	0.003155151127166	0.004431399631676	0.003101977510663	0.002548466369346	0.002577923599719	0.001904140144715
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.011317842750579	0.021850787847132	0.017283155045753	0.006009532361677	0.012187518381272	0.013593251453298	0.007654979153851	0.004563977180114	0.000756404775216	0.012687295481945	0.006422562742155	0.000156633425573	0.002337241301316	0.013917884481559	0.033855444423476	0.005855243275914	0.004207020465402	0.004283965728274	0.003758922160747	0.030934620447565	0.006565338609587	0.006721489992865	0.012469174394776	0.027438242584836	0.003073882972884	0.011097410604192	0.003520965750606	0.007308931860037	0.009195147620894	0.010785473741695	0.014354347316616	0.008051792611936
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	8.574123295893E-05	8.70549316618787E-05	0.000335094728702	0.000276300338468	0.000141168166578	0.000218541020149	8.20176337912651E-05	0	3.28871641398362E-05	0.000631494345255	0.000104715696883	5.22111418576724E-05	0	0.000265102561554	0.00384978297792	3.7775763070414E-05	0	0.000382496940024	4.22350804578283E-05	0.000470131009841	0	0	6.94661526171373E-05	4.27386956150098E-05	0	0.00017614937467	4.57268279299465E-05	5.75506445672192E-05	0.000166177366643	0.000318558296168	5.85891727208812E-05	0.000435232033078
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	8.574123295893E-05	0.000261164794986	0.000154659105555	0.000345375423085	0.00015293218046	0.000218541020149	0.000150365661951	0.000162999185004	0.000328871641398	0.000172225730524	0.000139620929177	0.000104422283715	0.000113092321031	0.000165689100971	0.000301943762974	0	8.76462596958675E-05	0.000229498164015	0.000126705241373	0.000376104807873	0.000179872290674	0.000262851563967	0.000173665381543	0.000213693478075	0.000109781534746	0.000293582291116	4.57268279299465E-05	0.000402854511971	0	0.000546099936288	0.000117178345442	0.000761656057886
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.005401697676413	0.001218769043266	0.005567727799974	0.002624853215445	0.002493970942886	0.012194588924341	0.00181805754904	0.001684324911709	0.027329233400204	0.001454350613315	0.003385807532549	0.027463060617136	0.000904738568251	0.002916128177089	0.004755614266843	0.001284375944394	0.000788816337263	0.000994492044064	0.002280694344723	0.008180279571241	0.001528914470726	0.007998197589276	0.043624743843562	0.003889221300966	0.00131737841695	0.003640420409841	0.004755590104714	0.000805709023941	0.001994128399712	0.003822699554018	0.003808296226857	0.005385996409336
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.015090457000772	0.052755288587099	0.036821755380848	0.035090142985425	0.015057937768367	0.057869662135583	0.060788736244959	0.044824775876121	0.126188048804552	0.029814187572957	0.033055254982722	0.094606589046103	0.027029064726505	0.067203499353813	0.034383846008681	0.050430643699003	0.034620272579868	0.035266217870257	0.031465134941082	0.074876198834075	0.042359924453638	0.0625586722241	0.117363064846653	0.04154201213779	0.029256779009771	0.056954964476543	0.03406648680781	0.020315377532228	0.024760427629757	0.068945116956403	0.074115303491915	0.034274522604864
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.003858355483152	0.016801601810743	0.004936203118959	0.004973406092422	0.003811540497618	0.004851610647319	0.012042922561684	0.007660961695192	0.01203670207518	0.011558260137398	0.013229083039548	0.014723542003864	0.003995928676443	0.015243397289326	0.004604642385356	0.010199456029012	0.00784434024278	0.002906976744186	0.004054567723952	0.010530934620448	0.006295530173577	0.004543577034283	0.005001562988434	0.007137362167707	0.007465144362718	0.01033409664729	0.005395765695734	0.009208103130755	0.008087298509943	0.007372349139893	0.004042652917741	0.006800500516838
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.007630969733345	0.045355619395839	0.011573656399021	0.005387856600124	0.013022763366861	0.009746929498667	0.017975531405919	0.008149959250204	0.022231722958529	0.012993474558432	0.010611190617474	0.023651647261526	0.005956195574321	0.018060112005832	0.010605774674467	0.007592928377153	0.009421972917306	0.013922888616891	0.004899269333108	0.01498150818028	0.039032287076176	0.015245390710075	0.008544336771908	0.010599196512523	0.005983093643649	0.015324995596266	0.003292331610956	0.029868784530387	0.005650030465851	0.016883589696915	0.022791188188423	0.0119144769055
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.018091400154334	0.055453991468617	0.035868024229927	0.032948815362299	0.018634197988354	0.068753004939027	0.042867883261568	0.032654170062483	0.04824546979314	0.030522226687334	0.043596635135607	0.026575471205555	0.008142647114261	0.07873546078139	0.019513115682204	0.036793593230583	0.033787633112757	0.041692166462668	0.033788064366263	0.039271610355419	0.071409299397428	0.032743794825579	0.038136917786808	0.017779297375844	0.008343396640685	0.044918090540779	0.016233023915131	0.020315377532228	0.029358001440204	0.042504778374443	0.061460042184204	0.028018062129373
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12	0.001972048358055	0.000957604248281	0.001224384585642	0.000552600676936	0.001423445679666	0.000830455876568	0.000833845943545	0.005052974735126	0.005064623277535	0.00040186003789	0.002548081957485	0.001461911972015	0.000716251366532	0.003346919839613	0.005057558029817	0.001171048655183	0.000306761908936	0.01139840881273	0.00059129112641	0.002758101924403	0.002788020505441	0.000638353798205	0.002778646104686	0.002863492606206	0.000658689208475	0.002055076037813	0.002011980428918	0.000690607734807	0.001495596299784	0.00350414125785	0.001874853527068	0.001142484086829
