585.T0_RB3_01_33073,577.T0_RA8_01_33065,574.T0_RA5_01_33062,598.T0_RC3_01_33086,584.T0_RB2_01_33072,575.T0_RA6_01_33063,601.T0_RC6_01_33089,589.T0_RB6_01_33076,599.T0_RC4_01_33087,580.T0_RA10_01_33067,572.T0_RA3_01_33060,578.T0_RA9_01_33066,576.T0_RA7_01_33064,592.T0_RB9_01_33079,596.T0_RC1_01_33084,600.T0_RC5_01_33088,582.T0_RA12_01_33069,602.T0_RC7_01_33090,594.T0_RB11_01_33081,588.T0_RB5_01_33075,571.T0_RA2_01_33059,593.T0_RB10_01_33080,573.T0_RA4_01_33061,570.T0_RA1_01_33057,581.T0_RA11_01_33068,586.T0_RB4_01_33074,597.T0_RC2_01_33085,590.T0_RB7_01_33077,583.T0_RB1_01_33071,595.T0_RB12_01_33082,603.T0_RC8_01_33091,591.T0_RB8_01_33078
41510,67697,51159,0,0,31298,51753,45537,0,23346,23510,0,37641,0,0,24907,57955,0,43873,0,0,0,53178,0,42296,0,0,72192,82871,28066,0,27522
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,11282,0,19053,0,0,0,17898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9983,0,0,0
0,0,0,0,0,0,0,0,0,0,0,14107,0,0,0,0,0,0,0,0,0,0,10977,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,6642,0,0,0,0,0,0,0,0,0,0,0,12826,0,0,0,0,0,0,0,0,0,0,0
0,0,17868,0,0,0,19941,0,15496,0,0,0,0,0,27519,0,24221,19982,0,0,0,0,0,0,17545,0,0,5926,0,20648,22334,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10697,0,0,0,0,0,0,0,10138,0,0,0,0,0,0,0,0,0
