582.T1_RD8_01_33104,601.T1_RF2_01_33124,585.T1_RD11_01_33107,578.T1_RD5_01_33101,572.T1_RC11_01_33094,602.T1_RF3_01_33128,596.T1_RE9_01_33118,594.T1_RE7_01_33116,575.T1_RD2_01_33098,571.T1_RC10_01_33093,593.T1_RE6_01_33115,589.T1_RE2_01_33111,592.T1_RE5_01_33114,588.T1_RE1_01_33110,590.T1_RE3_01_33112,581.T1_RD7_01_33103,595.T1_RE8_01_33117,599.T1_RE12_01_33121,573.T1_RC12_01_33095,583.T1_RD9_01_33105,570.T1_RC9_01_33092,603.T1_RF4_01_33129,591.T1_RE4_01_33113,576.T1_RD3_01_33099,574.T1_RD1_01_33097,584.T1_RD10_01_33106,597.T1_RE10_01_33119,586.T1_RD12_01_33108,598.T1_RE11_01_33120,580.T1_RD6_01_33102,600.T1_RF1_01_33123,577.T1_RD4_01_33100
0,40378,0,0,73178,0,0,43278,0,69170,52347,0,108509,0,42663,62520,0,56165,0,0,0,62045,0,0,34167,0,0,0,57862,39923,0,70299
0,0,0,0,4868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,33127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6959,0,0,0,9164,0,0,0,0,0,0,0,0,17632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,21389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9202,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,69513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10068,0,0,0,0,0,0,0,31544,0,36523,0,0,38788,17007,0,0,17546,0,0,25002,0,0,34139,0,37584,23935,0,28809,0,12996
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14020,0,0,0,0,0,0,0,15141,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11643,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20567,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5231,0,0,0,7582,0,0,0,0,4786,9597,9547,0,2171,0,12868,0,22545,0,7029,0,0,0,0,0,0,7032,5260,0,0,4784,15041
0,0,0,0,0,0,0,0,0,6646,0,0,0,0,0,0,0,0,0,0,0,19487,0,0,0,0,0,0,0,0,0,0
9402,0,10091,6852,13205,0,13024,0,0,18217,0,26992,16746,0,3515,6719,0,4526,0,9593,0,13053,0,3660,9609,4876,13449,12121,8043,26625,10596,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2418,0,4580,1291,0,0,0,0,0,2593,2421,1961,0,4680,0,3890,0,0,3118,0,0,0,0,0,5696,0,2545,0,3141,0
0,0,0,0,0,14801,0,0,0,0,0,12026,0,0,0,0,0,0,0,0,0,14176,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,37552,0,0,0,0,0,0,17272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6319
0,28583,0,0,0,90507,0,0,0,0,0,47007,17543,0,65581,0,0,0,0,0,0,0,5094,0,0,23206,0,27361,0,0,7455,0
0,0,0,0,8141,0,0,0,0,0,0,0,0,0,0,6116,0,0,0,0,0,0,0,0,0,0,0,0,0,10316,0,0
0,46317,0,0,0,13847,0,0,0,0,0,57080,0,25844,56558,0,0,0,0,0,0,0,14916,0,0,40859,0,60712,10882,0,0,5211
0,0,0,0,0,0,0,0,0,0,0,3169,0,0,0,0,0,5483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13153,0,0,0,0,0,0,0,0,0,27428,0,0,13520,0,0,0,0,0,0,0,17790,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
