581.T4_BD7_01_33212,600.T4_BF1_01_33358,577.T4_BD4_01_33209,592.T4_BE5_01_33349,570.T4_BC9_01_33201,571.T4_BC10_01_33202,580.T4_BD6_01_33211,598.T4_BE10_01_33354,586.T4_BD12_01_33217,588.T4_BE1_01_33345,572.T4_BC11_01_33203,602.T4_BF3_01_33360,574.T4_BD1_01_33206,573.T4_BC12_01_33204,578.T4_BD5_01_33210,590.T4_BE3_01_33347,575.T4_BD2_01_33207,589.T4_BE2_01_33346,596.T4_BE9_01_33353,593.T4_BE6_01_33350,595.T4_BE8_01_33352,599.T4_BE12_01_33356,576.T4_BD3_01_33208,603.T4_BF4_01_33361,591.T4_BE4_01_33348,585.T4_BD11_01_33216,584.T4_BD10_01_33215,601.T4_BF2_01_33359,597.T4_BE11_01_33355,583.T4_BD9_01_33214,582.T4_BD8_01_33213,594.T4_BE7_01_33351
0,56967,41008,0,0,82349,0,0,0,0,16383,0,0,35172,0,48734,0,0,0,83978,0,0,0,0,0,0,48972,0,27243,24942,0,50611
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019,0,0,0,0
0,28036,0,0,0,0,0,0,0,13282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25405,5523,0,0,0,0,0,0,0,0,7742,0,0,0,0,0,0,3611,0,0,7513,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,15723,0,0,19652,16369,0,0,11087,3602,19581,11016,0,0,18952,19712,0,15837,0,0,0,36837,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11622,0,0,8686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3287,0,6015,0,0,0,0,0,6487,6242,0,0,7490,0,0,0,0,8976,0,6629,0,0,0,0,0,0,12766,4762,0,0,0,0
