570.T5_BF5_01_33362,571.T5_BF6_01_33363,572.T5_BF7_01_33364,573.T5_BF8_01_33365,574.T5_BF9_01_33366,575.T5_BF10_01_33367,576.T5_BF11_01_33368,577.T5_BF12_01_33369,578.T5_BG1_01_33371,580.T5_BG2_01_33372,581.T5_BG3_01_33373,582.T5_BG4_01_33374,583.T5_BG5_01_33375,584.T5_BG6_01_33376,585.T5_BG7_01_33377,586.T5_BG8_01_33378,588.T5_BG9_01_33379,589.T5_BG10_01_33380,590.T5_BG11_01_33381,591.T5_BG12_01_33382,592.T5_BH1_01_33384,593.T5_BH2_01_33385,594.T5_BH3_01_33386,595.T5_BH4_01_33387,596.T5_BH5_01_33388,597.T5_BH6_01_33389,598.T5_BH7_01_33390,599.T5_BH8_01_33391,600.T5_BH9_01_33392,601.T5_BA1_01_33398,602.T5_BA2_01_33399,603.T5_BA3_01_33400
15149,0,0,0,109892,52032,0,0,4007,0,0,0,0,131702,0,0,0,40749,29905,57597,0,22673,0,0,111927,0,0,50523,58359,126898,0,0
0,0,0,0,0,0,0,3478,0,0,0,0,0,0,4349,0,0,0,4434,6247,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54687,17822,8027,0,0,0,0,10822,9116,6017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16686,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16575,0,0,23189,0,0,0,0,0,18659,0,0,0,0,0,0,0,0,0,0,0,0,25055,19736,0,0,0,0,0,11298,8676
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11128,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8036,0,0,0,0,7566,0,0,0,12325,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,4679,0,0,0,7858,4401,0,0,3393,0,0,4233,12299,4162,0,0,0,0,0,0,5694,3858,5439,0,0,0,0,18922,5865,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8647,0,0,0,0,0,0,0,0,0,0,0
8823,11373,4247,4324,0,2598,0,2776,17510,2482,16768,13260,5494,0,0,6142,0,3586,7736,11753,18823,2937,0,21764,5337,11038,6318,10158,12728,20706,9977,12991
0,0,0,0,0,0,0,0,0,0,0,0,12629,0,0,0,0,0,0,0,3605,0,0,0,0,0,0,0,0,0,0,0
0,0,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6029,0,0,2463,2634,0,3077,6487,0,2875,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13223,0,0,0,0,15011,0,28420,0,0,0,0,0,0
0,0,6545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41505,27051,0,0,13610,0,0,17061,0,46575,5537,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5542,0,0,0,0,0,0,12252,0,0,0,0,71085,21488,7750,0,11427,0,0,0,8709,23594
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9582,0,0,4247,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,23640,0,0,0,0,0,0,0,0,0,0,9212,97486,36449,0,0,0,0,0,27726,9807,0
0,0,0,0,0,0,0,0,15272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10848,0,0,0,0,37452,8513,3340
0,0,0,0,3440,0,0,3440,0,0,0,0,0,4486,5562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6598,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9493,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,0,0,0,0,0,0,0,16043,0,0,0,0,0,0,2244,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22896,0,0,0,0,29244,45880,41042,0,0,0,0,65347,0,0
0,0,0,0,58098,0,0,0,43996,0,38356,0,0,0,0,0,0,0,85793,0,43155,0,0,60002,141713,177948,0,0,0,42716,0,105445
0,0,0,0,0,0,0,0,3170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6312,6155,5177,11856,10640,9254,17687,12550,4820,0,0,0,30925,0,10432,0,9626,21711,0,0,7319,5280,0,16828,0,8376,26191,0,8245,0,10861
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9508,0,0,0,0,0,0,0,0,0,19161,0,0
0,0,10157,0,0,0,0,0,19575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6278,0,8425,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4429,0,0,0,0,0,0,0,0,0,0,0,9864,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7222,0,0,0,0,56910,0,0,0,0,0,0,0,0,0
0,7487,0,0,8222,6668,0,0,13620,0,0,0,0,26073,7319,0,0,0,0,15437,13029,0,0,0,12169,0,0,6548,0,8371,9285,21810
0,6349,0,0,0,0,5023,5658,0,0,0,0,0,0,0,0,0,8313,0,0,0,0,10105,0,0,0,9563,16780,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3803,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16314,0,3389,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4271,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,0,0,0,0,0,1333,15725,6239,10817,0,0,0,0,2125,11181,9531
14911,0,0,0,0,0,7102,0,0,0,34071,0,0,0,23638,13236,15145,47699,28159,0,0,0,96169,0,46752,0,0,13875,15298,13846,0,0
0,24677,29827,0,36548,21361,0,0,32930,0,26798,0,0,0,0,71607,64153,59147,0,0,0,54544,98338,204480,157417,0,68606,73056,35928,165837,67490,128199
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6036,0,0,0,0,0,0,0
66649,57998,58772,69380,51434,19774,53657,0,45636,32443,99169,0,0,37508,65798,114549,143775,213181,71700,68202,0,201433,290703,246172,330153,0,109529,195984,112545,332465,86568,129707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87023,97102,45286,37108,91310,86989,22997,18749,117725,82450,145978,60396,24239,40163,59384,70968,75314,84654,91670,52107,48011,86813,116531,184457,394443,249684,36784,121803,96791,167708,95898,273014
0,0,0,3345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19875,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15140,0,0,0,0,0,0,0,0,0
