OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
1,s_Bacteroides_caecimuris,s_Bacteroides_caecimuris,s_Bacteroides_caecimuris,s_Bacteroides_caecimuris,s_Bacteroides_caecimuris,s_Bacteroides_caecimuris,s_Bacteroides_caecimuris
2,s_uncultured_bacterium,s_uncultured_bacterium,s_uncultured_bacterium,s_uncultured_bacterium,s_uncultured_bacterium,s_uncultured_bacterium,s_uncultured_bacterium
3,s_Parabacteroides_sp._YL27,s_Parabacteroides_sp._YL27,s_Parabacteroides_sp._YL27,s_Parabacteroides_sp._YL27,s_Parabacteroides_sp._YL27,s_Parabacteroides_sp._YL27,s_Parabacteroides_sp._YL27
4,s_Muribaculum_intestinale,s_Muribaculum_intestinale,s_Muribaculum_intestinale,s_Muribaculum_intestinale,s_Muribaculum_intestinale,s_Muribaculum_intestinale,s_Muribaculum_intestinale
5,s_Bifidobacterium_pseudolongum,s_Bifidobacterium_pseudolongum,s_Bifidobacterium_pseudolongum,s_Bifidobacterium_pseudolongum,s_Bifidobacterium_pseudolongum,s_Bifidobacterium_pseudolongum,s_Bifidobacterium_pseudolongum
6,s_Lachnoclostridium_sp._YL32,s_Lachnoclostridium_sp._YL32,s_Lachnoclostridium_sp._YL32,s_Lachnoclostridium_sp._YL32,s_Lachnoclostridium_sp._YL32,s_Lachnoclostridium_sp._YL32,s_Lachnoclostridium_sp._YL32
7,s_Parabacteroides_sp._CT06,s_Parabacteroides_sp._CT06,s_Parabacteroides_sp._CT06,s_Parabacteroides_sp._CT06,s_Parabacteroides_sp._CT06,s_Parabacteroides_sp._CT06,s_Parabacteroides_sp._CT06
8,s_Parabacteroides_distasonis,s_Parabacteroides_distasonis,s_Parabacteroides_distasonis,s_Parabacteroides_distasonis,s_Parabacteroides_distasonis,s_Parabacteroides_distasonis,s_Parabacteroides_distasonis
9,s_Alistipes_shahii,s_Alistipes_shahii,s_Alistipes_shahii,s_Alistipes_shahii,s_Alistipes_shahii,s_Alistipes_shahii,s_Alistipes_shahii
10,s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens,s_Bacteroides_xylanisolvens
11,s_Alistipes_finegoldii,s_Alistipes_finegoldii,s_Alistipes_finegoldii,s_Alistipes_finegoldii,s_Alistipes_finegoldii,s_Alistipes_finegoldii,s_Alistipes_finegoldii
