Sample,Treat,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,Pseudobutyrivibrio_ruminis,Parabacteroides_goldsteinii,Lactobacillus_reuteri,Lactobacillus_murinus,Lactobacillus_johnsonii,Lactobacillus_gasseri,Lactobacillus_animalis,Akkermansia_muciniphila,Paenibacillus_sp._IHB_B_3084,Corynebacterium_uterequi,Borrelia_anserina,Candidatus_Arthromitus_sp._SFB-mouse-NL,Candidatus_Arthromitus_sp._SFB-mouse,Entomoplasma_freundtii,Bifidobacterium_pseudolongum
T5_570,Placebo,68062,46584,0,0,5280,0,464774,475567,0,36906,24090,0,5286,15014,0,0,26,39,2199,221,1148,978,58,8181,819,573,185,263,399,109,99410
T5_571,Placebo,32568,0,0,0,16585,10377,412652,932729,181850,0,0,2145,14739,0,0,0,59,21,14421,476,1834,1072,119,4851,1058,705,182,1026,1381,114,217502
T5_572,Placebo,0,0,0,0,0,0,307968,376167,0,0,0,0,12070,0,0,0,153,115,15827,200,1983,1216,63,13613,1418,936,147,981,1129,91,182809
T5_573,Placebo,27764,0,0,0,20559,8438,242794,214591,86772,0,0,0,4048,0,0,0,24,51,61204,251,7940,3590,62,20925,847,835,158,1044,1397,66,159523
T5_574,Placebo,0,0,0,0,18689,0,66218,238205,0,0,0,0,8364,0,0,0,33,39,4736,288,1338,903,85,4154,832,1021,119,743,1018,47,213613
T5_575,Placebo,0,0,0,0,39125,7093,187495,208948,62663,0,0,0,0,0,0,0,20,34,14042,350,2367,1420,98,4185,698,778,145,415,581,79,338702
T5_576,Placebo,2879,0,0,0,28567,0,215895,0,25640,0,0,0,0,0,0,0,21,42,7895,385,1258,1017,141,3007,875,702,138,1616,2194,60,12033
T5_577,Placebo,0,0,0,0,43393,2748,254243,226107,20380,0,0,0,0,0,0,0,40,17,2017,131,862,640,41,2637,1178,648,86,1652,2163,87,2935
T5_578,Letrozole,101711,0,26887,0,94434,12782,455667,99467,0,0,15375,0,21212,0,0,0,13,93,5335,194,1306,930,66,3975,991,745,163,406,567,66,195005
T5_580,Letrozole,14031,0,3476,0,0,0,482999,401534,0,0,0,0,5546,0,0,0,115,97,112840,318,14540,4536,103,88167,1176,781,130,7,39,93,116132
T5_581,Letrozole,101495,0,19533,0,0,0,614008,741010,0,0,0,0,17213,24271,0,0,20,111,55887,576,5008,1925,213,24424,1129,699,130,20,51,61,29967
T5_582,Letrozole,0,0,0,0,178946,0,325966,318386,0,0,0,0,0,0,0,0,11,197,51127,338,3590,2065,87,44874,1427,720,201,779,936,135,56102
T5_583,Letrozole,0,0,0,0,35559,3447,295384,129176,90568,0,0,0,0,0,0,0,4,118,3723,124,1468,1115,43,99117,752,1021,175,739,867,122,17936
T5_584,Letrozole,0,0,0,51332,14499,2712,301893,131467,69872,0,37494,0,6435,0,0,137207,222,94,43792,299,3015,1607,91,6903,1766,687,179,7,18,121,128506
T5_585,Letrozole,0,0,0,0,0,0,311264,169875,0,0,9676,0,0,0,0,0,1214,35,36821,44,2936,1686,8,3526,7187,327,678,7,114,568,9123
T5_586,Letrozole,47177,0,0,35289,14758,0,312413,300681,31453,0,0,0,6585,0,0,0,12,56,75536,394,4134,1553,129,64129,638,859,89,656,893,56,285975
T5_588,Co-P,0,0,0,0,0,0,187046,284516,145835,0,0,0,5150,0,0,0,7,229,10410,240,9120,1465,56,7894,796,746,113,99,122,65,55040
T5_589,Co-P,0,43537,5778,22149,0,0,377974,415692,0,0,0,0,7679,10054,0,0,156,142,25356,291,49559,3511,56,196076,1346,576,104,102,152,56,154753
T5_590,Co-P,48742,0,0,0,117115,14660,208813,0,30620,0,0,0,10222,0,0,2880,44,55,91995,704,14774,2934,222,187610,1222,987,207,151,192,93,99270
T5_591,Co-P,55249,65339,0,0,15788,4443,343343,599657,86379,0,0,0,16432,0,0,0,83,60,20048,180,4979,1046,50,37521,815,574,119,101,106,48,68789
T5_592,Co-P,0,68956,0,0,53276,4259,182599,633477,175743,0,0,0,24489,0,0,0,7,53,53370,550,3492,1421,154,100815,656,745,108,440,546,83,160435
T5_593,Co-P,93442,44337,14042,16802,0,0,340654,609718,0,942425,42860,3412,4575,0,21099,0,8,72,25929,310,1501,773,87,28250,706,667,111,194,297,28,229455
T5_594,Co-P,0,0,19370,7898,0,0,359578,464901,76475,0,0,0,17619,58014,0,0,69,93,24879,26,21154,4837,11,3841,769,590,79,779,946,25,170946
T5_595,Co-P,36335,0,0,0,0,0,405400,175187,63062,0,0,3965,34439,36940,0,0,660,103,42989,132,33097,13134,26,3587,4000,511,189,874,1116,75,215291
T5_596,Co-L,39523,0,40640,13692,7132,0,455260,981159,31735,0,0,6464,25695,0,4460,11407,196,62,134203,620,26134,10588,170,37127,1562,770,156,38,64,140,514656
T5_597,Co-L,166966,0,18640,0,51196,5777,689551,0,114149,16659,29282,4084,29934,0,0,0,20,87,92617,452,8851,3065,109,20528,689,818,117,245,302,44,435279
T5_598,Co-L,0,0,6833,0,0,0,490287,531257,37905,0,0,2247,10928,0,0,9600,34,120,9444,412,3440,2001,87,161918,842,785,74,25,27,29,802291
T5_599,Co-L,30045,0,0,0,0,0,282225,173068,0,18715,0,0,5410,0,0,0,108,183,49813,749,8545,4670,161,79399,1336,599,121,9,29,101,500426
T5_600,Co-L,36593,0,16320,0,2899,0,0,372227,296300,0,0,0,13037,0,0,0,33,168,73905,230,4640,2202,57,413600,846,795,133,25,42,63,234305
T5_601,Co-L,23423,0,0,0,0,0,580942,739987,184057,30446,12370,0,24102,0,0,0,359,354,15257,197,1581,1158,45,24109,2884,532,229,24,41,205,138574
T5_602,Co-L,41219,0,0,0,11091,0,205955,107071,0,0,0,0,6645,9048,0,0,24,71,79358,162,15741,6376,38,78226,764,1117,123,2097,2546,86,430950
T5_603,Co-L,160155,0,0,13366,10602,0,508582,38318,167771,0,3845,2306,23144,14156,0,0,33,29,55125,70,10442,4677,12,37544,706,617,138,209,229,86,136934
