Sample,Treat,β-Hyodeoxycholic acid.7,γ-Muricholic acid.13,Chenodeoxycholic acid,Cholic acid.7,Cholic acid methyl ester,Cholic acid methyl ester.2,12-Ketodeoxycholic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).4,Cholic acid (NIST14).14,Cholic acid (NIST14).17,Cholic acid (NIST14).19,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Taurocholic acid.1,Ursocholic acid.3,Pseudobutyrivibrio_ruminis,Parabacteroides_goldsteinii,Lactobacillus_reuteri,Lactobacillus_murinus,Lactobacillus_johnsonii,Lactobacillus_gasseri,Lactobacillus_animalis,Akkermansia_muciniphila,Paenibacillus_sp._IHB_B_3084,Corynebacterium_uterequi,Borrelia_anserina,Candidatus_Arthromitus_sp._SFB-mouse-NL,Candidatus_Arthromitus_sp._SFB-mouse,Entomoplasma_freundtii,Bifidobacterium_pseudolongum
T5_570,Placebo,3.4281177170985786,3.048955797156366,-0.5171415245688733,-0.5171415245688733,0.8716247603397171,-0.5171415245688733,5.349249928556793,5.372206438992163,-0.5171415245688733,2.816072802075833,2.389495479248327,-0.5171415245688733,0.8727604788036443,1.9166817617723577,-0.5171415245688733,-0.5171415245688733,-4.441960078339108,-4.036494970230943,-0.0042986258058288485,-2.301893914842837,-0.6542800394810788,-0.8145469463257733,-3.63961360581417,1.3095130551531078,-0.9919725325075204,-1.3491708996458502,-2.479700791282265,-2.1279025841828263,-1.7110951994707273,-3.0087087341314467,3.806951374845601
T5_571,Placebo,2.4391170616292204,-0.3817166683099895,-0.3817166683099895,-0.3817166683099895,1.7642855228275582,1.2953786690516838,4.978391473177894,5.79390154820507,4.158969021861541,-0.3817166683099895,-0.3817166683099895,-0.28107359719147684,1.6462838922831633,-0.3817166683099895,-0.3817166683099895,-0.3817166683099895,-3.8744309846478746,-4.907445990830171,1.6244723280084763,-1.786550574322174,-0.4377137757371843,-0.974687086922847,-3.1728449354420647,0.5349717196916224,-0.9878328161353496,-1.3937706257413254,-2.7479617414767983,-1.0185454028228795,-0.7214052751443019,-3.2157699801590987,4.337994896317303
T5_572,Placebo,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,5.3159595518066025,5.515996864055619,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,2.0766867054439384,-0.44740768582189716,-0.44740768582189716,-0.44740768582189716,-2.291353687255203,-2.576859480284389,2.347681012685644,-2.023474242099603,0.27057451987215675,-0.21846954612152647,-3.1786568822561065,2.1969888888648343,-0.06478890155556627,-0.4801761321700466,-2.331359021868902,-0.43321914908227566,-0.2927040444979774,-2.8109321021307885,4.794405562278254
T5_573,Placebo,2.533602500501641,-0.888423643455095,-0.888423643455095,-0.888423643455095,2.2331610842961003,1.3426075967264506,4.702075630207438,4.578596173851245,3.673146272005119,-0.888423643455095,-0.888423643455095,-0.888423643455095,0.608085215009468,-0.888423643455095,-0.888423643455095,-0.888423643455095,-4.519839165609888,-3.766067363233507,3.324074829883871,-2.1724400568260496,1.281775558283348,0.48801448552449145,-3.5707586109127423,2.250806899399843,-0.9561923013057791,-0.970461271106978,-2.635297962930867,-0.7470782275152494,-0.4558106367008712,-3.508238253931408,4.282050395480251
T5_574,Placebo,-0.5568860165746266,-0.5568860165746266,-0.5568860165746266,-0.5568860165746266,2.897726786498603,-0.5568860165746266,4.1627440003176535,5.4429233184753985,-0.5568860165746266,-0.5568860165746266,-0.5568860165746266,-0.5568860165746266,2.0937284525768245,-0.5568860165746266,-0.5568860165746266,-0.5568860165746266,-3.441456046505219,-3.2744019618420532,1.5249845685921422,-1.2750031278357534,0.2609676327164747,-0.13224105455471413,-2.495312351481382,1.3938633964643588,-0.21413116715049085,-0.009425789807033347,-2.15884011486017,-0.32726756325394035,-0.01236841086123075,-3.087816006261641,5.333957637667718
T5_575,Placebo,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,3.237576451072439,1.5299231844320715,4.804566980600359,4.912900219392375,3.7085859640238494,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,-0.5180302165940978,-4.341208203216024,-3.810579952153854,2.212867640807179,-1.4790073222865558,0.43243813274396903,-0.07852832617470895,-2.7519729980994425,1.0023215061535602,-0.7887213740076424,-0.6802139525916235,-2.3602067343494406,-1.308661956539317,-0.972189719918104,-2.967492624302994,5.395935466949031
T5_576,Placebo,1.3374023108454436,-0.8572218603068267,-0.8572218603068267,-0.8572218603068267,3.632211504694386,-0.8572218603068267,5.654751477598148,-0.8572218603068267,3.5241129312678736,-0.8572218603068267,-0.8572218603068267,-0.8572218603068267,-0.8572218603068267,-0.8572218603068267,-0.8572218603068267,-0.8572218603068267,-3.58327354204331,-2.8901263614833645,2.34618894692301,-0.6745526454789488,0.509482457493653,0.2968164162818274,-1.679036089388564,1.3809022032217966,0.14642790659088156,-0.0738625757409217,-1.7005422946095283,0.7599132593143079,1.0656856610684429,-2.533451417544631,2.76761217467143
T5_577,Placebo,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,3.811531798222203,1.05210703480721,5.57952416304003,5.46224199900411,3.055787688241686,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,-0.48371757749621214,-3.177642164421094,-4.033308274478815,0.7428449194191815,-1.9913242953338788,-0.10726634787133715,-0.40505344218131256,-3.152949551830723,1.0108755678182568,0.20505174567650197,-0.3926309221827555,-2.4121743222815226,0.5432203355458931,0.8127298074180285,-2.4006134998804463,1.1179411137271664
T5_578,Letrozole,3.8692688652355613,-0.6680182744952354,2.5387763051905314,-0.6680182744952354,3.7950345845689695,1.7951713379995402,5.368895686355918,3.8469593376337654,-0.6680182744952354,-0.6680182744952354,1.9798762204640319,-0.6680182744952354,2.3017004660463343,-0.6680182744952354,-0.6680182744952354,-0.6680182744952354,-5.09567251474915,-3.1280223790574304,0.9214222915251673,-2.3927637131473585,-0.48589756237431025,-0.8254372860633845,-3.4709671301842615,0.6271581548777458,-0.7619073378806984,-1.047237653831127,-2.5668716714039235,-1.6542687126089541,-1.320262568482935,-3.4709671301842615,4.520158606032113
T5_580,Letrozole,2.051181589000014,-0.3183263088738446,0.655794628991301,-0.3183263088738446,-0.3183263088738446,-0.3183263088738446,5.58992700484521,5.405204633830463,-0.3183263088738446,-0.3183263088738446,-0.3183263088738446,-0.3183263088738446,1.1229893687817416,-0.3183263088738446,-0.3183263088738446,-0.3183263088738446,-2.752910729030731,-2.923131878890599,4.135883307721951,-1.735791474613805,2.0868158936935286,0.921957988013606,-2.863113869164346,3.889145164929589,-0.4279687289354097,-0.8372677075542958,-2.630308406938399,-5.5519327083386685,-3.8342812112643347,-2.9652433642407257,4.164639896776228
