,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo453595,61.3992769180409,-6.84977645291224,6.84977645291224,1.3054175666095,-5.24719187800025,1.54435033104102E-07,0.000103780342246,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo435460,40.8004347366318,-5.90183180471646,5.90183180471646,1.26171972588023,-4.6776092056412,2.90239010298364E-06,0.000561003199228,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo272061,41.035454030923,-4.59075578622191,4.59075578622191,0.986718533845408,-4.65254845100655,3.2785766992723E-06,0.000561003199228,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo549429,2.28061064722664,-4.39541081534246,4.39541081534246,2.31243530523817,-1.90077136661333,0.057331966087641,0.542634946632322,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo321337,31.2016517215654,-4.36828167434856,4.36828167434856,1.03478504389272,-4.22143874240364,2.42747927448322E-05,0.003262532144905,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_Anaerostipes",Clostridiales,Lachnospiraceae,Anaerostipes,NA,NA
denovo443621,5.34021562618011,-4.16779804007738,4.16779804007738,1.22793750670215,-3.39414507442708,0.000688432126721,0.057828298644532,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo79770,3.70617399586367,4.00572383090381,4.00572383090381,1.30842620235915,3.06148243109266,0.002202439167548,0.095415594766701,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo474098,2.46856293291712,-3.975164330662,3.975164330662,1.2813767011633,-3.10226050391983,0.001920488752165,0.095415594766701,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo340110,8.14184681192555,-3.96631514003812,3.96631514003812,1.23912416603502,-3.20090209581631,0.00136998072683,0.08369336803909,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo592012,4.54441716869598,3.95380149857987,3.95380149857987,2.30322834711962,1.71663461138121,0.086045954372458,0.644589284495854,Bacteria,Cyanobacteria,4C0d-2,"O_YS2,F_NA,G_NA",YS2,NA,NA,NA,NA
denovo491556,7.55024724700589,-3.91389094181467,3.91389094181467,1.2136809229402,-3.22481046528528,0.001260560934777,0.08369336803909,Bacteria,Tenericutes,Mollicutes,"O_Anaeroplasmatales,F_Anaeroplasmataceae,G_Anaeroplasma",Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,NA,NA
denovo167965,2.30581100351393,-3.87447440392442,3.87447440392442,1.19814321340869,-3.23373229557561,0.001221839261099,0.08369336803909,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo5135,8.44355234824611,-3.76903464225265,3.76903464225265,1.08888828666809,-3.46136025926552,0.000537453062066,0.051595493958368,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo584291,52.4297877787027,-3.68198709936176,3.68198709936176,0.792035758892655,-4.64876371807952,3.33930475731243E-06,0.000561003199228,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo353230,9.80468585868229,-3.52576182557902,3.52576182557902,1.38190592453027,-2.55137615592572,0.010729845021144,0.288418234168356,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo175813,4.3047813915057,-3.39216159748856,3.39216159748856,2.12189101098921,-1.59865025108296,0.10989833741875,0.688891276340399,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,flavefaciens,NA
denovo506947,3.37580048037566,-3.36581948041524,3.36581948041524,1.35267953010824,-2.48826082268422,0.01283695501874,0.308086920449762,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo44883,2.31974397097008,-3.34784211433619,3.34784211433619,2.84076561431666,-1.17849994292525,0.238597355078089,0.880252682416603,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo151728,26.5673390229725,-3.29744344801017,3.29744344801017,1.08035408177206,-3.05218770738712,0.002271799875398,0.095415594766701,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo324077,36.0031378537755,3.12967696052207,3.12967696052207,0.772778940220875,4.04989939248027,5.12396572101185E-05,0.005738841607533,Bacteria,Firmicutes,Bacilli,"O_Lactobacillales,F_Lactobacillaceae,G_Lactobacillus",Lactobacillales,Lactobacillaceae,Lactobacillus,NA,NA
denovo187690,45.1780122351822,-3.11782202897012,3.11782202897012,1.13930826114955,-2.73659213690269,0.00620792078905,0.189623762283705,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo283443,2.54821072888671,-3.06584802880121,3.06584802880121,1.26113712209665,-2.43101878065742,0.015056434096532,0.326384635899007,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo52359,7.98986014119369,-2.98118080081226,2.98118080081226,1.26845252271086,-2.35025020443104,0.018760795358337,0.350201513355617,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo502136,42.9835942041083,2.96878860803315,2.96878860803315,1.022704707025,2.90287957769279,0.003697487829895,0.130774306404716,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo254466,8.47015545074887,-2.90859105867384,2.90859105867384,1.30420126032045,-2.23017040940382,0.025736131914099,0.386568192424261,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo513369,53.7338341276138,2.87163686953673,2.87163686953673,1.17103498821588,2.45222123884769,0.014197733899024,0.326384635899007,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo552610,38.3970595165904,-2.81716336760567,2.81716336760567,0.91855175526134,-3.06696204266046,0.002162463151302,0.095415594766701,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo181414,23.807021402696,-2.80890949194237,2.80890949194237,0.911441771410452,-3.08183098476559,0.002057316144515,0.095415594766701,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo234293,2.32018667259364,-2.75957531744541,2.75957531744541,1.8481967637943,-1.49311770884182,0.135406377791675,0.764647780470634,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo596434,54.8999631458789,-2.73638542727575,2.73638542727575,1.01745877035209,-2.68943126445195,0.007157388531765,0.209120221449836,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo568172,2.10011827858013,-2.73343360725921,2.73343360725921,1.19646910483579,-2.28458352682192,0.022337259767209,0.368659264906922,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo277067,2.73752826664204,-2.70212646737716,2.70212646737716,1.03322846938927,-2.61522649387928,0.008916830392201,0.24967125098164,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Oscillospira",Clostridiales,Ruminococcaceae,Oscillospira,NA,NA
denovo126627,8.31338759310975,-2.58524221461332,2.58524221461332,1.29374166992333,-1.99826771813459,0.045687643353704,0.462028630928107,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo317364,33.2248389169852,2.56745450428279,2.56745450428279,1.12511686990962,2.28194472320821,0.022492603960095,0.368659264906922,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
