,baseMean,log2FoldChange,Absolute,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,New,Order,Family,Genus,Species,Rank1
denovo175813,11.3270522476732,-6.5933056497079,6.5933056497079,2.31168530116863,-2.85216402352637,0.004342268814712,0.082775012043273,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_Ruminococcus",Clostridiales,Ruminococcaceae,Ruminococcus,flavefaciens,NA
denovo239422,26.5132959713073,-4.16156140198697,4.16156140198697,1.36963636644591,-3.03844254134829,0.002378044493781,0.081663323404348,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo340110,13.0921458301799,-3.85493007309098,3.85493007309098,1.29453671795422,-2.97784529370707,0.002902824656722,0.081663323404348,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo255803,13.9366232463056,3.83811631786134,3.83811631786134,1.20744787285252,3.17870146128463,0.001479363729374,0.080255482318528,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo278275,12.8753493247439,-3.18750228236536,3.18750228236536,1.13591404781694,-2.80611221288377,0.005014322702628,0.082775012043273,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_Rikenellaceae,G_NA",Bacteroidales,Rikenellaceae,NA,NA,NA
denovo90825,40.2762712291299,-3.0898031167484,3.0898031167484,1.14869698607758,-2.68983304927006,0.007148777322249,0.087195832393381,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo356692,24.38185308366,-2.99958429714668,2.99958429714668,0.835441300555257,-3.5904189739639,0.000330146850614,0.045505686025864,Bacteria,Verrucomicrobia,Verrucomicrobiae,"O_Verrucomicrobiales,F_Verrucomicrobiaceae,G_Akkermansia",Verrucomicrobiales,Verrucomicrobiaceae,Akkermansia,muciniphila,NA
denovo272061,19.4603358964081,-2.83176721615091,2.83176721615091,0.966392936175209,-2.93024411722056,0.003386958113544,0.081663323404348,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Lachnospiraceae,G_NA",Clostridiales,Lachnospiraceae,NA,NA,NA
denovo96132,40.0947779780049,2.56011136790366,2.56011136790366,0.866904771097419,2.95316331534639,0.003145355095083,0.081663323404348,Bacteria,Bacteroidetes,Bacteroidia,"O_Bacteroidales,F_S24-7,G_NA",Bacteroidales,S24-7,NA,NA,NA
denovo52359,19.2352698874086,-2.55751298466012,2.55751298466012,1.3487987807479,-1.89614123408533,0.057941371398718,0.256597501908608,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_Ruminococcaceae,G_NA",Clostridiales,Ruminococcaceae,NA,NA,NA
denovo401798,24.7857817953329,2.54312087284395,2.54312087284395,0.968323081384459,2.62631442101733,0.008631504512836,0.088015329617903,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
denovo134905,57.5187324479013,2.48830856273708,2.48830856273708,0.951558544664321,2.61498210140594,0.008923213140986,0.088015329617903,Bacteria,Firmicutes,Clostridia,"O_Clostridiales,F_NA,G_NA",Clostridiales,NA,NA,NA,NA
