OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
1,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
2,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
3,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
4,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
5,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
6,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
7,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
8,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester ,α-Hyodeoxycholic acid methyl ester ,.alpha.-Hyodeoxycholic acid methyl ester 
9,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid
10,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,.beta.-Hyodeoxycholic acid ,β-Hyodeoxycholic acid,.beta.-Hyodeoxycholic acid 
