OTUs,571.T0_RA2_01_33058,582.T1_RD8_01_33104,586.T5_BG8_01_33378,571.T2_RF6_01_33131,578.CT5_RA11_01_33408,576.T5_BF11_01_33368,581.T4_BD7_01_33212,584.T5_BG6_01_33376,585.T0_RB3_01_33073,601.T1_RF2_01_33124,600.T4_BF1_01_33358,578.T5_BG1_01_33371,596.T2_RH5_01_33156,585.T1_RD11_01_33107,578.T1_RD5_01_33101,601.T5_BA1_01_33398,572.T1_RC11_01_33094,602.T1_RF3_01_33128,577.T4_BD4_01_33209,571.T3_BA2_01_33167,592.T4_BE5_01_33349,572.T3_BA3_01_33169,578.T2_RG1_01_33139,577.T0_RA8_01_33065,597.T3_BC2_01_33194,596.T1_RE9_01_33118,589.T3_BB6_01_33185,588.T2_RG9_01_33147,599.T2_RH8_01_33159,602.T2_RH11_01_33162,594.T1_RE7_01_33116,597.T2_RH6_01_33157,584.T3_BB2_01_33181,575.T1_RD2_01_33098,570.T4_BC9_01_33201,577.CT5_RA10_01_33407,590.T3_BB7_01_33186,589.T2_RG10_01_33148,573.T2_RF8_01_33133,588.T5_BG9_01_33379,575.T2_RF10_01_33135,594.T5_BH3_01_33386,574.T0_RA5_01_33062,598.T3_BC3_01_33195,581.CT5_BB1_01_33411,598.T0_RC3_01_33086,584.T0_RB2_01_33072,575.T0_RA6_01_33063,601.T0_RC6_01_33089,577.T3_BA8_01_33174,598.T5_BH7_01_33390,580.T5_BG2_01_33372,571.T4_BC10_01_33202,576.T2_RF11_01_33136,581.T2_RG3_01_33141,580.T4_BD6_01_33211,573.T5_BF8_01_33365,600.T2_RH9_01_33160,599.T3_BC4_01_33196,584.T2_RG6_01_33144,599.T5_BH8_01_33391,602.T5_BA2_01_33399,601.T2_RH10_01_33161,583.T2_RG5_01_33143,598.T4_BE10_01_33354,589.T0_RB6_01_33076,595.T2_RH4_01_33155,571.T1_RC10_01_33093,593.T1_RE6_01_33115,589.T1_RE2_01_33111,599.T0_RC4_01_33087,571.CT5_BA5_01_33402,580.T0_RA10_01_33067,572.T0_RA3_01_33060,586.T4_BD12_01_33217,592.T1_RE5_01_33114,590.T2_RG11_01_33149,583.CT5_BB3_01_33413,570.T2_RF5_01_33130,574.T2_RF9_01_33134,578.T0_RA9_01_33066,586.T2_RG8_01_33146,572.CT5_BA6_01_33403,588.T1_RE1_01_33110,590.T1_RE3_01_33112,593.T5_BH2_01_33385,577.T2_RF12_01_33137,581.T1_RD7_01_33103,588.T4_BE1_01_33345,574.T5_BF9_01_33366,603.T2_RH12_01_33163,595.T1_RE8_01_33117,585.CT5_BB5_01_33415,582.T2_RG4_01_33142,599.T1_RE12_01_33121,588.T3_BB5_01_33184,572.T4_BC11_01_33203,582.T5_BG4_01_33374,573.T1_RC12_01_33095,593.T2_RH2_01_33153,581.T3_BA11_01_33177,584.CT5_BB4_01_33414,582.CT5_BB2_01_33412,592.T5_BH1_01_33384,576.T0_RA7_01_33064,602.T4_BF3_01_33360,583.T1_RD9_01_33105,574.T4_BD1_01_33206,592.T0_RB9_01_33079,573.T4_BC12_01_33204,578.T4_BD5_01_33210,590.T4_BE3_01_33347,574.CT5_BA8_01_33405,591.T5_BG12_01_33382,600.T5_BH9_01_33392,595.T3_BB12_01_33191,590.T5_BG11_01_33381,585.T3_BB3_01_33182,570.T1_RC9_01_33092,575.T4_BD2_01_33207,580.T2_RG2_01_33140,596.T0_RC1_01_33084,594.T3_BB11_01_33190,600.T0_RC5_01_33088,595.T5_BH4_01_33387,589.T4_BE2_01_33346,589.T5_BG10_01_33380,596.T4_BE9_01_33353,582.T0_RA12_01_33069,593.T4_BE6_01_33350,575.T5_BF10_01_33367,583.T5_BG5_01_33375,570.CT5_BA4_01_33401,570.T3_BA1_01_33166,592.T3_BB9_01_33188,572.T5_BF7_01_33364,575.T3_BA6_01_33172,603.T1_RF4_01_33129,595.T4_BE8_01_33352,602.T0_RC7_01_33090,591.T1_RE4_01_33113,594.T0_RB11_01_33081,571.T3_BA2_01_33168,581.T5_BG3_01_33373,580C.T5_RA12_01_33409,580.T3_BA10_01_33176,576.T1_RD3_01_33099,570.T5_BF5_01_33362,574.T1_RD1_01_33097,576.T3_BA7_01_33173,588.T0_RB5_01_33075,584.T1_RD10_01_33106,583.T3_BB1_01_33180,602.T3_BC7_01_33199,571.T0_RA2_01_33059,593.T0_RB10_01_33080,603.T5_BA3_01_33400,573.T0_RA4_01_33061,573.CT5_BA7_01_33404,603.T3_BC8_01_33200,599.T4_BE12_01_33356,570.T0_RA1_01_33057,576.T4_BD3_01_33208,597.T1_RE10_01_33119,573.T3_BA4_01_33170,594.T2_RH3_01_33154,603.T4_BF4_01_33361,591.T4_BE4_01_33348,582.T3_BA12_01_33178,581.T0_RA11_01_33068,586.T0_RB4_01_33074,597.T0_RC2_01_33085,585.T4_BD11_01_33216,586.T1_RD12_01_33108,590.T0_RB7_01_33077,596.T5_BH5_01_33388,586.CT5_BB6_01_33416,583.T0_RB1_01_33071,584.T4_BD10_01_33215,601.T4_BF2_01_33359,574.T3_BA5_01_33171,585.T5_BG7_01_33377,600.T3_BC5_01_33197,598.T1_RE11_01_33120,571.T5_BF6_01_33363,578.T3_BA9_01_33175,596.T3_BC1_01_33193,586.T3_BB4_01_33183,585.T2_RG7_01_33145,576.CT5_RA9_01_33406,598.T2_RH7_01_33158,597.T5_BH6_01_33389,601.T3_BC6_01_33198,597.T4_BE11_01_33355,583.T4_BD9_01_33214,582.T4_BD8_01_33213,577.T5_BF12_01_33369,591.T2_RG12_01_33150,591.T3_BB8_01_33187,595.T0_RB12_01_33082,580.T1_RD6_01_33102,600.T1_RF1_01_33123,603.T0_RC8_01_33091,577.T1_RD4_01_33100,591.T0_RB8_01_33078,572.T2_RF7_01_33132,593.T3_BB10_01_33189,594.T4_BE7_01_33351,592.T2_RH1_01_33152
14,0,0,0,0,15561,0,16907,18011,0,0,1859,0,25085,0,0,19776,0,0,0,0,0,0,0,0,0,0,1768,11588,18745,45478,3519,15003,2744,0,0,1951,0,22964,0,0,0,11649,0,0,6816,2561,0,0,0,8934,18771,5245,0,3033,11570,3369,0,11803,16311,0,18289,0,12381,0,0,0,6259,0,7246,0,0,0,1696,0,0,0,20492,0,0,0,0,0,0,7155,0,0,27886,1974,0,0,15477,0,0,0,9268,0,0,0,0,10200,3890,3165,1357,0,0,0,0,0,0,0,0,0,0,6749,0,0,0,0,0,0,2282,0,0,0,0,9011,6925,6707,0,9109,0,0,0,0,0,0,0,0,0,0,0,0,0,13247,14029,3986,7498,0,3818,0,0,0,0,0,0,0,0,0,0,0,14277,0,1698,0,0,14437,0,2397,0,0,0,0,0,0,0,23301,0,0,10489,8642,0,24037,0,17870,0,0,0,0,0,19273,15967,0,18380,0,0,0,0,12509,0,0,0,0,0,32548,0,0,12417,1412,48316
17,0,0,0,0,39378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4751,0,0,0,0,0,5144,0,0,0,1795,0,0,0,0,0,0,0,1395,0,0,0,0,0,0,0,5483,0,0,0,0,9234,0,0,0,7093,0,0,0,0,0,0,0,0,0,5459,0,0,0,0,0,0,0,1491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24940,5730,0,0,0,0,0,0,7531,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0,0,56412,19498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16925,0,0,14020,0,0,0,0,11128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17643,0,0,0
19,187046,47393,70968,42082,279764,22997,95077,40163,6791,213934,260473,117725,36111,80746,207376,167708,25446,122997,40084,12830,59389,53514,82032,43333,102590,20439,176794,158039,0,432308,23747,0,0,52774,34319,104402,98382,9483,58675,75314,53026,116531,80669,26989,55884,48415,0,17393,23066,70265,36784,82450,30356,0,36240,42015,37108,24801,54916,81486,121803,95898,13677,57498,110475,63873,5675,34797,25245,161401,38837,55295,0,34458,47254,82300,29266,24255,23737,75917,32255,52598,0,29483,136327,86813,0,80874,199885,91310,17593,31521,9763,153528,21484,52890,68932,60396,19326,0,55656,33778,117954,48011,25448,60249,198137,51002,20295,34427,51326,110641,75735,52107,96791,123228,91670,78722,28142,73644,0,28283,66840,17214,184457,41709,84654,0,89002,73401,86989,24239,100823,2872,59385,45286,98431,114182,42374,27584,96224,22100,22473,145978,15700,54770,0,87023,71460,38465,62064,86585,36071,80963,185842,23182,273014,67037,0,107217,97763,0,50933,40993,56114,0,65285,37535,129486,38873,28280,34738,0,66048,152825,394443,140883,11668,0,49376,20820,59384,87272,29357,97102,95570,40335,32308,138201,35244,0,249684,117506,56183,42749,50457,18749,14367,43249,30177,61918,118681,33734,11133,35343,25115,39628,131339,63985
20,4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1327,0,0,12145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243,0,0,0,0,0,0,0,0,17700,0,0,0,0,14822,0,0,0,0,0,0,0,0,0,2606,0,0,0,0,0,0,0,15757,0,0,0,12428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6569,0,0,0,0,0,0,0,0,0,0,0,5073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7384,0,0,0,3415,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,23686,0,5952,7212,0,37491,2071,0,0,0,0,0,0,0,16305,0,0,0,0,0,0,17482,0,7925,0,0,0,0,0,0,36202,11239,0,0,15664,0,0,0,6970,6007,0,0,4348,21240,0,0,0,50977,0,0,0,6420,9301,0,2361,0,0,9707,3895,0,0,0,6646,0,0,9014,0,0,0,0,0,14676,0,8297,0,0,0,0,0,0,4946,0,0,0,38434,9836,0,11902,0,10959,7944,0,42811,0,0,0,0,0,0,3498,0,0,3288,0,0,0,7880,0,0,0,0,0,12580,6077,0,0,0,6674,0,0,0,0,8185,0,0,12235,0,7507,0,0,0,0,0,0,0,0,0,8842,0,0,0,0,0,0,0,15874,0,54027,0,18938,0,0,0,0,0,5908,0,0,0,0,0,0,10909,0,0,0,0,8985,17741,3437,0,5527,0,0,0,21105,89565,0,8230,6618,0,0,0,0,0,0,4198,19064,0,0,0,0,0,0,27227,0,0,11985,9165,0,34655,0,0,32492,24442,20447,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39259,0,0,0,0,0,0,0,0,0,0,2749,4563,0,0,0,0,0,0,0,0,0,0,0,0,316644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3706,0,0,10281,0,0,0,0,52021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,38044,264042,18330,10085,0,0,0,0,95616,883488,166360,62327,31587,79483,0,418394,79335,0,70499,77628,87053,46682,0,145684,30052,0,33059,218583,12838,7060,0,0,340223,210031,0,255051,183850,51876,73483,35234,156231,6279,345639,100236,0,0,0,0,0,109124,29511,44311,0,52262,0,394713,186028,20246,3905,160678,168083,13428,26081,135100,63780,108747,409455,49407,12039,216799,288195,39722,0,50762,110364,0,87357,140393,128582,0,268633,58443,60492,221866,0,0,0,56540,460651,161294,0,0,0,13399,106980,88113,166365,261124,76707,56382,0,61805,137686,0,62051,41187,85318,0,187931,114999,262270,129200,202841,0,135282,66392,1253,229845,196899,0,7136,0,0,65256,17946,140432,20933,0,0,360773,185619,46567,46669,29537,257742,107800,94203,0,0,0,19861,113767,81392,0,88441,110185,236493,33720,0,93575,27681,95406,147424,3354,34255,64041,10840,24889,451412,47527,0,0,22222,414108,77746,89776,17868,3569,0,75145,11488,32731,62884,157593,29966,333721,80704,0,0,116962,0,813220,72924,137544,79437,134129,83017,3619,0,112384,81481,36538,103889,56706,90364,0,5105,92200,15829,0,111122,24058,56541,7371,107168,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2963,0,0,0,3367,0,0,0,0,15615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19291,0,0,0,0,0,0
33,0,0,897,5344,116618,0,13009,8883,0,4834,6279,0,60385,0,2658,0,2921,0,0,1008,1477,0,0,4878,10691,2454,9838,39954,48500,72455,0,73454,16992,3146,2569,0,1082,60065,2797,1659,0,0,0,2256,0,30278,0,0,0,0,7226,0,2201,6646,0,19750,0,295715,10450,0,35457,0,145428,0,3731,2309,21326,4383,13337,2971,3212,14839,0,0,0,0,198166,1811,5784,785,0,0,9068,9825,7666,0,2530,0,0,2918,143701,0,0,0,3378,0,3381,0,5185,72758,0,1589,64169,0,0,0,0,0,0,0,0,0,22459,7232,4273,1341,1364,0,3490,8786,0,0,0,0,664,0,0,0,0,0,0,0,19881,2758,0,2527,2996,0,0,0,0,13942,0,0,0,0,0,0,0,0,1217,0,0,0,0,1330,0,0,2785,0,8225,0,0,0,5442,2565,0,1054,0,1507,0,0,17718,0,3943,61236,1240,778,11419,0,4042,11570,3721,8793,0,0,0,2038,0,0,140402,9566,0,0,0,0,0,152817,2855,997,12940,2511,11672,4228,2017,3693,0,0,195693
