OTUs,Domain,Phylum,Class,Order,Family,Genus,Species
14,Urobilin,Urobilin,Urobilin,Urobilin,Urobilin,Urobilin,Urobilin
17,Trp-Pro,Trp-Pro,Trp-Pro,Trp-Pro,Trp-Pro,Trp-Pro,Trp-Pro
18,Traumatic Acid,Traumatic Acid,Traumatic Acid,Traumatic Acid,Traumatic Acid,Traumatic Acid,Traumatic Acid
19,trans-13-Octadecenoic acid,trans-13-Octadecenoic acid,trans-13-Octadecenoic acid,trans-13-Octadecenoic acid,trans-13-Octadecenoic acid,trans-13-Octadecenoic acid,trans-13-Octadecenoic acid
20,Teprenone,Teprenone,Teprenone,Teprenone,Teprenone,Teprenone,Teprenone
28,Sumaresinolic acid,Sumaresinolic acid,Sumaresinolic acid,Sumaresinolic acid,Sumaresinolic acid,Sumaresinolic acid,Sumaresinolic acid
29,Steviol,Steviol,Steviol,Steviol,Steviol,Steviol,Steviol
30,Stercobilin,Stercobilin,Stercobilin,Stercobilin,Stercobilin,Stercobilin,Stercobilin
31,Stercobilin,Stercobilin,Stercobilin,Stercobilin,Stercobilin,Stercobilin,Stercobilin
33,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Urobilin (NIST14),Spectral Match to Urobilin from NIST14
34,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Urobilin (NIST14),Spectral Match to Urobilin from NIST14
35,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Urobilin (NIST14),Spectral Match to Urobilin from NIST14
36,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Urobilin (NIST14),Spectral Match to Urobilin from NIST14
37,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Spectral Match to Urobilin from NIST14,Urobilin (NIST14),Spectral Match to Urobilin from NIST14
38,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14,Tris(2-butoxyethyl) phosphate (NIST14),Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14
46,Spectral Match to Pinolenic acid from NIST14,Spectral Match to Pinolenic acid from NIST14,Spectral Match to Pinolenic acid from NIST14,Spectral Match to Pinolenic acid from NIST14,Spectral Match to Pinolenic acid from NIST14,Pinolenic acid (NIST14),Spectral Match to Pinolenic acid from NIST14
47,Spectral Match to Phe-Pro from NIST14,Spectral Match to Phe-Pro from NIST14,Spectral Match to Phe-Pro from NIST14,Spectral Match to Phe-Pro from NIST14,Spectral Match to Phe-Pro from NIST14,Phe-Pro (NIST14),Spectral Match to Phe-Pro from NIST14
48,Spectral Match to Oleoyl L-carnitine from NIST14,Spectral Match to Oleoyl L-carnitine from NIST14,Spectral Match to Oleoyl L-carnitine from NIST14,Spectral Match to Oleoyl L-carnitine from NIST14,Spectral Match to Oleoyl L-carnitine from NIST14,Oleoyl L-carnitine (NIST14),Spectral Match to Oleoyl L-carnitine from NIST14
49,Spectral Match to Lyso-PC(16:0) from NIST14,Spectral Match to Lyso-PC(16:0) from NIST14,Spectral Match to Lyso-PC(16:0) from NIST14,Spectral Match to Lyso-PC(16:0) from NIST14,Spectral Match to Lyso-PC(16:0) from NIST14,Lyso-PC(16:0) (NIST14),Spectral Match to Lyso-PC(16:0) from NIST14
51,Spectral Match to Equol from NIST14,Spectral Match to Equol from NIST14,Spectral Match to Equol from NIST14,Spectral Match to Equol from NIST14,Spectral Match to Equol from NIST14,Equol (NIST14),Spectral Match to Equol from NIST14
65,Spectral Match to D-erythro-C18-Sphingosine from NIST14,Spectral Match to D-erythro-C18-Sphingosine from NIST14,Spectral Match to D-erythro-C18-Sphingosine from NIST14,Spectral Match to D-erythro-C18-Sphingosine from NIST14,Spectral Match to D-erythro-C18-Sphingosine from NIST14,D-erythro-C18-Sphingosine (NIST14),Spectral Match to D-erythro-C18-Sphingosine from NIST14
88,Spectral Match to Bilirubin from METLIN,Spectral Match to Bilirubin from METLIN,Spectral Match to Bilirubin from METLIN,Spectral Match to Bilirubin from METLIN,Spectral Match to Bilirubin from METLIN,Bilirubin (METLIN),Spectral Match to Bilirubin from METLIN
