,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
s_Akkermansia_muciniphila,56027.2458382892,0.506164508888432,0.690949314386315,0.732563877479198,0.463824469527905,0.942627886057233
s_Lactobacillus_reuteri,41228.2327214703,-0.233553674758275,0.590874251046456,-0.395267985268684,0.692645123810503,0.95784289820285
s_Peptoclostridium_acidaminophilum,1991.80462342939,0.155203118765518,0.178000987111846,0.871922798203344,0.38325049545969,0.940975848906561
s_Lactobacillus_helveticus,1500.54170642471,-0.214887094424954,0.361883682062711,-0.593801558556366,0.552644846511775,0.949724587061733
s_Zymomonas_mobilis,1461.78712371897,-0.173782455197868,0.19710490222247,-0.881674951958941,0.377952610079693,0.940975848906561
s_Paenibacillus_sp._IHB_B_3084,1419.69418203778,-0.40878976195253,0.448507746378093,-0.911444150638861,0.362061399765494,0.940975848906561
s_Lactobacillus_acidophilus,1062.14102665723,-0.164816125249261,0.54719918412594,-0.30119950838839,0.763262364678519,0.963159659986071
s_Acidithiobacillus_ferrivorans,1139.46366625058,-0.00757469268720993,0.0747867674842487,-0.101283862667353,0.919325126040113,0.986436115682932
s_Mannheimia_haemolytica,888.660695180318,-0.462259196802656,0.216541915239533,-2.13473311294637,0.0327828165890811,0.940975848906561
s_Lactobacillus_crispatus,755.614112931663,-0.208541520670049,0.431981397447882,-0.48275578972173,0.629269145186447,0.95784289820285
s_Lactobacillus_amylolyticus,787.521907330221,-0.17113014497189,0.513675757987453,-0.333148182118554,0.739022430601262,0.95856047545835
s_Winogradskyella_sp._PG-2,712.813195498625,-0.367030013318753,0.255138574916456,-1.43855163194721,0.150277598731841,0.940975848906561
s_Acinetobacter_haemolyticus,617.395320243722,-0.183537485370386,0.18222911887174,-1.00717978831674,0.313848384030163,0.940975848906561
s_Lactobacillus_kefiranofaciens,587.189923646117,-0.25759079419882,0.42689359896316,-0.603407488012134,0.546237642064782,0.949724587061733
s_Rugosibacter_aromaticivorans,619.777225637806,-0.0730071927501733,0.118745993060752,-0.614818158224689,0.538674816134871,0.949724587061733
s_Lactobacillus_acetotolerans,503.480422111747,-0.298835747889035,0.420373897096037,-0.710880837162837,0.477158081774871,0.947033463448261
s_Pseudothermotoga_hypogea,406.57092657584,-0.240587857523023,0.160630532190408,-1.49777165176689,0.134192588431857,0.940975848906561
s_Stenotrophomonas_nitritireducens,423.265527480945,-0.117701200045873,0.113031146869371,-1.04131651589716,0.29772867397348,0.940975848906561
s_Alteromonas_australica,340.399013693418,-0.146305888486795,0.207134566445674,-0.706332559540067,0.479981349857745,0.947441936672455
s_uncultured_Flavobacteriia_bacterium,317.062084708285,-0.42491795342216,0.209608729886117,-2.02719587897423,0.0426423844485986,0.940975848906561
s_Kangiella_sediminilitoris,243.77419052636,-0.547300271738292,0.394776627233654,-1.38635429248542,0.165638746053303,0.940975848906561
s_Myroides_sp._A21,255.885915742607,-0.318320217484175,0.181677617118508,-1.75211576710925,0.0797539036202381,0.940975848906561
s_Burkholderia_pyrrocinia,246.653224400896,0.106804609866429,0.109278428809166,0.977362239101575,0.32838985034259,0.940975848906561
s_Mesoplasma_syrphidae,216.84671639263,-0.656346809054815,0.306927545923543,-2.13844217559513,0.0324808725260709,0.940975848906561
s_Dokdonia_sp._MED134,207.178539735462,-0.281931222669996,0.165309909156444,-1.70547079790109,0.0881066540758071,0.940975848906561
s_Candidatus_Planktophila_lacus,217.598081933501,-0.254746767238638,0.175572655036675,-1.45094785509409,0.146794380869624,0.940975848906561
s_Weissella_thailandensis,166.756347254229,-0.255214163340215,0.286862471550286,-0.889674281759359,0.373640807397862,0.940975848906561
s_Pseudobutyrivibrio_ruminis,135.692679115286,-0.490605512655855,0.90110310393553,-0.544449919785157,0.586131901822484,0.95784289820285
s_Brucella_sp._09RB8910,136.193855069499,0.0396719663574932,0.148190057608813,0.267710040724985,0.788922520460919,0.965497121887294
s_Blattabacterium_sp._(Mastotermes_darwiniensis),119.924853346365,-0.386042158668046,0.206644740337026,-1.86814413005834,0.0617419838229257,0.940975848906561
s_Vibrio_sp._2521-89,116.472181716838,-1.17289161559726,0.488885010742727,-2.39911551760478,0.0164347290560443,0.940975848906561
s_Arthrobacter_sp._Rue61a,120.442096629938,0.261807388069391,0.155827477748679,1.68011054181111,0.0929358102079615,0.940975848906561
s_Acetobacter_sp._SLV-7,83.2182671746872,-0.885733533176004,0.570498535917239,-1.55256057187234,0.120528151324329,0.940975848906561
s_Parabacteroides_goldsteinii,96.1406721500776,0.528044295878184,0.393561576289453,1.34170693403724,0.179691037857475,0.940975848906561
s_Agathobacter_ruminis,63.9526352483729,-1.53519965129635,0.936736808830395,-1.63888045908348,0.101238158125388,0.940975848906561
s_Vibrio_oreintalis_group,515.823746292424,-0.0222339396436188,0.137046687008436,-0.162236243202655,0.87111981989884,0.975262372348642
s_Arcanobacterium_phocae,315.203416483829,-0.141087467170839,0.160057492815061,-0.881479927552398,0.378058113562878,0.940975848906561
s_Simkania_negevensis,238.769410275918,0.0382679379026705,0.124134001423575,0.308279258412779,0.757869847382239,0.962764291948099
s_Streptomyces_sp._TLI_053,1781.67146413648,-0.0638358987081261,0.0475489509223082,-1.34253011832858,0.179424171579143,0.940975848906561
s_Collimonas_fungivorans,1562.77747986518,-0.101198750452784,0.0828644887465084,-1.22125595636464,0.221989123731168,0.940975848906561
s_uncultured_bacterium_EB2,950.722272546313,0.224219281112241,0.478907753485665,0.468188872450468,0.639649528998654,0.95784289820285
s_Lactobacillus_backii,795.875940533954,-0.180915972998285,0.0866637912690713,-2.08756125654118,0.0368374299496658,0.940975848906561
s_Xenorhabdus_doucetiae,589.161092192296,-0.1377999496563,0.139232538022837,-0.989710822004108,0.322315483877912,0.940975848906561
s_Vibrio_tubiashii,497.209622202782,-0.0333071824616643,0.142532620149172,-0.233681121043068,0.815232545235479,0.968574805810303
s_Candidatus_Desulfofervidus_auxilii,427.746702204772,-0.571460070475205,0.31366267217057,-1.8218937769058,0.0684711047514701,0.940975848906561
s_Alteromonas_mediterranea,418.505404106998,-0.308437623037667,0.191848089127535,-1.60771798374612,0.107896958063415,0.940975848906561
s_Myroides_odoratimimus,356.080190028099,0.0794278329901802,0.142806088363654,0.556193604210475,0.578078511017359,0.957333030388853
s_Synechococcus_lividus,322.948694146211,-0.000913688823586343,0.10047036238999,-0.00909411294884888,0.992744047698758,0.99848307134423
s_Burkholderia_metallica,322.051834319273,-0.214701954449763,0.136003639193881,-1.57864859883413,0.114416680864671,0.940975848906561
s_Candidatus_Pelagibacter_sp._IMCC9063,259.092214486272,-0.827700807931882,0.445578291921855,-1.85758782000323,0.063227569496148,0.940975848906561
s_Spiroplasma_helicoides,257.282221365848,-0.661126142824025,0.335539544845076,-1.97033748474946,0.048799705106177,0.940975848906561
