SampleID,α-Hyodeoxycholic acid methyl ester,α-Hyodeoxycholic acid methyl ester .1,α-Hyodeoxycholic acid methyl ester .2,α-Hyodeoxycholic acid methyl ester .3,α-Hyodeoxycholic acid methyl ester .4,α-Hyodeoxycholic acid methyl ester .5,α-Hyodeoxycholic acid methyl ester .6,α-Hyodeoxycholic acid methyl ester .7,β-Hyodeoxycholic acid,β-Hyodeoxycholic acid.1,β-Hyodeoxycholic acid.2,β-Hyodeoxycholic acid.3,β-Hyodeoxycholic acid.4,β-Hyodeoxycholic acid.5,β-Hyodeoxycholic acid.6,β-Hyodeoxycholic acid.7,β-Hyodeoxycholic acid.8,β-Hyodeoxycholic acid.9,β-Hyodeoxycholic acid.10,β-Hyodeoxycholic acid.11,β-Hyodeoxycholic acid.12,β-Hyodeoxycholic acid.13,β-Hyodeoxycholic acid.14,β-Hyodeoxycholic acid.15,β-Hyodeoxycholic acid.16,β-Hyodeoxycholic acid.17,β-Hyodeoxycholic acid.18,β-Hyodeoxycholic acid.19,β-Hyodeoxycholic acid.20,β-Muricholic acid,β-Muricholic acid.1,β-Muricholic acid.2,β-Muricholic acid.3,β-Muricholic acid.4,β-Muricholic acid.5,β-Muricholic acid.6,β-Muricholic acid.7,β-Muricholic acid.8,β-Muricholic acid.9,β-Muricholic acid.10,β-Muricholic acid.11,β-Muricholic acid.12,β-Muricholic acid.13,β-Muricholic acid.14,γ-Muricholic acid,γ-Muricholic acid.1,γ-Muricholic acid.2,γ-Muricholic acid.3,γ-Muricholic acid.4,γ-Muricholic acid.5,γ-Muricholic acid.6,γ-Muricholic acid.7,γ-Muricholic acid.8,γ-Muricholic acid.9,γ-Muricholic acid.10,γ-Muricholic acid.11,γ-Muricholic acid.12,γ-Muricholic acid.13,γ-Muricholic acid.14,γ-Muricholic acid.15,γ-Muricholic acid.16,3β-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid.1,3β-Hydroxy-5-cholenoic acid.2,3β-Hydroxy-5-cholenoic acid.3,Chenodeoxycholic acid,Cholic acid,Cholic acid.1,Cholic acid.2,Cholic acid.3,Cholic acid.4,Cholic acid.5,Cholic acid.6,Cholic acid.7,Cholic acid.8,Cholic acid.9,Cholic acid.10,Cholic acid.11,Cholic acid methyl ester,Cholic acid methyl ester.1,Cholic acid methyl ester.2,Deoxycholic acid,Deoxycholic acid.1,Deoxycholic acid.2,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14).1,12-Ketodeoxycholic acid (NIST14).2,12-Ketodeoxycholic acid (NIST14).3,12-Ketodeoxycholic acid (NIST14).4,12-Ketodeoxycholic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).3,3β-Hydroxy-5-cholenoic acid (NIST14).4,3β-Hydroxy-5-cholenoic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14).6,3β-Hydroxy-5-cholenoic acid (NIST14).7,Cholic acid (NIST14),Cholic acid (NIST14).1,Cholic acid (NIST14).2,Cholic acid (NIST14).3,Cholic acid (NIST14).4,Cholic acid (NIST14).5,Cholic acid (NIST14).6,Cholic acid (NIST14).7,Cholic acid (NIST14).8,Cholic acid (NIST14).9,Cholic acid (NIST14).10,Cholic acid (NIST14).11,Cholic acid (NIST14).12,Cholic acid (NIST14).13,Cholic acid (NIST14).14,Cholic acid (NIST14).15,Cholic acid (NIST14).16,Cholic acid (NIST14).17,Cholic acid (NIST14).18,Cholic acid (NIST14).19,Cholic acid (NIST14).20,Cholic acid (NIST14).21,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14).1,Deoxycholic acid (NIST14).2,Deoxycholic acid (NIST14).3,Deoxycholic acid (NIST14).4,Deoxycholic acid (NIST14).5,Deoxycholic acid (NIST14).6,Deoxycholic acid (NIST14).7,Deoxycholic acid (NIST14).8,Deoxycholic acid (NIST14).9,Deoxycholic acid (NIST14).10,Deoxycholic acid (NIST14).11,Deoxycholic acid (NIST14).12,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Tauroursodeoxycholic acid (NIST14).2,Ursodeoxycholic acid (NIST14),Taurocholic acid,Taurocholic acid.1,Taurocholic acid.2,Taurocholic acid.3,Taurocholic acid.4,Tauroursodeoxycholic acid,Ursocholic acid,Ursocholic acid.1,Ursocholic acid.2,Ursocholic acid.3,Ursocholic acid.4,Ursocholic acid.5,Ursocholic acid.6,Ursocholic acid.7,Ursodeoxycholic acid,Ursodeoxycholic acid.1,Ursodeoxycholic acid.2,Ursodeoxycholic acid.3,denovo19478,denovo31970,denovo43926,denovo52359,denovo79770,denovo81639,denovo90825,denovo96132,denovo118754,denovo167965,denovo175813,denovo239422,denovo250190,denovo272061,denovo278275,denovo283443,denovo286244,denovo291148,denovo321337,denovo344458,denovo353230,denovo356692,denovo369807,denovo409528,denovo443468,denovo474098,denovo478740,denovo491556,denovo549429,denovo560339,denovo560431,denovo564490,denovo573462,denovo584291,Week,Category
570.T2,0,43335,0,0,0,0,0,19372,0,0,0,0,0,0,0,286927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86942,0,0,0,0,0,0,0,0,0,0,0,0,14747,0,0,0,0,210951,154564,48659,0,60245,0,0,0,0,0,0,13608,0,0,0,0,58163,0,0,21605,0,0,0,0,127048,0,0,0,27388,12785,6026,0,0,0,68133,0,297962,7047,0,0,0,749912,0,5386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24596,5081,2116,0,3762,0,11561,3188,0,0,391164,8361,0,155131,0,0,0,16084,4431,12735,7478,0,0,0,0,0,0,0,0,0,0,0,109495,0,0,0,0,0,0,0,0,31,1,2,28,0,0,3,12,19,0,0,0,0,3,2,0,0,3,146,0,6,1,2,0,1,3,0,13,0,6,0,0,0,57,2,Placebo
571.T2,0,47148,0,0,0,0,0,0,0,0,0,0,0,0,0,21348,0,0,0,0,0,55295,0,0,0,0,0,0,0,0,0,0,42398,0,0,0,0,28150,302958,0,355465,0,0,0,0,0,0,0,0,0,71821,0,0,0,115573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433511,193210,0,0,0,0,0,0,117895,0,0,42450,0,0,0,0,0,171678,825295,0,0,0,0,0,0,0,0,0,0,0,65431,0,0,0,0,254836,0,0,0,0,0,0,43178,98692,0,0,0,0,0,45750,176747,0,559830,0,0,0,0,0,119596,0,1796,35763,6072,3325,0,0,0,29560,25886,0,5723,0,0,0,12121,0,0,0,215319,19458,0,0,0,1,8,1,0,10,1,17,7,18,0,0,4,0,2,3,0,0,27,3,2,5,1,1,6,1,9,1,0,0,5,0,0,0,12,2,Placebo
572.T2,0,0,0,10539,0,0,0,25594,0,0,0,0,0,0,0,19374,0,0,0,0,0,0,53543,0,0,0,0,0,0,0,0,0,116968,0,0,0,0,0,0,0,0,0,29365,0,0,0,0,0,224133,0,0,0,0,27825,0,0,0,0,51828,0,0,0,0,0,0,0,0,80468,0,0,0,0,0,0,50481,0,0,0,37809,0,2179,0,0,0,0,0,387329,0,0,0,25866,189667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10041,0,0,0,13511,0,0,0,0,0,0,0,0,15876,0,69359,0,341968,0,0,0,0,0,0,0,5292,0,0,0,0,0,0,0,0,0,0,0,5726,0,0,0,0,0,0,0,0,52161,0,0,2,0,2,0,4,0,44,32,3,0,11,0,22,1,0,4,58,123,1,6,3,0,1,5,0,0,4,0,24,3,1,0,2,2,Placebo
573.T2,0,0,0,0,0,0,0,145888,0,4101,0,0,0,0,0,11160,0,0,0,0,0,0,0,28519,0,0,0,0,0,0,0,0,45987,0,0,12184,0,0,0,0,0,0,0,0,12794,0,0,13781,506619,0,118445,0,64579,0,0,0,0,0,0,0,0,0,0,0,3596,0,0,0,0,0,0,0,0,89865,90324,0,0,5304,84483,15395,20592,0,0,0,83227,0,638572,0,0,0,124216,91143,0,0,0,0,0,0,3729,0,0,0,0,0,0,0,0,6872,0,0,0,0,53271,0,0,22132,2127,3596,4578,4922,265233,196340,432588,0,0,0,0,0,93100,0,0,0,6371,7084,7685,0,0,0,0,0,0,0,0,0,0,0,0,94254,0,0,0,0,0,0,0,0,2,0,0,0,54,7,1,22,0,0,0,2,0,1,2,0,0,19,55,2,2,1,0,4,0,0,1,15,0,55,3,1,0,1,2,Placebo
574.T2,0,7217,0,0,0,0,0,10382,0,0,0,0,0,0,0,63213,0,0,0,0,0,19579,0,0,0,0,0,0,0,0,0,0,0,0,0,3036,0,0,0,0,0,0,53547,0,13356,0,0,0,0,0,31363,0,62523,0,38868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48049,0,0,0,30259,144221,0,0,0,49947,8546,4808,0,0,0,35836,0,388562,0,0,0,18803,517288,0,0,0,0,0,0,0,0,5511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,0,62533,73010,0,215455,0,349173,0,0,0,0,0,0,0,7739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,17,4,0,47,9,0,0,1,2,0,1,9,1,0,13,2,0,22,16,0,1,0,58,5,0,0,18,0,1,0,65,2,Placebo
575.T2,5456,0,0,0,0,0,0,54213,10630,0,0,0,0,0,0,70736,0,0,0,0,0,0,50660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35754,0,0,0,0,0,0,0,238772,134104,130301,0,87919,0,0,0,0,0,0,0,0,7252,0,0,0,0,0,0,0,51093,0,0,0,0,23157,0,0,0,110105,15912,6978,0,0,14550,0,80568,656305,0,0,0,17066,313400,0,0,53228,0,0,0,84343,0,0,0,0,7471,0,10013,0,0,0,0,0,0,15982,0,0,12661,3701,0,0,0,95643,12241,0,159278,0,390277,0,0,41107,0,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,0,0,0,24960,0,0,0,0,0,0,0,0,4,0,0,0,9,1,5,13,0,0,0,1,1,2,1,0,0,4,118,0,3,13,1,0,0,62,1,3,0,33,0,0,0,53,2,Placebo
576.T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81984,0,0,5175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270564,0,0,0,0,0,0,0,379059,0,27631,0,50122,0,0,0,13427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35870,0,0,0,0,0,0,0,0,0,0,43315,0,267585,0,0,0,30645,11341,0,0,0,0,0,0,0,0,0,0,23056,0,0,0,0,23204,0,0,0,0,33120,0,0,0,17798,3151,0,0,0,0,0,0,0,154350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90501,0,0,0,16442,0,0,0,0,12,0,1,1,0,6,4,362,0,0,0,0,3,3,5,0,40,144,872,180,1,11,8,2,0,2,0,337,0,52,3,1,1,6,2,Placebo
577.T2,0,0,0,0,0,0,0,0,0,0,25618,0,0,0,0,23456,0,0,0,0,0,0,50337,0,0,0,0,0,0,0,0,0,45404,0,0,0,0,0,0,0,33788,0,0,0,0,0,3152,0,0,64349,0,0,113721,0,0,0,0,0,0,0,0,0,0,0,18475,0,60670,0,0,0,0,0,0,0,91420,0,0,0,0,0,0,45923,0,0,0,0,206742,0,0,0,3268,469189,0,0,10804,0,0,0,0,0,0,0,0,76740,22203,0,0,0,0,0,0,0,123629,8372,0,0,25710,0,0,6135,0,24921,0,242745,0,0,0,0,0,0,0,0,0,5798,2226,0,0,0,0,0,0,0,0,0,0,0,0,154443,13560,0,0,0,0,0,0,0,2,0,4,2,0,1,6,57,3,0,0,2,0,3,0,0,128,33,0,1,1,2,3,1,0,2,0,3,0,2,0,0,0,3,2,Placebo
578.T2,0,0,0,0,0,0,0,22266,0,0,0,0,0,0,0,134144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34752,0,0,0,2114,0,42753,0,0,0,0,0,0,0,0,0,218554,0,145042,0,89154,0,0,0,0,0,0,0,0,0,0,0,0,20543,30853,0,0,0,0,0,0,0,77133,0,0,0,62100,1847,0,0,0,0,0,0,518300,0,0,0,0,107783,0,0,0,0,369276,0,0,0,0,0,0,0,0,0,7613,0,0,0,0,0,0,0,0,13575,0,0,0,0,0,17658,0,257289,0,132932,0,0,0,24372,360383,0,0,0,0,11631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23337,0,0,0,0,0,31,1,0,0,3,0,0,24,0,11,30,212,0,61,24,3,0,19,1,0,3,2,1,10,1,11,2,0,0,78,0,0,1,16,2,Letrozole
580.T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46738,0,0,0,4467,0,0,30172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26114,0,0,0,0,110941,0,0,0,2667,0,0,47959,0,15890,0,0,190461,0,0,0,0,0,0,0,28684,0,478970,0,0,0,0,0,0,59365,0,7369,0,0,0,0,0,0,0,49121,0,9779,51244,0,0,0,0,3759,13140,64266,0,169650,0,0,0,0,0,0,0,0,1966,0,0,0,0,0,0,5844,0,0,0,0,0,59602,0,0,0,156676,0,0,0,0,14,0,0,4,49,0,92,27,0,0,3,127,1,1,477,20,18,13,3,0,4,23,0,7,0,0,0,3,0,5,0,0,1,9,2,Letrozole
