SampleID,Urobilin,Sumaresinolic acid,Urobilin (NIST14),Urobilin (NIST14).1,Urobilin (NIST14).2,Urobilin (NIST14).3,Urobilin (NIST14).4,Tris(2-butoxyethyl) phosphate (NIST14),Phe-Pro (NIST14),Oleoyl L-carnitine (NIST14),9(10)-EpOME (NIST14),phosphoethanolamine (NIST14),phosphocholine (NIST14),phosphocholine (NIST14).1,phosphocholine (NIST14).2,phosphocholine (NIST14).3,phosphoethanolamine (NIST14).1,phosphocholine (NIST14).4,Ricinoleic Acid methyl ester,Phytomonic acid,Phytomonic acid.1,Phenol,PC(O-16:1/0:0); [M+H]+ C24H51N1O6P1,PC(0:0/18:0); [M+H]+ C26H55N1O7P1,Palmitoyl-L-carnitine,Oleic acid methyl ester,Oleanolic acid methyl ester,Oleanolic acid,4-dihydroxyheptadec-16-en-2-yl acetate,4-dihydroxyheptadec-16-en-2-yl acetate.1,1-Phenanthrenecarboxylic acid,1-Phenanthrenecarboxylic acid.1,(E)-3-(4-methoxyphenyl),(E)-3-(4-methoxyphenyl).1,Methyl γ -linolenate,Medicagenic acid,Medicagenic acid.1,Linoleic acid methyl ester,Hederagenin,Genistein,Echinocystic acid,Daidzin,Coproporphyrin I,Coproporphyrin I.1,"cis-5,8,11,14-Eicosatetraenoic acid","cis-5,8,11,14-Eicosatetraenoic acid.1",cis-12-Octadecenoic acid methyl ester,Ceramide (18:1/16:0),Caulophyllogenin,Bacosine,Bacosine.1,"9-Oxo-10E,12Z-octadecadienoic acid",5-Hexenoic acid,4-Cholestenone,3β -Hydroxy-5-cholestenoic acid,3-Hydroxykynurenine,25(S)-26-Hydroxycholesterol,17-Octadecynoic acid,1-Palmitoyl-sn-glycero-3-phosphocholine,1-Palmitoyl-sn-glycero-3-phosphocholine.1,1-Hexadecyl-sn-glycero-3-phosphocholine,(+)-Fluprostenol lactone diol,denovo19478,denovo31970,denovo43926,denovo52359,denovo79770,denovo81639,denovo90825,denovo96132,denovo118754,denovo167965,denovo175813,denovo239422,denovo250190,denovo272061,denovo278275,denovo283443,denovo286244,denovo291148,denovo321337,denovo344458,denovo353230,denovo356692,denovo369807,denovo409528,denovo443468,denovo474098,denovo478740,denovo491556,denovo549429,denovo560339,denovo560431,denovo564490,denovo573462,denovo584291,Week,Category
578.T2,0,0,0,0,0,0,0,0,0,0,32349,0,12517,0,0,0,0,0,12225,74901,0,4404,0,0,0,0,22332,0,0,0,0,7102,0,0,0,1386,0,5588,0,0,0,0,0,0,0,0,0,0,10315,0,0,0,0,13147,0,0,0,0,64691,0,0,9987,31,1,0,0,3,0,0,24,0,11,30,212,0,61,24,3,0,19,1,0,3,2,1,10,1,11,2,0,0,78,0,0,1,16,2,Letrozole
580.T2,2282,0,0,0,23893,0,0,0,0,0,0,0,44674,0,0,0,0,0,20479,17437,30737,0,0,0,0,0,29956,0,19891,0,0,20866,2721,4077,0,0,0,8713,0,0,5849,31185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130790,0,0,0,14,0,0,4,49,0,92,27,0,0,3,127,1,1,477,20,18,13,3,0,4,23,0,7,0,0,0,3,0,5,0,0,1,9,2,Letrozole
581.T2,11570,9301,0,6198,7143,0,0,0,0,0,0,0,62081,0,0,0,0,0,0,19721,9215,0,0,0,0,0,15512,0,0,0,0,45960,0,0,0,0,0,0,0,0,9820,46275,1700,8697,0,7651,0,0,0,5328,0,0,0,0,0,0,0,0,101779,0,0,0,6,0,2,0,0,0,2,20,0,0,0,0,6,28,3,4,32,31,32,0,0,14,4,0,0,0,1,0,0,97,0,0,0,2,2,Letrozole
582.T2,0,0,0,0,0,0,0,0,0,0,0,0,9956,0,0,0,0,0,0,213155,0,62465,0,0,0,76983,24991,0,11881,0,0,8178,0,0,0,0,0,33268,0,0,0,0,0,0,0,0,16268,0,0,7021,0,0,0,0,0,0,0,0,23593,0,0,0,11,8,0,33,0,2,124,10,1,1,0,98,3,49,3,4,25,40,34,1,0,80,1,5,1,4,1,4,1,82,0,0,0,14,2,Letrozole
583.T2,0,0,0,0,0,0,0,0,0,0,0,0,4992,0,0,0,0,0,0,194580,0,26338,0,0,0,0,26220,0,20865,0,0,31590,0,0,0,0,0,10474,0,0,0,0,0,0,0,0,0,0,6634,0,0,0,0,0,0,0,0,0,32815,0,0,0,1,0,0,136,1,1,1,8,1,1,124,4,0,2,0,0,4,10,2,0,223,29,0,2,7,1,7,5,1,21,0,0,2,13,2,Letrozole
584.T2,0,9707,0,0,0,0,0,0,0,0,0,0,4547,0,0,0,1688,0,0,18640,0,0,0,0,0,0,33232,0,9486,1486,0,13641,0,0,0,0,0,0,0,0,0,45223,0,0,0,0,0,0,0,0,0,0,0,5808,0,0,0,16693,0,0,12696,0,4,0,1,56,2,0,1,8,0,0,0,0,1,0,1,0,0,24,44,0,21,31,0,2,3,29,0,1,1,434,0,0,0,31,2,Letrozole
585.T2,0,4198,0,0,0,0,0,0,0,0,0,0,18362,0,1929,0,0,0,0,408415,0,25831,0,0,0,34538,44299,0,26642,0,0,4692,0,0,0,0,0,20835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61503,2503,0,6818,16,0,1,22,0,0,344,0,0,1,19,0,0,105,141,0,0,4,83,0,1,2,0,9,22,50,12,10,0,294,0,0,0,5,2,Letrozole
586.T2,0,0,0,0,0,0,0,0,0,0,58670,0,11042,0,0,0,0,0,0,60321,0,0,0,0,0,36464,57174,0,0,0,0,15009,0,0,0,0,0,0,0,0,0,0,7286,0,0,0,0,0,4326,3776,0,0,9471,0,0,0,0,0,54530,0,13191,0,1,1,0,0,0,0,4,1,0,0,0,0,0,14,0,0,1,2,29,1,19,145,0,0,0,1,0,46,3,9,0,0,0,79,2,Letrozole
589.T2,22964,0,60065,0,13965,0,0,9786,14550,4293,0,0,93412,0,9395,0,0,0,0,0,0,0,0,1277,0,0,0,0,0,0,9278,29241,0,0,0,0,0,0,0,18272,0,14370,20943,0,20735,0,0,1391,0,0,0,0,0,11199,0,0,9072,0,524927,0,89766,0,0,0,0,14,13,6,81,7,10,0,0,27,0,39,1,0,0,22,1,0,3,4,0,0,0,0,0,0,0,10,0,0,1,16,2,Co-L
591.T2,12509,0,152817,0,3609,0,0,0,0,0,0,13867,94382,0,6263,0,0,2007,0,0,0,0,0,1621,27959,0,0,0,0,0,0,7987,0,0,0,0,3071,0,0,0,0,0,0,0,0,28905,0,0,0,0,0,0,0,10248,2885,0,13917,0,680404,0,19384,0,3,0,0,8,0,5,104,8,0,1,0,1,0,4,0,0,0,1,31,4,3,113,0,0,0,9,0,8,0,181,5,0,98,11,2,Co-L
593.T2,10200,0,72758,17063,0,0,0,0,0,25956,19802,0,100247,0,5007,0,0,0,0,0,0,0,495,2561,64236,0,0,0,0,0,0,28953,2398,0,0,0,0,0,0,19202,0,29874,16456,0,15777,0,0,0,0,0,0,0,0,8590,0,0,0,0,826132,0,70343,0,4,0,7,0,0,1,0,109,1,0,1,4,0,1,561,0,13,18,122,1,0,3,0,6,0,0,0,0,0,1,3,1,0,5,2,Co-L
595.T2,6259,0,21326,0,12329,2614,0,0,0,0,0,0,179761,8249,8158,0,0,3771,0,0,0,0,912,2973,0,0,0,0,0,0,0,5451,0,0,0,0,4551,0,0,0,0,0,9396,0,0,37795,0,0,0,0,0,0,0,6904,0,0,0,0,1066926,0,19176,0,1,0,0,0,2,7,1,96,0,0,0,3,0,0,16,0,0,2,4,1,0,0,2,0,0,0,0,1,0,11,1,3,0,16,2,Co-L
597.T2,15003,0,73454,0,33563,0,0,0,0,8942,0,0,86230,0,2546,0,0,2712,0,0,0,0,3925,0,0,0,0,0,0,0,0,12091,0,0,0,0,7400,0,0,0,0,11748,15111,0,0,15024,0,0,0,0,0,0,0,17572,0,0,0,0,628400,0,0,4661,1,0,2,20,12,2,133,4,0,0,33,0,0,5,1,0,0,8,3,1,6,2,2,1,0,19,0,1,2,10,0,1,2,0,2,Co-L
