Comparison,Feature,Importance 
T2_PvL_(BA+WSG),s_Lactobacillus_reuteri,0.24
T2_PvL_(BA+WSG), Lithocholic acid (NIST14),0.1
T2_PvL_(BA+WSG), s_Akkermansia_muciniphila,0.08
T2_PvL_(BA+WSG), 3_-Hydroxy-5-cholenoic acid (NIST14).1,0.06
T2_PvL_(BA+WSG), Ursocholic acid.3,0.05
T2_PvL_(BA+WSG), 3_-Hydroxy-5-cholenoic acid (NIST14).4,0.04
T2_PvL_(BA+WSG), Cholic acid.7,0.03
T2_PvL_(BA+WSG), s_Parabacteroides_goldsteinii,0.03
T2_PvL_(BA+WSG), s_Lactobacillus_johnsonii,0.03
T2_PvL_(BA+WSG), Chenodeoxycholic acid,0.03
T2_PvL_(Metabolomic+WSG),Bacosine,0.075715112
T2_PvL_(Metabolomic+WSG), Oleanolic acid methyl ester,0.058372685
T2_PvL_(Metabolomic+WSG), 4-dihydroxyheptadec-16-en-2-yl acetate,0.056586199
T2_PvL_(Metabolomic+WSG), s_Akkermansia_muciniphila,0.042088294
T2_PvL_(Metabolomic+WSG), s_Lactobacillus_gasseri,0.041901455
T2_PvL_(Metabolomic+WSG), s_Lactobacillus_murinus,0.039570795
T2_PvL_(Metabolomic+WSG), s_Lactobacillus_johnsonii,0.037748016
T2_PvL_(Metabolomic+WSG), cis-581114-Eicosatetraenoic acid.1,0.032911706
T2_PvL_(Metabolomic+WSG), Urobilin (NIST14),0.032726521
T2_PvL_(Metabolomic+WSG), Phenol,0.030448082
T2_LvCoL_(BA+WSG),3_-Hydroxy-5-cholenoic acid (NIST14).1,0.115
T2_LvCoL_(BA+WSG), Cholic acid (NIST14).19,0.1075
T2_LvCoL_(BA+WSG), Lithocholic acid (NIST14),0.095
T2_LvCoL_(BA+WSG), Cholic acid (NIST14).17,0.065
T2_LvCoL_(BA+WSG), Cholic acid methyl ester,0.055
T2_LvCoL_(BA+WSG), s_Lactobacillus_animalis,0.05
T2_LvCoL_(BA+WSG), s_Lactobacillus_murinus,0.0425
T2_LvCoL_(BA+WSG), Tauroursodeoxycholic acid (NIST14).1,0.04
T2_LvCoL_(BA+WSG), Cholic acid (NIST14).14,0.0375
T2_LvCoL_(BA+WSG), Taurocholic acid.1,0.0375
T2_LvCoL_(Metabolomic+WSG),phosphocholine (NIST14),0.126666667
