,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,589_T2,591_T2,593_T2,595_T2,597_T2,599_T2,601_T2,603_T2
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
α-Hyodeoxycholic acid methyl ester ,0,0,3569,0,0,0,0,0,0,17491,9516,6290,0,7519,9164,8405
α-Hyodeoxycholic acid methyl ester .1,0,0,0,0,0,17388,0,0,0,0,0,94483,0,126219,17182,0
α-Hyodeoxycholic acid methyl ester .2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .3,0,0,0,0,0,0,0,0,0,0,0,0,0,46734,0,0
α-Hyodeoxycholic acid methyl ester .4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .5,0,0,0,0,0,0,0,0,25336,93385,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .6,0,0,0,0,0,0,40110,0,80104,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .7,22266,0,0,76694,67035,0,40855,16858,0,0,0,0,0,0,0,2521
β-Hyodeoxycholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.1,0,0,0,11171,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.2,0,0,33602,0,0,0,0,0,0,0,0,106822,0,0,533838,20802
β-Hyodeoxycholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3753,0,0
β-Hyodeoxycholic acid.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4260,0,0
β-Hyodeoxycholic acid.7,134144,46738,33183,0,85806,0,54497,55798,81830,60951,47311,10533,0,180478,82428,122784
β-Hyodeoxycholic acid.8,0,0,0,0,0,6730,0,0,0,0,0,0,0,0,12826,0
β-Hyodeoxycholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,12215,0,0
β-Hyodeoxycholic acid.10,0,0,0,0,0,0,0,14220,0,63372,0,0,0,0,0,0
β-Hyodeoxycholic acid.11,0,4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.13,0,0,0,48734,10839,0,0,0,0,0,0,89150,0,0,86304,73531
β-Hyodeoxycholic acid.14,0,30172,91563,47119,36225,0,0,0,67059,0,0,0,106996,0,0,0
β-Hyodeoxycholic acid.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.16,0,0,0,0,0,0,0,0,25439,0,0,0,44869,0,0,0
β-Hyodeoxycholic acid.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.19,0,0,13057,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.2,0,0,0,0,0,0,0,40265,0,0,0,0,0,0,0,0
β-Muricholic acid.3,34752,0,9709,0,0,0,33014,110059,0,10007,27072,245669,91610,7250,20036,47090
β-Muricholic acid.4,0,0,0,5999,0,0,2435,0,0,0,0,0,0,0,0,0
β-Muricholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.6,0,0,0,0,0,0,0,0,0,0,39446,0,0,0,0,20155
β-Muricholic acid.7,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.8,0,0,7994,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.9,42753,0,0,0,0,28939,0,0,0,154624,67119,168012,0,49559,221232,0
β-Muricholic acid.10,0,32331,0,0,0,0,0,0,15572,0,0,0,0,0,0,0
β-Muricholic acid.11,0,0,19237,0,0,0,0,42183,120469,428188,0,142196,0,150245,129546,101924
β-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.13,0,0,0,0,33226,0,0,0,0,0,0,0,63525,138933,161646,0
β-Muricholic acid.14,0,0,0,0,0,0,27851,0,0,0,0,0,0,0,0,0
γ-Muricholic acid,0,0,0,0,0,0,0,16682,0,0,0,0,0,0,0,0
γ-Muricholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9088
γ-Muricholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.4,218554,0,271955,249556,473181,177361,0,196420,439351,56190,415145,0,0,233202,82473,0
γ-Muricholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,229029,0,0
γ-Muricholic acid.6,145042,0,31101,0,0,27608,0,204990,0,0,21392,0,0,0,82905,100393
γ-Muricholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5731,0,0
γ-Muricholic acid.8,89154,0,0,0,63233,41819,60663,23754,0,0,53170,101904,33971,0,145991,67654
γ-Muricholic acid.9,0,0,0,0,0,0,0,0,0,0,48831,0,0,0,0,0
γ-Muricholic acid.10,0,40284,40011,0,0,0,60136,0,46641,50574,0,0,44825,0,48645,0
γ-Muricholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.13,0,0,0,14694,0,0,0,0,0,41687,0,0,0,31552,0,0
γ-Muricholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49698,0
3β-Hydroxy-5-cholenoic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.3,0,0,0,0,0,0,0,0,0,2885,0,0,0,2983,7290,0
Chenodeoxycholic acid,20543,0,0,0,15336,12793,0,12555,0,0,0,44871,0,11249,0,22475
Cholic acid,30853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12986
Cholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.2,0,0,0,0,3347,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.3,0,26114,0,0,0,0,0,0,25873,0,0,0,61381,0,50446,0
Cholic acid.4,0,0,0,0,0,0,0,0,0,0,0,45520,47045,0,0,0
Cholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.6,0,0,0,0,0,0,0,0,0,0,0,0,0,92999,0,0
Cholic acid.7,0,0,0,0,0,0,0,0,0,0,0,0,16235,478927,0,38463
Cholic acid.8,77133,110941,0,0,145862,0,64644,0,500448,79751,46025,210005,455344,77700,664810,149354
Cholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid methyl ester,62100,2667,0,188012,71866,8706,66989,13762,2608,5712,0,0,0,0,0,0
