,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
α-Hyodeoxycholic acid methyl ester ,0,0,0,0,0,5456,0,0,0,0,3569,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .1,43335,47148,0,0,7217,0,0,0,0,0,0,0,0,17388,0,0
α-Hyodeoxycholic acid methyl ester .2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .3,0,0,10539,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
α-Hyodeoxycholic acid methyl ester .6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40110,0
α-Hyodeoxycholic acid methyl ester .7,19372,0,25594,145888,10382,54213,0,0,22266,0,0,76694,67035,0,40855,16858
β-Hyodeoxycholic acid,0,0,0,0,0,10630,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.1,0,0,0,4101,0,0,0,0,0,0,0,11171,0,0,0,0
β-Hyodeoxycholic acid.2,0,0,0,0,0,0,0,25618,0,0,33602,0,0,0,0,0
β-Hyodeoxycholic acid.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.7,286927,21348,19374,11160,63213,70736,0,23456,134144,46738,33183,0,85806,0,54497,55798
β-Hyodeoxycholic acid.8,0,0,0,0,0,0,0,0,0,0,0,0,0,6730,0,0
β-Hyodeoxycholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14220
β-Hyodeoxycholic acid.11,0,0,0,0,0,0,0,0,0,4467,0,0,0,0,0,0
β-Hyodeoxycholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.13,0,55295,0,0,19579,0,0,0,0,0,0,48734,10839,0,0,0
β-Hyodeoxycholic acid.14,0,0,53543,0,0,50660,81984,50337,0,30172,91563,47119,36225,0,0,0
β-Hyodeoxycholic acid.15,0,0,0,28519,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.17,0,0,0,0,0,0,5175,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Hyodeoxycholic acid.19,0,0,0,0,0,0,0,0,0,0,13057,0,0,0,0,0
β-Hyodeoxycholic acid.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40265
β-Muricholic acid.3,86942,42398,116968,45987,0,0,0,45404,34752,0,9709,0,0,0,33014,110059
β-Muricholic acid.4,0,0,0,0,0,0,0,0,0,0,0,5999,0,0,2435,0
β-Muricholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.6,0,0,0,12184,3036,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.7,0,0,0,0,0,0,0,0,2114,0,0,0,0,0,0,0
β-Muricholic acid.8,0,28150,0,0,0,0,0,0,0,0,7994,0,0,0,0,0
β-Muricholic acid.9,0,302958,0,0,0,0,0,0,42753,0,0,0,0,28939,0,0
β-Muricholic acid.10,0,0,0,0,0,0,0,0,0,32331,0,0,0,0,0,0
β-Muricholic acid.11,0,355465,0,0,0,35754,270564,33788,0,0,19237,0,0,0,0,42183
β-Muricholic acid.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
β-Muricholic acid.13,0,0,29365,0,53547,0,0,0,0,0,0,0,33226,0,0,0
β-Muricholic acid.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27851,0
γ-Muricholic acid,0,0,0,12794,13356,0,0,0,0,0,0,0,0,0,0,16682
γ-Muricholic acid.1,14747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.2,0,0,0,0,0,0,0,3152,0,0,0,0,0,0,0,0
γ-Muricholic acid.3,0,0,0,13781,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.4,0,0,224133,506619,0,238772,379059,0,218554,0,271955,249556,473181,177361,0,196420
γ-Muricholic acid.5,0,0,0,0,0,134104,0,64349,0,0,0,0,0,0,0,0
γ-Muricholic acid.6,210951,71821,0,118445,31363,130301,27631,0,145042,0,31101,0,0,27608,0,204990
γ-Muricholic acid.7,154564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.8,48659,0,0,64579,62523,87919,50122,113721,89154,0,0,0,63233,41819,60663,23754
γ-Muricholic acid.9,0,0,27825,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.10,60245,115573,0,0,38868,0,0,0,0,40284,40011,0,0,0,60136,0
γ-Muricholic acid.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.12,0,0,0,0,0,0,13427,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.13,0,0,0,0,0,0,0,0,0,0,0,14694,0,0,0,0
γ-Muricholic acid.14,0,0,51828,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
γ-Muricholic acid.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid,13608,0,0,0,0,7252,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid.3,0,0,0,3596,0,0,0,18475,0,0,0,0,0,0,0,0
Chenodeoxycholic acid,0,0,0,0,0,0,0,0,20543,0,0,0,15336,12793,0,12555
Cholic acid,58163,0,0,0,0,0,0,60670,30853,0,0,0,0,0,0,0
Cholic acid.1,0,0,80468,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.2,0,0,0,0,0,0,0,0,0,0,0,0,3347,0,0,0
Cholic acid.3,21605,0,0,0,48049,51093,0,0,0,26114,0,0,0,0,0,0
Cholic acid.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.7,0,433511,0,89865,30259,0,35870,0,0,0,0,0,0,0,0,0
Cholic acid.8,127048,193210,50481,90324,144221,23157,0,91420,77133,110941,0,0,145862,0,64644,0
Cholic acid.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid.11,0,0,0,5304,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid methyl ester,27388,0,37809,84483,49947,110105,0,0,62100,2667,0,188012,71866,8706,66989,13762
Cholic acid methyl ester.1,12785,0,0,15395,8546,15912,0,0,1847,0,0,0,12834,0,14959,0
Cholic acid methyl ester.2,6026,0,2179,20592,4808,6978,0,0,0,0,0,26717,8308,0,0,0
Deoxycholic acid,0,117895,0,0,0,0,0,45923,0,47959,0,0,0,0,0,43548
Deoxycholic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deoxycholic acid.2,0,0,0,0,0,14550,0,0,0,15890,0,21250,0,0,0,0
12-Ketodeoxycholic acid (NIST14),68133,42450,0,83227,35836,0,43315,0,0,0,0,0,0,0,0,79884
12-Ketodeoxycholic acid (NIST14).1,0,0,0,0,0,80568,0,0,0,0,0,0,0,0,0,0
12-Ketodeoxycholic acid (NIST14).2,297962,0,387329,638572,388562,656305,267585,206742,518300,190461,309475,155966,205298,376269,196318,0
12-Ketodeoxycholic acid (NIST14).3,7047,0,0,0,0,0,0,0,0,0,28324,0,0,0,5706,0
12-Ketodeoxycholic acid (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84041,0
12-Ketodeoxycholic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14),0,171678,25866,124216,18803,17066,30645,3268,0,0,0,33918,0,68041,15410,15486
3β-Hydroxy-5-cholenoic acid (NIST14).1,749912,825295,189667,91143,517288,313400,11341,469189,107783,0,219813,233353,259834,643398,274295,197124
3β-Hydroxy-5-cholenoic acid (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).3,5386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).4,0,0,0,0,0,53228,0,10804,0,28684,0,61866,0,56620,0,125196
3β-Hydroxy-5-cholenoic acid (NIST14).5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).6,0,0,0,0,0,0,0,0,369276,478970,0,0,0,0,0,0
3β-Hydroxy-5-cholenoic acid (NIST14).7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14),0,0,0,3729,0,84343,0,0,0,0,0,0,0,18428,0,0
Cholic acid (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).2,0,0,0,0,5511,0,0,0,0,0,38325,0,0,0,0,0
Cholic acid (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).4,0,0,0,0,0,0,23056,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).5,0,65431,0,0,0,7471,0,76740,0,59365,56935,0,0,0,0,0
Cholic acid (NIST14).6,0,0,0,0,0,0,0,22203,0,0,0,0,0,0,0,0
Cholic acid (NIST14).7,0,0,0,0,0,10013,0,0,0,7369,0,0,25856,0,0,0
Cholic acid (NIST14).8,0,0,0,0,0,0,0,0,7613,0,0,0,0,0,0,0
Cholic acid (NIST14).9,0,0,0,6872,0,0,23204,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).10,0,254836,10041,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholic acid (NIST14).11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4861,0
