,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,589_T2,591_T2,593_T2,595_T2,597_T2,599_T2,601_T2,603_T2
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Urobilin,0,2282,11570,0,0,0,0,0,22964,12509,10200,6259,15003,18745,12381,15477
Sumaresinolic acid,0,0,9301,0,0,9707,4198,0,0,0,0,0,0,0,0,0
Urobilin (NIST14),0,0,0,0,0,0,0,0,60065,152817,72758,21326,73454,48500,145428,143701
Urobilin (NIST14).1,0,0,6198,0,0,0,0,0,0,0,17063,0,0,3960,0,0
Urobilin (NIST14).2,0,23893,7143,0,0,0,0,0,13965,3609,0,12329,33563,0,14953,3044
Urobilin (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,2614,0,0,0,0
Urobilin (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tris(2-butoxyethyl) phosphate (NIST14),0,0,0,0,0,0,0,0,9786,0,0,0,0,0,0,0
Phe-Pro (NIST14),0,0,0,0,0,0,0,0,14550,0,0,0,0,0,0,4421
Oleoyl L-carnitine (NIST14),0,0,0,0,0,0,0,0,4293,0,25956,0,8942,0,16970,0
9(10)-EpOME (NIST14),32349,0,0,0,0,0,0,58670,0,0,19802,0,0,0,0,0
phosphoethanolamine (NIST14),0,0,0,0,0,0,0,0,0,13867,0,0,0,0,0,0
phosphocholine (NIST14),12517,44674,62081,9956,4992,4547,18362,11042,93412,94382,100247,179761,86230,120081,140467,113356
phosphocholine (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,8249,0,0,5304,0
phosphocholine (NIST14).2,0,0,0,0,0,0,1929,0,9395,6263,5007,8158,2546,8793,6200,6541
phosphocholine (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphoethanolamine (NIST14).1,0,0,0,0,0,1688,0,0,0,0,0,0,0,0,0,0
phosphocholine (NIST14).4,0,0,0,0,0,0,0,0,0,2007,0,3771,2712,0,3301,0
Ricinoleic Acid methyl ester,12225,20479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phytomonic acid,74901,17437,19721,213155,194580,18640,408415,60321,0,0,0,0,0,0,0,0
