,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,589_T2,591_T2,593_T2,595_T2,597_T2,599_T2,601_T2,603_T2
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
s_Pseudobutyrivibrio_ruminis,45,667,1059,12,5,58,71,6,31,45,148,13,53,1264,96,17
s_Parabacteroides_goldsteinii,21,46,10,40,15,30,8,50,16,65,74,28,49,40,52,82
s_Lactobacillus_reuteri,60347,55194,68130,21043,60703,149710,32456,136788,6922,56717,37726,92937,19409,22996,97239,98921
s_Lactobacillus_murinus,474,758,606,1720,2603,1123,220,1327,235,392,3596,1899,61,12,124,100
s_Lactobacillus_johnsonii,8957,4775,5707,3848,3576,29122,19410,14531,4114,29198,4104,25251,10460,2831,15544,8467
s_Lactobacillus_gasseri,4196,2706,3008,2512,1875,14053,10916,7421,2404,4325,2487,5755,5594,1884,8147,3834
s_Lactobacillus_animalis,154,200,192,486,799,333,67,326,54,101,1007,491,21,0,29,21
s_Lachnospiraceae_bacterium_14-2,80,547,867,101,27,65,95,21,67,54,147,3,70,1039,101,27
s_Akkermansia_muciniphila,2841,13813,15042,69794,25215,31932,2951,118275,5848,49966,4274,4807,3168,37235,89975,619700
s_Agathobacter_ruminis,22,414,612,40,13,21,14,5,31,30,98,10,5,729,53,13
s_Vibrio_sp._2521-89,65,437,691,89,55,92,75,45,84,61,105,35,77,754,146,45
s_Thermocrinis_minervae,94,299,417,69,60,91,124,117,76,139,93,71,72,558,126,101
s_Paenibacillus_sp._IHB_B_3084,868,4316,6337,960,585,914,1277,545,790,1139,1443,531,823,7017,1122,558
s_Corynebacterium_uterequi,522,472,287,4591,1370,793,499,1096,960,788,614,538,635,333,490,651
s_Borrelia_anserina,153,512,614,157,126,212,172,189,157,223,137,114,166,665,179,130
s_Bacteroides_vulgatus,31358,20202,18492,38915,63107,79987,27138,410960,30462,42663,55670,61312,37403,16770,83782,53351
s_Lactobacillus_amylolyticus,832,526,734,358,340,2681,409,379,314,1102,386,3023,965,388,679,463
s_Lactobacillus_acidophilus,1164,668,956,487,641,4050,761,886,382,1675,559,4307,1265,315,1158,974
s_Candidatus_Arthromitus_sp._SFB-mouse-NL,93,12,22,427,943,768,254,497,156,193,15,235,1074,12,363,615
s_Candidatus_Arthromitus_sp._SFB-mouse,127,76,109,569,1210,1039,342,621,248,254,38,321,1343,82,499,845
s_Acetobacter_sp._SLV-7,49,344,482,43,19,38,46,28,50,72,95,42,30,590,73,31
s_Roseburia_inulinivorans,232,801,1165,254,100,268,513,103,191,309,199,82,190,1474,262,142
s_Faecalibaculum_rodentium,52034,11601,9467,67774,42802,101746,16744,159630,12232,81206,70173,51661,86337,33810,33026,167975
s_Entomoplasma_freundtii,69,395,529,73,68,110,92,100,82,195,103,65,78,685,155,68
s_Chlamydia_caviae,101,256,374,76,63,97,161,81,147,175,64,68,123,369,206,69
s_Bifidobacterium_pseudolongum,508654,74669,72735,232867,247987,203272,126318,433795,189712,174285,248225,171483,209153,53719,213615,493837
