,T5_570,T5_571,T5_572,T5_573,T5_574,T5_575,T5_576,T5_577,T5_578,T5_580,T5_581,T5_582,T5_583,T5_584,T5_585,T5_586
Treatment,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Urobilin,0,0,0,0,0,0,0,0,0,5245,13247,0,0,18011,24037,0
Sumaresinolic acid,15874,0,0,2361,11902,0,7212,27227,0,0,0,0,0,37491,6618,23686
Urobilin (NIST14),0,0,2527,0,2918,0,0,0,0,0,0,0,0,8883,11570,897
Urobilin (NIST14).1,0,0,0,0,0,0,0,0,0,6703,0,0,0,0,0,0
Urobilin (NIST14).2,0,0,0,0,0,0,0,3499,0,6519,9531,0,0,23016,0,0
Urobilin (NIST14).3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1915,0
Urobilin (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,6406,0,0
Tris(2-butoxyethyl) phosphate (NIST14),0,0,0,0,0,0,0,17026,0,0,0,0,0,0,0,0
Phe-Pro (NIST14),0,0,0,0,0,0,0,0,0,0,1942,0,0,0,0,0
Oleoyl L-carnitine (NIST14),0,0,0,0,0,0,0,0,6083,0,0,0,0,0,0,0
9(10)-EpOME (NIST14),14911,0,0,0,0,0,7102,0,0,0,34071,0,0,0,23638,13236
phosphoethanolamine (NIST14),0,0,7738,8114,34979,11030,0,0,29909,0,0,0,0,9865,8318,12651
phosphocholine (NIST14),15425,19040,31150,27744,46552,28440,19034,13506,38848,15738,0,8514,22912,37553,22670,36385
phosphocholine (NIST14).1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphocholine (NIST14).2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
phosphocholine (NIST14).3,0,0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0
phosphoethanolamine (NIST14).1,0,0,0,0,0,0,0,0,0,10767,0,0,0,4380,4242,0
phosphocholine (NIST14).4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ricinoleic Acid methyl ester,0,45589,0,48658,33017,0,0,0,19288,9889,8395,0,20777,0,0,0
Phytomonic acid,38632,152386,39215,118858,236305,164745,41920,71285,434919,34611,37765,152752,115298,244871,0,110448
Phytomonic acid.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
