"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"81173df2e0d11f133fc2754e3298c119","k__Bacteria",NA,NA,NA,NA,NA,0.938434759927326
"1bbef1070bedf0db507fb6c7b5c28fff","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.989324659194199
"cf32fb1a1851ffab51de8b752990d321","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99999999239671
"3440e49bbd5cc4432ab49dd963d49bcd","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999983889722
"246d75fddaaf609d9e2ee0292360b064","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Clostridium",0.735224588115761
"37835e4fbbd6bb6b2f6dbbbad70f9372","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999155868907
"439e4f84c2a2e0c0f39e67ceabe0632a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999932883429
"7a82038a2a87643382fdc201dacb1009","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.982326492715048
"97855d38c5ce75bc28db3201640ab0b2","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.874015592901976
"88b905e812e0d73b7a740796f1969218","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999980832442
"4c7ad9177b8f808b98713da6557b7bf1","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999794005639
"be43da52e9710f5f0179d39616a0cd02","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999961353254
"b9c08a80084a5817a32ad811704367c4","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.99975936170503
"ae6f858a33e49815fcd83690ada389c8","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999948524747
"6822dc1497ea5724bc61e02b3cf0511f","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999776095304
"0cc8dadc34650e1d79815b5f3fab5efe","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999630667671
"36c7395784ef4aee8b64edeb937ba621","k__Bacteria"," p__Deferribacteres"," c__Deferribacteres"," o__Deferribacterales"," f__Deferribacteraceae"," g__Mucispirillum",0.999999990063429
"564bb4db498125e08f141d6e48c9dcc7","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.867658013073385
"e19798f8cfd40879dd24a317312bde7b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Prevotellaceae"," g__Prevotella",0.999986267242199
"b2c1c518a311037462a93c63f9dfdf95","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.824575979229684
"d72de21351327f57ef58860b9b39b81b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999981881014408
"6a126dc027a872af6bfe7fde7da6b492","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999928986841
"47efe892b8c48b5dd79f8bc3220443ca","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999984431589822
"1c346134371daba583451f711fe76e1a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999997049201
"b734bb8187882c0b6042f08b266d289b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999980289154421
"118108e102c809deccf452084c5b5748","k__Bacteria"," p__Actinobacteria"," c__Actinobacteria"," o__Bifidobacteriales"," f__Bifidobacteriaceae"," g__Bifidobacterium",0.999692246556317
"47e13ed5a6f8712dc0cd439dca1aa08c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999419882554
"bc3d4362a4202a212746fb992ef35d51","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999992406536276
"fb3fc6723c3ed135648168e874291b8b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999414975208
"9582387a23e2d8d87ed656d10f84ee96","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999895181722
"77520d0483e835490295ba68ccae1b52","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Porphyromonadaceae"," g__Parabacteroides",0.999991068350196
"4293a84720569009161eb26dc6cba31c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999957448822382
"677076069aa21be705e7f9cb6c5e0579","k__Bacteria"," p__Firmicutes"," c__Erysipelotrichi"," o__Erysipelotrichales"," f__Erysipelotrichaceae"," g__Allobaculum",0.999999999998906
"fd2c2023f3ca8bdc26c691005c00e8e0","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999225223634
"7512e516855837e55a95ca685a3bc714","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999537058097118
"e6b01b0ad4ed8bce1f814c169cbc3a0f","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.908918403758383
"add6feb7ab50d5292ffdc30d3d8cbcb7","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.991676612074839
"1340d7bd19fb54f05aabc65c59164a63","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.768151298282867
"1e13613ca465745db0658b91fad8e5ea","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999999790414939
"67fa0e36c7b2f17e776555c2ff1b6d58","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999797248697
"81a45867f42b8646c5baa25e316a7e8e","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Clostridium",0.730853639880934
"4ea69d06f616277af82c80f0146d0786","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999871213441
"cf94770985ba174185d17a5ab37963ca","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__"," g__",0.998361362813481
"72c6e8e287f33173363fee9104ca069b","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999989931538
"e496e5c97263724cfec61dd8dad35a1c","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.735399940509069
"8a2bd3a395e351012e31a316b967a938","k__Bacteria"," p__Proteobacteria"," c__Betaproteobacteria"," o__Burkholderiales"," f__Alcaligenaceae"," g__Sutterella",0.999993465399561
"da8876479dde28ced2b330bb3062df4c","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.783855306085607
"591ce37645e00a81740c7ebc1b1f5cb8","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.780365657992546
"cb6a59f2bcd26aa8df7718184e76fb82","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999864822053
"203f2e54a253f4f3ac6d67b49d88178f","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.87668193334203
"e0f4e7e0acbc2c738bf141c5ceec76f9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.848514020250427
"18fbe7e4d6151e45082cf9213cb50ca9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999985193933342
"88883d70638a5a61d83d762f609bd698","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.886157920508719
"72dd9669fadde468973b64f4ac75d836","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.986240711206419
"0dc8ff6ef37c4d1cfa0798861e3f58c8","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.924237445416868
"0769a8be8e375689f19a7a42eb339c8c","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999992654678114
"2df06c54f46d49fcdd8a9c5336193b19","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.907748246048116
"6249bd8882df4a41fab65c3932d984a4","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.989961708593353
"873c1280be0a6a5fa414a0ec645ef9c2","k__Bacteria"," p__Verrucomicrobia"," c__Verrucomicrobiae"," o__Verrucomicrobiales"," f__Verrucomicrobiaceae"," g__Akkermansia",0.999999999995481
"8f2469a6b1a7c2e6b92bcbf8e2195a2f","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.99999999762136
"9f23815a5dbdd2e02f55dec92a674bf8","k__Bacteria"," p__Proteobacteria"," c__Deltaproteobacteria"," o__Desulfovibrionales"," f__Desulfovibrionaceae"," g__Desulfovibrio",0.999998466575004
"1c3c9d6517e77758bd0159dcc8fff029","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.787221986586741
"39d02e6f215fd48ab9402e36f3891a76","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.917069808131065
"83d51edab438aa08f5a4ac383bcccdca","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__[Ruminococcus]",0.995990525266976
"b6fd73b83e9c7d1ceeb3f0d55f1a2bea","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Ruminococcaceae"," g__Oscillospira",0.982438723701947
"af317b235818f322e2fff3be961f9e76","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae",NA,0.813679270086746
"a5315ec52442b33faba7b47d645eec84","k__Bacteria",NA,NA,NA,NA,NA,0.927208004262513
"ccbd784df290de31b6b346ea8246646b","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__",0.865832311299858
"32819e6cef57f62d66ad1bb28bd6307b","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Clostridium",0.779838131972812
"ae10560b5995ac0b285b9a62afd8d0ee","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.700508485461095
"dd1d307a75c8a8e9862f1893a6d9eab8","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999995636462988
"fda15647e16223e912cd5922cb49be9e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999991373653319
"84643fc13d9942ff4c4d4ce9f2bf68d9","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.992248158312238
"0b440ee4bbbd92deab23f49b8334ebcb","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales",NA,NA,0.999998640166517
"57756402af6767f813d99963742f8893","k__Bacteria"," p__Firmicutes"," c__Bacilli"," o__Lactobacillales"," f__Lactobacillaceae"," g__Lactobacillus",0.999558784372374
"74004ed0d05ba107fa630ba01c17660d","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__"," g__",0.867120602686311
"e778aa6fa7bde2db61430e0ef65ba06f","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.957774887305118
"51a9f401d0bd939f2ecafa6df355d122","k__Bacteria"," p__Firmicutes"," c__Clostridia"," o__Clostridiales"," f__Lachnospiraceae"," g__Anaerostipes",0.970930096266037
"8d38fa14aa40fa004dcb465265d9006a","k__Bacteria",NA,NA,NA,NA,NA,0.887372742884909
