,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
a3dcb19f8e0a941607e4a9ee79d731cd,5.6969747568468,6.07093578546002,6.07093578546002,2.73209486283016,2.22208089040187,0.02627783946448,0.999734109004005,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999995
d4418e6484d1c62d1d5d265f7fb14b22,4.86724042966734,5.84407222189331,5.84407222189331,2.98681131297287,1.95662584928289,0.050391473606425,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea,0.9630263
33541adbf68c557a010e5b9a4a061144,12.519115826428,-5.71100604469498,5.71100604469498,2.64580243890491,-2.15851567778384,0.030887760819131,0.999734109004005,k__Bacteria, p__Firmicutes, c__Erysipelotrichi, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Allobaculum,0.9999999
78bd4f10a55dea9609f3a8df20c20cba,3.56866366837957,-5.14265727983458,5.14265727983458,2.99772144299255,-1.71552206488566,0.086249553525198,0.999734109004005,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Parabacteroides,0.9974219
84643fc13d9942ff4c4d4ce9f2bf68d9,2.66478559331602,-4.73467797596445,4.73467797596445,3.00001492632343,-1.57821813965668,0.114515504342045,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9922482
81173df2e0d11f133fc2754e3298c119,1.74520888945653,4.38404778645248,4.38404778645248,2.69908334975024,1.62427284317031,0.104317590452326,0.999734109004005,k__Bacteria,NA,NA,NA, f__, g__,0.9384348
f04a9cacfbff7f4e852eaefc7d7517fa,1.1985345018472,-3.53963907687682,3.53963907687682,3.011952513407,-1.17519750431687,0.239915708474504,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__,0.9770254
36e50741c2408bc85da2591ac198279c,11.2987585624187,3.47912611649368,3.47912611649368,2.66972571658527,1.303177361959,0.19251421690959,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Ruminococcus,0.8449581
2b31f000e143280148198508065a3250,1.07170724948579,-3.43786755878697,3.43786755878697,3.01349335056521,-1.14082467052471,0.253942892024421,0.999734109004005,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__,0.9398223
0432b7c74cad26c6be25ebb6722afbfd,79.1107853365033,-3.39452306460372,3.39452306460372,1.80881402946904,-1.87665675370737,0.060565153446084,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9823505
21b85c60ae5f94ac86f0b9b898837f42,37.9661616078396,-3.37398953384429,3.37398953384429,2.33262906722954,-1.44643208868677,0.148056047012347,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9344426
b619912f29ad67fec970fac9a84dd48d,33.6009397391856,-3.07329851808065,3.07329851808065,1.98141960283469,-1.55105890427443,0.120887568423276,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9047536
da8876479dde28ced2b330bb3062df4c,81.2467013138383,2.90447240980318,2.90447240980318,1.67212937025038,1.73699024816978,0.082388892183302,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7838553
2e40536ae1185162a31f9547fd870d61,29.0012654892034,-2.48727211686696,2.48727211686696,2.61437102553045,-0.951384517567585,0.341409216837786,0.999734109004005,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9991957
c9a4ee42b7aa7f30aeff1b8b5dca052b,7.9535527108369,-2.44088438183105,2.44088438183105,2.51052391024794,-0.972260957908975,0.330920741532133,0.999734109004005,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Anaeroplasmatales, f__Anaeroplasmataceae, g__Anaeroplasma,0.9999955
