,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
81173df2e0d11f133fc2754e3298c119,35.212759065784,23.2508460043561,23.2508460043561,2.68980732365645,8.64405632324234,5.42517905038286E-18,1.00365812432083E-15,k__Bacteria,NA,NA,NA, f__, g__,0.9384348
a3dcb19f8e0a941607e4a9ee79d731cd,8.25122961200538,6.44807010595226,6.44807010595226,2.41792197633481,2.66678171134642,0.00765813944223,0.568746661135822,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999995
9b3375f969c6930226c273f796d1d231,14.991145660046,6.22262394293165,6.22262394293165,2.44937915356147,2.54049028460285,0.011069716910735,0.568746661135822,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.7653772
3228f851ce969374df8d97f5f08c330b,4.62095565490892,5.6146577504256,5.6146577504256,2.93145392176213,1.91531502806313,0.055452340206696,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Ruminococcus,0.9999417
b99fc3e445618f1a0d9035eff577263e,45.7554165985555,-4.53548938613523,4.53548938613523,1.87145845859979,-2.42350524281936,0.015371531382049,0.568746661135822,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
2b31f000e143280148198508065a3250,24.3637389654152,3.74019879194873,3.74019879194873,2.11966772624911,1.7645212717218,0.07764425722884,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__,0.9398223
36e50741c2408bc85da2591ac198279c,11.5408753709523,3.68989755270978,3.68989755270978,2.60417358425208,1.41691689640939,0.156507225883542,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Ruminococcus,0.8449581
d4418e6484d1c62d1d5d265f7fb14b22,1.08146109466089,3.53421220896143,3.53421220896143,2.99617473873697,1.17957479691297,0.238169371762625,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Dorea,0.9630263
c09074464206817083722a081459ddd1,0.888343042042871,3.25445278525294,3.25445278525294,3.00083668181734,1.08451513038757,0.27813646210142,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9994223
ec80a1891cfa84607cf8a35946fad94e,50.2436943591278,-3.18098044217999,3.18098044217999,1.8608063736677,-1.70946342789561,0.087365140560763,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__,0.9674034
6ea7bdb7d3293b48398394731ed84de2,0.733848599948459,2.98346381787798,2.98346381787798,3.00628012901024,0.99241045073874,0.320997343014076,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Coprococcus,0.9682413
048dc38c4a9a224153a8666a4cbb07d1,3.72061816724403,2.62119184080149,2.62119184080149,2.29837442517005,1.14045466747985,0.254096928658352,0.979355321900581,k__Bacteria, p__Actinobacteria, c__Coriobacteriia, o__Coriobacteriales, f__Coriobacteriaceae, g__,0.825434
c77b7b306fb194ebdeeaa40339ad9cce,105.916816444471,-2.60036939464981,2.60036939464981,1.17427374240116,-2.21444906818113,0.026797902653771,0.826268665157923,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8513484
2be703e8e1b05e3945aaa70fc9821d43,34.5560808828861,2.45527156468043,2.45527156468043,2.20204348546449,1.11499685673216,0.264851768700506,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.8304349
8d38fa14aa40fa004dcb465265d9006a,1.29405062471604,-2.35286203808142,2.35286203808142,2.98293055413513,-0.78877533197001,0.430243329627879,0.979355321900581,k__Bacteria,NA,NA,NA, f__, g__,0.8873727
78bd4f10a55dea9609f3a8df20c20cba,1.77221469598055,-2.28580819863685,2.28580819863685,2.97292262777165,-0.768875778092541,0.441967057911614,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Parabacteroides,0.9974219
b619912f29ad67fec970fac9a84dd48d,39.4872205374149,-2.28033364552272,2.28033364552272,2.03726338530403,-1.11931214293257,0.26300699723893,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9047536
da8876479dde28ced2b330bb3062df4c,67.6079575256016,2.26452675905091,2.26452675905091,1.46955612361312,1.54095969705685,0.123326595214438,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7838553
3e3c812fe6a574d495c314f848dba08f,2.65041489784678,-2.2364065512078,2.2364065512078,2.94849918841586,-0.758489797112462,0.448157818718439,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.9658721
41431f6bc3715b410ef73e7de4c2d6f2,9.88427823848276,2.19931499946013,2.19931499946013,1.78530811288319,1.23189660293894,0.217987710555063,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.7056976
28180ce35a01bcafb94b066753031b2a,63.8223535906187,-2.18838185979523,2.18838185979523,1.65704679249782,-1.32065181846584,0.186617486305062,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9193676
b9baf0846f02a440dd9ec7467ba08e4e,50.1119520556372,-2.06440285327917,2.06440285327917,1.66883848405059,-1.23702975033777,0.216076037976609,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.9980518
78294016c5c6f7fa870eb7c560b342a8,28.3949940667224,-2.04479506119139,2.04479506119139,2.41607048481534,-0.846330880676967,0.397368185402373,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.916652
51a9f401d0bd939f2ecafa6df355d122,123.972680990807,2.0105598268763,2.0105598268763,1.32886366282685,1.51299180128027,0.130281741437668,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__Anaerostipes,0.9709301
66e8f1d4cc50aeaf934e9c61a4592209,0.347612494712428,1.96121027208219,1.96121027208219,3.03653739306593,0.645870614523207,0.518363151687874,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9996818
21b85c60ae5f94ac86f0b9b898837f42,37.8197469216394,-1.95477611016938,1.95477611016938,2.03893945667704,-0.958721998227045,0.337698813315496,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9344426
3e074de067ed0ac2f1f18e9d78aa5e5a,8.20834265004157,1.93199209280426,1.93199209280426,2.20488621617851,0.876232106050703,0.380903865902784,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.8085288
873c1280be0a6a5fa414a0ec645ef9c2,31.9120847857426,-1.87538119591294,1.87538119591294,1.36446544241535,-1.37444389400817,0.169303917124789,0.979355321900581,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae, g__Akkermansia,1
74004ed0d05ba107fa630ba01c17660d,86.2316241022591,1.82862358934026,1.82862358934026,1.65833315133324,1.10268771258062,0.270162804613323,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.8671206
2dba09cb8ca324253d1b60c9e3981d72,89.7429284436254,-1.82312440591331,1.82312440591331,1.46605347923939,-1.24355927783697,0.21366181147882,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,1
a5315ec52442b33faba7b47d645eec84,1.0841306191954,-1.78823523595455,1.78823523595455,2.98718701956886,-0.598635178929188,0.549416191663736,0.979355321900581,k__Bacteria,NA,NA,NA, f__, g__,0.927208
f0ae1bf4cca3475bd198f7d575b7b173,25.1585484208094,-1.75436132244178,1.75436132244178,2.43211410401842,-0.72133183206461,0.47070537647821,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__,0.9978029
4c1ca5d7e3a151ae13b947bed389961b,5.62500958460142,-1.71032217291005,1.71032217291005,2.87959375285829,-0.593945646399733,0.552548467461624,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9795865
84643fc13d9942ff4c4d4ce9f2bf68d9,40.1753698667014,1.58293461925828,1.58293461925828,2.03610361570311,0.777433234266745,0.436903211044331,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9922482
72c6e8e287f33173363fee9104ca069b,83.7737294965103,1.5828538510549,1.5828538510549,1.25101018450939,1.26526056354661,0.205777938445103,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
034db5f6931e0f3bbc3b3fc7ece070ef,8.92625377263541,1.53066560567783,1.53066560567783,1.85923270546349,0.823278119613461,0.41034985338476,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Porphyromonadaceae, g__Parabacteroides,0.9923168
7cba75b1c3a66a333102a8f0e4ae35bf,62.2639696043422,1.48962486087803,1.48962486087803,1.67369615864688,0.890021078904988,0.373454567761226,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9043357
200251de3ea195fcbd76ad8e294663b4,52.7387180212049,1.48668899391222,1.48668899391222,2.23461381637241,0.665300188793093,0.505858509867385,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.7300732
83d51edab438aa08f5a4ac383bcccdca,104.035376453365,1.44886598518112,1.44886598518112,1.50096791492016,0.965287779158283,0.334400691152709,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__[Ruminococcus],0.9959905
203f2e54a253f4f3ac6d67b49d88178f,75.7966472313264,-1.44134193623978,1.44134193623978,1.16052702934825,-1.24197187983569,0.214246937380187,0.979355321900581,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.8766819
7e171bfaa2c6a60b2cce7fa9d2bef849,5.82179718943458,1.37805284317742,1.37805284317742,2.28176790653733,0.603940847458351,0.545882970224126,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae, g__Candidatus Arthromitus,1
0b440ee4bbbd92deab23f49b8334ebcb,54.9879509471796,-1.37439495599641,1.37439495599641,2.02810402880337,-0.677674782199082,0.497977919080056,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999986
da03a24b8629651c1919a1590b06261e,31.0655534810138,1.36923484943305,1.36923484943305,1.86141834448661,0.735586846174925,0.461982170038761,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999986
be43da52e9710f5f0179d39616a0cd02,274.765221944202,1.32721210599046,1.32721210599046,0.5315588066483,2.49683024604387,0.012530892711321,0.568746661135822,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
cf94770985ba174185d17a5ab37963ca,208.804086885991,1.31576444242211,1.31576444242211,0.898612792417295,1.46421735092672,0.143134570882629,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__, g__,0.9983614
2e40536ae1185162a31f9547fd870d61,88.2803119339508,1.30459003321477,1.30459003321477,1.68241593136134,0.775426580845054,0.438087633468725,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9991957
d3387612b080ee68341de8caf841d96b,12.8681047301669,-1.29249045360372,1.29249045360372,2.22405294402217,-0.581141944969292,0.561144791050361,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999711
a3ef50a2bcc5e1c9895430a65c32e2ea,4.48195611911594,-1.27050624724968,1.27050624724968,2.9118603109665,-0.436321152654461,0.66260373685522,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9999907
c324caeb0754925f72cabb5aabfc2994,34.8139530523988,-1.24168912534729,1.24168912534729,1.35814632359719,-0.914252834008742,0.360584007974829,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__,0.9736561
b01f32c861fc42f477ca2787f9564c8c,18.4760338034525,1.21419209897405,1.21419209897405,2.21845410762289,0.54731449922806,0.584162684309946,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Ruminococcaceae, g__Oscillospira,0.9972621
0432b7c74cad26c6be25ebb6722afbfd,112.902710628637,-1.20920407029135,1.20920407029135,1.50213089739231,-0.804992475949013,0.420824021651626,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9823505
73c0a862e965920b132e83a4ef28af02,7.21978533847362,1.20418557015029,1.20418557015029,2.25495045400279,0.534018637976159,0.593328639233121,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.8838953
f72e816ab95edefeb88a3c1c60300aad,86.5581099474095,-1.19866415586071,1.19866415586071,1.70890775547474,-0.701421215990512,0.483040185527285,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9997635
4e933712b85bcbfbf13b99881e591140,17.5651501945854,-1.18942946477896,1.18942946477896,2.02576708847778,-0.587150157362234,0.557102863811826,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.8705952
cf32fb1a1851ffab51de8b752990d321,264.676058883249,1.16341281244445,1.16341281244445,1.13135434886387,1.02833635952588,0.303791633338942,0.979355321900581,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,1
bf7b5b8347141f99a91cd4fb687a89e9,40.1617024929952,-1.14644079855798,1.14644079855798,1.36744740042815,-0.838380180619031,0.401817216958938,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.793865
2a810af1d5ac1d37e1be2322eef67372,22.1468683798487,1.14382654016075,1.14382654016075,1.04029361277331,1.09952279444592,0.271540097003579,0.979355321900581,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Desulfovibrionales, f__Desulfovibrionaceae, g__Bilophila,0.9999994
74d88b7ee611537951e70963ca285eda,14.7630850417474,-1.14244989822921,1.14244989822921,2.46583749478221,-0.463311106529391,0.643141385894876,0.979355321900581,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae, g__,0.9094794
