OTUID,Kingdom,Phylum,Class,Order,Family,Genus
1bbef1070bedf0db507fb6c7b5c28fff,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
54843b106b5061dc17ca8f371d357b44,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
ff3c4e848cb548750221af3deb5389dc,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
646c18c31a1f6154773b7b8e64b5c658,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
5171cbfbcd1781f0d7e7a7bdb94fb126,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
74803c74b50392f83753468b9235c931,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
2a2bbfefccc170850029ee0b903a7301,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
b90340baf132ddf80f4a342d544f1b03,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
e305ca72b43b91c7a701c947a71ef4b7,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
ad4f3211c1c7fd39e69c4a22600a9475,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
5a3a6d477b5fb489d2f7317edcd9b9cc,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__[Paraprevotellaceae], g__CF231
cf32fb1a1851ffab51de8b752990d321,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
0f54807ebcdb7fa491db917beeb3595e,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
3440e49bbd5cc4432ab49dd963d49bcd,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
cc3ff094f1c3297ae1c88cab123ca109,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
de99c650af737e28dff50e5c852ebb84,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
280f71fdbdabf1d2c4fd57cb3e93ed43,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
37835e4fbbd6bb6b2f6dbbbad70f9372,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
439e4f84c2a2e0c0f39e67ceabe0632a,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
7a82038a2a87643382fdc201dacb1009,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
97855d38c5ce75bc28db3201640ab0b2,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__
88b905e812e0d73b7a740796f1969218,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
4c7ad9177b8f808b98713da6557b7bf1,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
4a9c16d3ce654f02a454cdea74b597bb,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
be43da52e9710f5f0179d39616a0cd02,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
b9c08a80084a5817a32ad811704367c4,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
af445601ff19932662af5c837b079065,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
e5180ec90317980d3120ca519bda5e5e,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
9262057290033adeed0ee63ad7d0870c,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
5316280028c25084443f731768aa5707,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
030b340f702523604f24be192ae18439,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
ae6f858a33e49815fcd83690ada389c8,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
dd9638b9f5a15e2a9d6394ad04444d21,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
e3e20348b3527232a0c237f9d7811f3c,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__
6822dc1497ea5724bc61e02b3cf0511f,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
2e644a61d0aedb0afba39a04177de7f4,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
0cc8dadc34650e1d79815b5f3fab5efe,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
35782ee448589c93a59ce4719dafc0f2,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
36c7395784ef4aee8b64edeb937ba621,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum
564bb4db498125e08f141d6e48c9dcc7,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
66bbba590630ffe63f0c083472189619,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
9fb556645444d1f9d5c124e5c343ee7b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
0c7ce3bfe1a4347ffec132b70d3833a9,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
d4a552739e270b6188e83103b91ef909,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
562438981c3292e786f329b2c84e4cb7,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum
6fee28a58b63200768d9fdbfaa9ebea1,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
577c52c4a197b72ab9b700df942d53f8,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
e19798f8cfd40879dd24a317312bde7b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella
e5e4068cb7d7c0101908b81c1106084c,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
40b98f89d88946c7fef1c79ce1ed80f8,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
0b2a2fd1108f186dc940c382e50a4846,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
932dcd7db9a5a0a103ad457d0b156708,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
fc340939384b5acd146d49441178af0e,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
b2c1c518a311037462a93c63f9dfdf95,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus
f0238022104202ef0f46df5eee21eaf6,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
3ea92b169d61c716e986e62506994cdb,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
59989e04214c6c92107da205d77fd75a,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
fbd9cf7d3bc31c942a6499c91e061b6a,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus
fec02dc924426ff759f6e00bf9d863ad,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
d72de21351327f57ef58860b9b39b81b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
7bd0ac80d07d6f8fa2c963dfc59c31f2,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__
6a126dc027a872af6bfe7fde7da6b492,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
e2016db4b16934f9f5dd4d170a365437,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
b4888df798f095ac7f14c614cc7a2a15,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
78f2a0e8a04135b8faff7e3ef1f9d88e,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
7c08724b21752e0ddb401a5a9a78554e,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
14aa1ed941114d87293f3a41fdca7ecd,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
dda8981fb4ba1813e13b6e63a8e26cd8,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
47efe892b8c48b5dd79f8bc3220443ca,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
7fd3cf7fb44c555f5cc0043be73104d8,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
20b09d01893b8fa0d699a4078565b7ef,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
9477eb2dee9e9d0bf0c8ae04c5ab9260,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
66666e2eba83ead26033d9a4a5edd08a,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__
6f723b313dfe49e5e24e8273f0e69d06,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
60f65c58b8bc5dd66ab5db5c4522f964,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
1c346134371daba583451f711fe76e1a,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
83b377e12edb5bbda2b8d41e1739799d,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
1552406084b0c0c1f3c2e5dd59265a9b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
8f19d22ebcd241e17844dd9bf34c18ef,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
b734bb8187882c0b6042f08b266d289b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
c3034f7a46ce932a7a3ef1255f9013dd,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
a94ae003db4efaa9f3379eeef09d600a,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
56ec5cc4d0cb832b82c19eec85fb15d5,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
a768ef445da67c4bbf1c83a6aef3d643,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
422b0a2f5cff0e07d7622bb32bc50a60,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
0a5e1e76e629468d95cf7103e11cca8c,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum
b2277dc80154f9fa4959f5812d34ac5f,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
a981780d86465164f5ccce93bff9b789,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
699ac093197820865775e3a63392123b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
204e510b011e864f299cf4993d478c85,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
cb74f8bb7e9d69867067f18ae8850d0e,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
6b069274a2abb8ee3dfc7025d059b68b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
39b44a0646335aecc771eb7d8d5fb921,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
c3a928d25543d20d1e561c9db95c8a66,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum
d2722b732f9ee6167db34ed6c94232b6,k__Bacteria, p__Deferribacteres, c__Deferribacteres, o__Deferribacterales, f__Deferribacteraceae, g__Mucispirillum
118108e102c809deccf452084c5b5748,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium
8a8f453c27cfdc48c0f1ec1df064f0e0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
0b25ff0a69ccb93866917a823f656ecb,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
479d827e7080273054d5eee9df534cd0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides
da786ad5e1ccbea0303e67a2418737c4,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
26f30d52a432c32faa6d7d141ee3a18b,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
6475c47b748a82b4e2a02f04f942e9c2,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus
c54baab6bd2aa64d75a9b647df7fc8ba,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
47e13ed5a6f8712dc0cd439dca1aa08c,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
49d0d7e93b41e4ce4b94977c249ae7ef,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
a1c837c6bf98326013d7e6a23be688ba,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus
d128f82e71088e4388bee4610f4cf4de,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus
aa85a46ae600176364457edfc6ae2014,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__Prevotellaceae, g__Prevotella
7513845831df8ed971745f71a4ac3fb1,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus
bc3d4362a4202a212746fb992ef35d51,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
b00cdc369507236544dccb3804880bf0,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__
