,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
8f19d22ebcd241e17844dd9bf34c18ef,42.8113227902241,23.8215060225773,23.8215060225773,2.98109224823301,7.99086510546499,1.33995111464622E-15,2.31811542833795E-13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
a768ef445da67c4bbf1c83a6aef3d643,28.6325231463703,23.256148513032,23.256148513032,2.98143475624447,7.80032112536526,6.1749837762193E-15,5.00481446696683E-13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999578
ae6f858a33e49815fcd83690ada389c8,26.0642026015218,23.1285245696916,23.1285245696916,2.98153542087634,7.75725299379257,8.67886901786155E-15,5.00481446696683E-13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
3e5c8bf7fcc6ac8b3583d8ea5c5ed52b,23.2993709291881,22.9696853256857,22.9696853256857,2.9816706014287,7.70362940650774,1.32255042093049E-14,5.68063419397982E-13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999565
bc3d4362a4202a212746fb992ef35d51,21.5402385772421,22.861595645701,22.861595645701,2.98177475063611,7.66711021374901,1.75914614183696E-14,5.68063419397982E-13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999986
47efe892b8c48b5dd79f8bc3220443ca,20.8385118750342,22.8185565515037,22.8185565515037,2.98181977922589,7.65256059755148,1.97016214820109E-14,5.68063419397982E-13,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999753
a981780d86465164f5ccce93bff9b789,15.8911760767841,22.4337475097091,22.4337475097091,2.98226023515546,7.52239769194374,5.3780698624921E-14,1.18258834200765E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999993
ce8d166eac2f7d8c188a49987496132a,15.7530491199455,22.427378537424,22.427378537424,2.98227883469207,7.52021517120805,5.46861661044002E-14,1.18258834200765E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999994
bdb2e15ceec8fffb7828937fc693cccf,13.8590429282857,22.2462090019467,22.2462090019467,2.98253760562353,7.45881928194361,8.73012494467036E-14,1.67812401714219E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999538
9b7931d08c62607249fe12c2b5769e79,13.3108830130167,22.1907350045781,22.1907350045781,2.98262590198443,7.43999942795842,1.00685736220836E-13,1.74186323662046E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999671
7c08724b21752e0ddb401a5a9a78554e,28.2207487298828,21.9568857738078,21.9568857738078,2.98144960440918,7.36450005438174,1.77811981487863E-13,2.79649752703639E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999994
308e2cd842a38e889cb29cc39670604a,11.0502017548264,21.8099346750562,21.8099346750562,2.98307393104755,7.31122834337443,2.64711246850338E-13,3.81625380875905E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999995
07459a23004d839533d9cb04f3bda700,8.91142710097474,21.6368244697768,21.6368244697768,2.98371135024548,7.25164800810798,4.11730762259256E-13,5.47918629775779E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999999
7dd186109500fdf8336153937b355042,8.53007783475118,21.5702891104969,21.5702891104969,2.98385899074502,7.2289907724866,4.86596489924661E-13,6.01294233978331E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9945167
fb3fc6723c3ed135648168e874291b8b,24.4149712416712,21.3877569338157,21.3877569338157,2.98161422058964,7.17321402149273,7.32571911800768E-13,8.44899604943553E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999991
