,baseMean,log2FoldChange,Abs,lfcSE,stat,pvalue,padj,Kingdom,Phylum,Class,Order,Family,Genus,confidence
b4a5ddff3bac30057aed6619ae3495c8,18.8931925109625,-22.9990050097021,22.9990050097021,2.97534398940077,-7.72986420784711,1.0766136346705E-14,1.90560613336678E-12,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999989
b2c1c518a311037462a93c63f9dfdf95,32.8230258213602,-8.48271727094775,8.48271727094775,2.58761788431666,-3.27819548719338,0.001044730169822,0.092458620029202,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.8795962
fbd9cf7d3bc31c942a6499c91e061b6a,16.2287851080086,-6.7347468858183,6.7347468858183,2.97554810254793,-2.26336347244778,0.0236132925254,0.98913932622411,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.8838636
add6feb7ab50d5292ffdc30d3d8cbcb7,6.05423023147898,6.0368862299124,6.0368862299124,2.97776492023768,2.02732129352594,0.042629565241185,0.98913932622411,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__, g__,0.9936778
42264f85b88d55214c083f2afc749190,4.38874450244815,-5.58187831266116,5.58187831266116,2.97924482934634,-1.87358831932113,0.060987189231307,0.98913932622411,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999389
82cab18a85ae8bbdfe9ce40bbe451a40,3.97544289921585,5.43044586845475,5.43044586845475,2.97964758564526,1.82251280138512,0.068377213136068,0.98913932622411,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999993
5b11801bb8adfc9ff5e1a1960d96bc16,2.90079409669428,-4.98248618306742,4.98248618306742,2.98185938066516,-1.67093264537377,0.094734982493078,0.98913932622411,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999706
40677315a80052365769b4fe4a08bb58,2.56010095976142,-4.80561819110424,4.80561819110424,2.98286161630569,-1.61107647932258,0.107163054174985,0.98913932622411,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.999999
12a99a655ea1b8de195d606164510143,2.51230854279038,-4.77550154474882,4.77550154474882,2.98304480579166,-1.60088160106648,0.109403145443197,0.98913932622411,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.9069568
9b7931d08c62607249fe12c2b5769e79,46.2800630046969,-4.69511200790682,4.69511200790682,2.89634039075797,-1.6210497988733,0.105006959047069,0.98913932622411,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999671
3e5c8bf7fcc6ac8b3583d8ea5c5ed52b,1.99832482216717,-4.44477101850786,4.44477101850786,2.98532819995053,-1.48887181603065,0.136521126486336,0.98913932622411,k__Bacteria, p__Bacteroidetes, c__Bacteroidia, o__Bacteroidales, f__S24-7, g__,0.9999565
578d787ea76ac5f3e84a3dbf6ec1e94f,1.82142369352302,-4.31168574657195,4.31168574657195,2.94111611811639,-1.46600323598693,0.142647405277389,0.98913932622411,k__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus,0.8795818
