"OTUID","Kingdom","Phylum","Class","Order","Family","Genus","confidence"
"1bbef1070bedf0db507fb6c7b5c28fff","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.992602853151086
"54843b106b5061dc17ca8f371d357b44","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.993359160565682
"ff3c4e848cb548750221af3deb5389dc","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.99483225610625
"646c18c31a1f6154773b7b8e64b5c658","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.984517124262784
"5171cbfbcd1781f0d7e7a7bdb94fb126","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.97977660062245
"74803c74b50392f83753468b9235c931","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.995122759860266
"2a2bbfefccc170850029ee0b903a7301","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.987818244149869
"b90340baf132ddf80f4a342d544f1b03","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.984429087584358
"e305ca72b43b91c7a701c947a71ef4b7","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.98822334869373
"ad4f3211c1c7fd39e69c4a22600a9475","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.982173434143355
"5a3a6d477b5fb489d2f7317edcd9b9cc","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__[Paraprevotellaceae]"," g__CF231",0.982352109210502
"cf32fb1a1851ffab51de8b752990d321","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999993627114
"0f54807ebcdb7fa491db917beeb3595e","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999987431906
"3440e49bbd5cc4432ab49dd963d49bcd","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999987140683
"cc3ff094f1c3297ae1c88cab123ca109","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999975919835
"de99c650af737e28dff50e5c852ebb84","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999979248017
"280f71fdbdabf1d2c4fd57cb3e93ed43","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999953176613
"37835e4fbbd6bb6b2f6dbbbad70f9372","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999998558064777
"439e4f84c2a2e0c0f39e67ceabe0632a","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999930769465
"7a82038a2a87643382fdc201dacb1009","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Bacteroidaceae"," g__Bacteroides",0.988270845122115
"97855d38c5ce75bc28db3201640ab0b2","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__Rikenellaceae"," g__",0.855980078023589
"88b905e812e0d73b7a740796f1969218","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999983175087
"4c7ad9177b8f808b98713da6557b7bf1","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999716203985
"4a9c16d3ce654f02a454cdea74b597bb","k__Bacteria"," p__Bacteroidetes"," c__Bacteroidia"," o__Bacteroidales"," f__S24-7"," g__",0.999999853445242
