OTUID,α-Hyodeoxycholic acid methyl ester,α-Hyodeoxycholic acid methyl ester .1,α-Hyodeoxycholic acid methyl ester .2,α-Hyodeoxycholic acid methyl ester .3,α-Hyodeoxycholic acid methyl ester .4,α-Hyodeoxycholic acid methyl ester .5,α-Hyodeoxycholic acid methyl ester .6,α-Hyodeoxycholic acid methyl ester .7,β-Hyodeoxycholic acid,β-Hyodeoxycholic acid.1,β-Hyodeoxycholic acid.2,β-Hyodeoxycholic acid.3,β-Hyodeoxycholic acid.4,β-Hyodeoxycholic acid.5,β-Hyodeoxycholic acid.6,β-Hyodeoxycholic acid.7,β-Hyodeoxycholic acid.8,β-Hyodeoxycholic acid.9,β-Hyodeoxycholic acid.10,β-Hyodeoxycholic acid.11,β-Hyodeoxycholic acid.12,β-Hyodeoxycholic acid.13,β-Hyodeoxycholic acid.14,β-Hyodeoxycholic acid.15,β-Hyodeoxycholic acid.16,β-Hyodeoxycholic acid.17,β-Hyodeoxycholic acid.18,β-Hyodeoxycholic acid.19,β-Hyodeoxycholic acid.20,β-Muricholic acid,β-Muricholic acid.1,β-Muricholic acid.2,β-Muricholic acid.3,β-Muricholic acid.4,β-Muricholic acid.5,β-Muricholic acid.6,β-Muricholic acid.7,β-Muricholic acid.8,β-Muricholic acid.9,β-Muricholic acid.10,β-Muricholic acid.11,β-Muricholic acid.12,β-Muricholic acid.13,β-Muricholic acid.14,γ-Muricholic acid,γ-Muricholic acid.1,γ-Muricholic acid.2,γ-Muricholic acid.3,γ-Muricholic acid.4,γ-Muricholic acid.5,γ-Muricholic acid.6,γ-Muricholic acid.7,γ-Muricholic acid.8,γ-Muricholic acid.9,γ-Muricholic acid.10,γ-Muricholic acid.11,γ-Muricholic acid.12,γ-Muricholic acid.13,γ-Muricholic acid.14,γ-Muricholic acid.15,γ-Muricholic acid.16,3β-Hydroxy-5-cholenoic acid,3β-Hydroxy-5-cholenoic acid.1,3β-Hydroxy-5-cholenoic acid.2,3β-Hydroxy-5-cholenoic acid.3,Chenodeoxycholic acid,Cholic acid,Cholic acid.1,Cholic acid.2,Cholic acid.3,Cholic acid.4,Cholic acid.5,Cholic acid.6,Cholic acid.7,Cholic acid.8,Cholic acid.9,Cholic acid.10,Cholic acid.11,Cholic acid methyl ester,Cholic acid methyl ester.1,Cholic acid methyl ester.2,Deoxycholic acid,Deoxycholic acid.1,Deoxycholic acid.2,12-Ketodeoxycholic acid (NIST14),12-Ketodeoxycholic acid (NIST14).1,12-Ketodeoxycholic acid (NIST14).2,12-Ketodeoxycholic acid (NIST14).3,12-Ketodeoxycholic acid (NIST14).4,12-Ketodeoxycholic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14),3β-Hydroxy-5-cholenoic acid (NIST14).1,3β-Hydroxy-5-cholenoic acid (NIST14).2,3β-Hydroxy-5-cholenoic acid (NIST14).3,3β-Hydroxy-5-cholenoic acid (NIST14).4,3β-Hydroxy-5-cholenoic acid (NIST14).5,3β-Hydroxy-5-cholenoic acid (NIST14).6,3β-Hydroxy-5-cholenoic acid (NIST14).7,Cholic acid (NIST14),Cholic acid (NIST14).1,Cholic acid (NIST14).2,Cholic acid (NIST14).3,Cholic acid (NIST14).4,Cholic acid (NIST14).5,Cholic acid (NIST14).6,Cholic acid (NIST14).7,Cholic acid (NIST14).8,Cholic acid (NIST14).9,Cholic acid (NIST14).10,Cholic acid (NIST14).11,Cholic acid (NIST14).12,Cholic acid (NIST14).13,Cholic acid (NIST14).14,Cholic acid (NIST14).15,Cholic acid (NIST14).16,Cholic acid (NIST14).17,Cholic acid (NIST14).18,Cholic acid (NIST14).19,Cholic acid (NIST14).20,Cholic acid (NIST14).21,Deoxycholic acid (NIST14),Deoxycholic acid (NIST14).1,Deoxycholic acid (NIST14).2,Deoxycholic acid (NIST14).3,Deoxycholic acid (NIST14).4,Deoxycholic acid (NIST14).5,Deoxycholic acid (NIST14).6,Deoxycholic acid (NIST14).7,Deoxycholic acid (NIST14).8,Deoxycholic acid (NIST14).9,Deoxycholic acid (NIST14).10,Deoxycholic acid (NIST14).11,Deoxycholic acid (NIST14).12,Lithocholic acid (NIST14),Tauroursodeoxycholic acid (NIST14),Tauroursodeoxycholic acid (NIST14).1,Tauroursodeoxycholic acid (NIST14).2,Ursodeoxycholic acid (NIST14),Taurocholic acid,Taurocholic acid.1,Taurocholic acid.2,Taurocholic acid.3,Taurocholic acid.4,Tauroursodeoxycholic acid,Ursocholic acid,Ursocholic acid.1,Ursocholic acid.2,Ursocholic acid.3,Ursocholic acid.4,Ursocholic acid.5,Ursocholic acid.6,Ursocholic acid.7,Ursodeoxycholic acid,Ursodeoxycholic acid.1,Ursodeoxycholic acid.2,Ursodeoxycholic acid.3, f__S24-7, g__Mucispirillum, f__S24-7.1, g__Lactobacillus, f__S24-7.2, f__S24-7.3, g__Bacteroides, f__S24-7.4, f__S24-7.5, f__S24-7.6, f__S24-7.7, f__S24-7.8, g__Lactobacillus.1, f__S24-7.9, g__Bacteroides.1, f__S24-7.10, f__S24-7.11, f__S24-7.12, f__S24-7.13, g__Bifidobacterium, f__S24-7.14, f__S24-7.15, f__S24-7.16, f__S24-7.17, f__S24-7.18, f__S24-7.19, f__S24-7.20, g__Bifidobacterium.1, g__Mucispirillum.1, g__Lactobacillus.2, f__S24-7.21, f__S24-7.22, f__S24-7.23, g__Lactobacillus.3, f__Rikenellaceae, g__Prevotella, f__S24-7.24, f__S24-7.25, f__S24-7.26, g__Bacteroides.2, f__S24-7.27, g__Lactobacillus.4, g__Mucispirillum.2, f__S24-7.28, f__S24-7.29, f__S24-7.30, f__S24-7.31, f__S24-7.32, f__S24-7.33, g__Prevotella.1, f__S24-7.34, f__S24-7.35, f__S24-7.36, g__Bacteroides.3, f__S24-7.37, f__S24-7.38, f__S24-7.39, f__S24-7.40, f__S24-7.41, f__S24-7.42, g__Lactobacillus.5, f__S24-7.43, f__S24-7.44, f__S24-7.45, f__S24-7.46, f__S24-7.47, g__Bifidobacterium.2, g__Mucispirillum.3, f__S24-7.48, f__S24-7.49, g__Bacteroides.4, f__S24-7.50, f__S24-7.51, f__S24-7.52, g__Bacteroides.5, f__S24-7.53, f__S24-7.54, f__S24-7.55, f__S24-7.56, g__Lactobacillus.6, f__S24-7.57, f__S24-7.58, f__S24-7.59, g__Prevotella.2, f__S24-7.60, f__S24-7.61, g__Lactobacillus.7, f__S24-7.62, g__Prevotella.3,Week,Category
570.T5,0,0,170150,0,0,0,0,0,0,0,88809,0,0,0,0,68062,0,0,66496,0,0,0,0,0,0,0,0,14060,0,0,0,0,0,0,0,0,0,0,15856,0,0,0,16205,0,0,0,0,0,402370,0,112175,0,0,0,0,0,0,46584,0,0,0,0,0,5460,0,0,0,6249,0,0,0,0,0,0,118081,0,0,0,5280,0,0,0,0,0,47386,0,464774,0,95579,0,0,475567,0,10489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36906,0,0,24090,3276,0,0,0,0,33943,0,20334,0,397109,0,0,161410,0,0,0,0,5286,4507,15014,0,0,0,0,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,66,0,0,0,0,38,130,70,0,116,0,0,126,0,0,96,56,0,0,0,0,39,0,0,0,0,55,0,40,0,76,0,53,116,37,57,0,0,164,0,43,0,0,0,102,0,0,45,0,27,0,52,43,0,0,0,0,0,0,0,0,67,183,80,0,56,76,0,0,124,89,0,0,265,0,0,82,0,0,0,0,0,0,0,0,0,31,5,Placebo
571.T5,0,0,0,0,0,0,0,0,0,0,147257,0,0,0,0,32568,0,0,79972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,0,0,0,0,0,0,0,0,0,0,0,0,5880,0,548299,0,108148,0,0,62473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53471,16585,12398,10377,0,0,0,19660,0,412652,0,0,0,0,932729,0,0,181850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2145,0,0,113278,21873,0,0,0,525989,0,0,157303,0,0,91229,0,14739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,69,0,0,0,184,49,57,0,0,234,0,0,0,0,0,61,77,0,0,0,0,0,0,270,251,63,75,0,121,0,45,0,56,48,61,0,0,61,0,0,170,0,0,158,103,193,0,140,0,0,56,96,0,0,0,42,65,0,0,0,90,110,0,102,68,0,95,44,0,0,0,0,71,128,0,0,94,0,0,0,252,43,0,0,0,0,69,5,Placebo
572.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,8782,0,0,0,0,57709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207516,41328,0,39485,0,48894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137665,0,0,0,0,0,0,52457,0,0,132827,0,307968,0,0,0,0,376167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14979,17555,0,262019,0,0,0,0,0,0,0,0,0,12070,0,0,0,45457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7114,0,0,0,48,0,35,0,55,103,72,49,54,0,54,144,0,0,0,161,108,0,44,0,38,133,95,0,0,0,0,0,75,0,0,0,84,0,154,0,42,64,0,0,65,0,115,34,0,0,86,0,0,0,186,0,0,47,32,69,84,58,43,0,0,0,0,83,0,62,0,0,45,49,55,171,0,0,0,69,110,0,42,0,114,0,182,0,123,0,0,0,164,5,Placebo
573.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27764,0,0,0,0,0,61015,0,0,0,0,0,0,0,0,0,0,117574,0,0,0,0,0,37372,0,0,0,0,0,0,0,0,0,255058,0,59758,0,58452,0,26121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41792,0,0,0,0,0,20559,0,8438,0,0,0,23157,0,242794,0,0,0,0,214591,0,0,86772,0,23286,0,7630,0,0,0,0,0,0,0,0,0,5973,0,0,0,0,0,0,0,0,0,0,0,44786,11920,0,78737,0,279259,6192,0,0,0,0,0,0,4048,0,0,0,0,0,0,0,0,0,0,82123,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,45,80,0,0,154,82,0,0,0,40,0,0,0,0,38,0,0,0,0,153,0,317,0,0,0,0,0,51,99,0,183,0,0,91,54,0,79,0,0,66,0,0,0,0,0,176,0,0,121,0,58,50,68,92,72,187,0,0,125,110,0,298,0,0,0,0,0,0,0,36,0,0,109,95,118,172,149,97,37,0,83,0,0,0,0,5,Placebo
574.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1088,0,0,24708,0,0,0,0,33106,0,0,0,0,0,35430,0,0,0,0,0,3144,0,0,0,0,0,21318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157834,0,0,0,18689,0,0,0,0,0,33365,0,66218,0,111751,0,0,238205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35520,3556,121896,0,0,62564,7346,0,0,0,0,0,0,8364,0,0,0,0,0,0,0,0,3899,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,84,0,69,0,37,86,54,91,75,56,0,0,98,0,0,109,39,0,0,67,47,128,118,0,41,23,0,0,41,0,89,220,95,146,53,85,57,0,84,0,0,95,51,0,44,65,0,39,0,0,93,46,62,43,39,116,74,173,0,0,0,133,0,0,0,0,0,0,41,154,0,43,36,0,49,0,94,0,49,84,0,0,99,0,0,0,32,5,Placebo
575.T5,0,31465,0,0,0,0,0,10307,0,0,0,0,0,0,0,0,0,0,30509,0,0,31600,0,0,0,0,0,0,0,0,0,0,26414,0,0,0,0,0,0,0,0,0,0,0,0,0,1412,0,0,0,85512,0,48196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141839,0,0,0,39125,0,7093,0,0,0,22510,0,187495,0,0,0,0,208948,0,0,62663,0,0,0,0,0,0,0,0,0,0,7378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43391,18412,148882,95391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,47,0,36,59,0,55,77,0,49,142,0,0,39,0,0,107,0,46,0,0,50,36,0,0,0,0,0,0,75,0,69,0,47,59,46,87,198,0,48,0,0,76,0,0,0,0,0,71,0,0,189,0,0,47,57,102,92,0,0,0,0,0,0,169,59,0,0,164,22,110,306,117,214,0,65,0,89,0,95,93,0,65,82,0,0,0,51,5,Placebo
576.T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2879,0,0,15647,0,0,0,0,0,0,0,0,0,0,0,0,0,117255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194147,0,23086,0,25282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28567,2224,0,0,0,0,0,0,215895,0,0,0,0,0,0,0,25640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10244,0,0,0,109536,0,0,0,0,0,0,0,0,665,0,0,0,0,0,0,0,3876,0,0,0,0,0,0,0,0,0,0,0,27155,0,0,103,0,0,169,68,0,81,89,92,0,120,0,0,34,0,0,0,0,0,0,0,79,0,155,0,43,0,0,0,0,0,65,54,109,127,0,0,0,0,0,49,0,94,272,0,71,0,101,0,0,0,104,69,82,0,57,120,102,0,0,0,0,102,153,136,0,0,110,0,43,0,0,0,108,0,78,93,0,0,73,52,0,0,84,0,175,0,0,5,Placebo
577.T5,0,0,0,0,0,0,0,11108,0,0,10853,0,0,0,0,0,0,0,26550,0,0,0,0,0,0,0,0,0,0,0,0,0,214638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53187,0,26624,0,50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,0,0,0,0,0,0,0,0,43393,8787,2748,0,0,0,18677,0,254243,0,0,0,0,226107,0,0,20380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6367,0,118710,82163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19889,0,0,0,0,0,0,0,0,0,26857,0,0,92,0,0,61,45,0,59,62,82,0,44,185,0,0,0,0,99,0,0,0,0,35,0,120,330,43,0,94,0,0,0,56,0,99,73,0,140,0,210,70,0,88,51,0,0,0,0,61,95,0,0,85,101,80,0,176,0,98,0,0,0,0,79,0,109,0,102,95,185,87,194,0,0,0,0,149,0,0,0,0,0,0,79,0,31,0,0,73,5,Placebo
578.T5,4451,182669,0,0,0,0,0,3662,1254,0,0,0,0,0,0,101711,0,0,0,0,0,35887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149056,0,55831,53752,0,0,0,0,0,0,0,0,0,4940,0,26887,0,0,0,0,0,0,0,0,189880,0,0,0,94434,25113,12782,0,0,0,76916,0,455667,0,0,0,0,99467,0,0,0,0,627305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15375,0,0,0,0,34211,0,821752,0,0,0,0,0,70011,0,0,0,0,21212,0,0,0,86238,0,0,0,0,0,0,0,0,0,0,0,0,53690,0,0,0,0,0,57,0,0,0,0,0,0,38,42,72,0,54,0,31,199,0,157,116,0,183,0,0,40,0,39,0,36,0,225,0,110,45,69,0,35,0,0,42,0,0,55,0,0,85,0,0,123,0,0,0,151,0,109,53,42,76,0,69,127,0,0,0,120,55,0,58,0,0,40,67,0,82,0,39,0,0,0,0,75,0,64,0,0,0,180,0,173,0,120,5,Letrozole
580.T5,0,0,0,0,0,0,64559,10891,0,0,0,0,0,0,0,14031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46396,0,0,0,0,0,0,0,0,0,205211,0,119196,0,0,0,29690,0,0,0,0,0,0,0,0,0,0,3476,0,0,0,0,0,0,0,0,80780,0,0,0,0,0,0,0,0,0,55157,0,482999,0,0,0,0,401534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43725,217599,300215,21667,0,14778,0,0,21079,0,0,0,0,5546,0,0,0,25527,0,0,0,0,0,0,47233,0,0,0,0,0,0,0,0,0,0,0,0,0,63,91,0,100,0,87,72,73,0,164,0,0,0,49,84,34,0,0,256,90,49,50,0,87,0,0,0,0,0,0,100,158,0,0,42,69,0,0,97,103,0,180,101,156,80,0,0,0,0,179,114,0,52,0,51,53,88,335,0,50,0,63,0,0,0,0,42,0,0,38,94,0,0,82,56,0,73,74,75,130,0,0,98,0,34,0,0,5,Letrozole
