"","rowid","taxa_id","x","y","zero_ind","Lowest.Rank","W.proportion"
"1",1,"denovo353230",1.24483880032298,1413,"Yes","Ruminococcaceae",1
"2",2,"denovo331470",1.01011184181978,1413,"Yes","S24-7",1
"3",3,"denovo79540",-0.991432146187424,1413,"Yes","Adlercreutzia",1
"4",4,"denovo93228",-0.923082799280266,1413,"Yes","S24-7",1
"5",5,"denovo383819",0.91385657705286,1413,"Yes","Clostridiales",1
"6",6,"denovo334023",-0.899530571409881,1413,"Yes","Ruminococcus",1
"7",7,"denovo154314",-0.893947773461813,1413,"Yes","S24-7",1
"8",8,"denovo228100",0.880599303489502,1413,"Yes","S24-7",1
"9",9,"denovo318064",0.880599303489502,1413,"Yes","acidifaciens",1
"10",10,"denovo193815",0.865545074729463,1413,"Yes","Clostridiales",1
"11",11,"denovo268481",0.865545074729463,1413,"Yes","Clostridiales",1
"12",12,"denovo7824",0.856080482435809,1413,"Yes","S24-7",1
"13",13,"denovo330306",-0.8316474465604,1413,"Yes","Bacteroides",1
"14",14,"denovo106107",-0.8316474465604,1413,"Yes","S24-7",1
"15",15,"denovo343386",0.830264328278552,1413,"Yes",NA,1
"16",16,"denovo132412",-0.828542984244869,1413,"Yes","Clostridiales",1
"17",17,"denovo60781",-0.825702039405321,1413,"Yes","S24-7",1
"18",18,"denovo325680",-0.816815474544358,1413,"Yes","S24-7",1
"19",19,"denovo410543",0.813046194980475,1413,"Yes","S24-7",1
"20",20,"denovo570149",-0.812023519394485,1413,"Yes","S24-7",1
"21",21,"denovo59751",0.803581602686821,1413,"Yes","S24-7",1
"22",22,"denovo60327",-0.794642828057715,1413,"Yes","S24-7",1
"23",23,"denovo170483",0.790695652363021,1413,"Yes","Christensenellaceae",1
"24",24,"denovo241107",-0.789060030109647,1413,"Yes","S24-7",1
"25",25,"denovo490926",-0.785756263196752,1413,"Yes","S24-7",1
"26",26,"denovo249291",-0.774915288041135,1413,"Yes","S24-7",1
"27",27,"denovo434469",-0.771497434566675,1413,"Yes","S24-7",1
"28",28,"denovo412000",-0.770341032303492,1413,"Yes","S24-7",1
"29",29,"denovo160546",-0.768973280870385,1413,"Yes","Lachnospiraceae",1
"30",30,"denovo400582",-0.768386622008837,1413,"Yes","S24-7",1
"31",31,"denovo244421",0.767238677934216,1413,"Yes","Bacteroides",1
"32",32,"denovo67064",0.767238677934216,1413,"Yes","distasonis",1
"33",33,"denovo317755",0.767238677934216,1413,"Yes","S24-7",1
"34",34,"denovo47128",-0.765914636618607,1413,"Yes","distasonis",1
"35",35,"denovo78833",-0.762610869705712,1413,"Yes","Bacteroides",1
"36",36,"denovo334864",0.760891522037991,1413,"Yes","S24-7",1
"37",37,"denovo119792",-0.76032641699178,1413,"Yes",NA,1
"38",38,"denovo298666",-0.759500057147874,1413,"Yes","S24-7",1
"39",39,"denovo236558",-0.758589706109355,1413,"Yes","distasonis",1
"40",40,"denovo273734",0.752589416496598,1413,"Yes","Lachnospiraceae",1
"41",41,"denovo5135",0.750072120583551,1413,"Yes","Clostridiales",1
"42",42,"denovo333398",-0.750036583652,1413,"Yes","S24-7",1
"43",43,"denovo397709",0.750020544636138,1413,"Yes","S24-7",1
"44",44,"denovo593101",0.750020544636138,1413,"Yes","S24-7",1
"45",45,"denovo540168",-0.748335389815286,1413,"Yes","Clostridiales",1
"46",46,"denovo283153",-0.737684540159914,1413,"Yes","S24-7",1
"47",47,"denovo336471",-0.7359833463232,1413,"Yes","S24-7",1
"48",48,"denovo446784",-0.732679579410306,1413,"Yes","Oscillospira",1
"49",49,"denovo416795",-0.730172076974364,1413,"Yes","Clostridiales",1
"50",50,"denovo522533",-0.72822106666404,1413,"Yes","Lachnospiraceae",1
"51",51,"denovo5728",0.727670002018685,1413,"Yes","Lachnospiraceae",1
"52",52,"denovo504143",0.727670002018685,1413,"Yes","Oscillospira",1
"53",53,"denovo327737",-0.713257607695272,1413,"Yes","S24-7",1
"54",54,"denovo546755",-0.697158455332104,1413,"Yes","schaedleri",1
"55",55,"denovo308994",-0.694320910476886,1413,"Yes","S24-7",1
"56",56,"denovo7287",-0.689062733269337,1413,"Yes","S24-7",1
"57",57,"denovo137564",0.688057072593497,1413,"Yes","Lachnospiraceae",1
"58",58,"denovo194111",-0.687001401646393,1413,"Yes","S24-7",1
"59",59,"denovo478345",-0.684854036996682,1413,"Yes","Bacteroides",1
"60",60,"denovo76727",-0.683479935321269,1413,"Yes","Lachnospiraceae",1
"61",61,"denovo490489",-0.680176168408373,1413,"Yes","Clostridiales",1
"62",62,"denovo455629",-0.677537928150519,1413,"Yes","S24-7",1
"63",63,"denovo14385",0.676232968894585,1413,"Yes","S24-7",1
"64",64,"denovo541079",0.676232968894585,1413,"Yes","S24-7",1
"65",65,"denovo552451",0.676232968894585,1413,"Yes","S24-7",1
"66",66,"denovo314132",-0.675967472135719,1413,"Yes","S24-7",1
"67",67,"denovo175737",-0.672315267988681,1413,"Yes","CF231",1
"68",68,"denovo195902",0.672049717536399,1413,"Yes","Bacteroidales",1
"69",69,"denovo256445",0.672049717536399,1413,"Yes",NA,1
"70",70,"denovo306519",0.672049717536399,1413,"Yes","CF231",1
"71",71,"denovo404314",-0.671488908144775,1413,"Yes","S24-7",1
"72",72,"denovo515209",-0.671488908144775,1413,"Yes","S24-7",1
"73",73,"denovo503700",-0.671488908144774,1413,"Yes","S24-7",1
"74",74,"denovo343984",0.66988581299836,1413,"Yes","Lachnospiraceae",1
