#OTU ID	573.T3	598.T1	589.T2	593.T3	586.T2	590.T3	601.T1	572.T1	597.T3	577.T3	595.T4	586.T0	574.T1	572.T5	578.T4	583.T4	582.T1	575.T0	574.T5	590.T4	578.T1	598.T3	580.T0	596.T3	589.T1	591.T4	578.T0	592.T1	592.T5	598.T4	599.T4	576.T1	573.T5	602.T2	585.T1	596.T2	591.T1	573.T1	580.T5	598.T0	580.T1	576.T3	595.T0	583.T5	570.T5	603.T2	595.T1	583.T2	601.T2	592.T2	578.T3	588.T5	570.T3	593.T0	581.T5	578.T5	583.T3	600.T4	572.T0	576.T2	600.T2	596.T5	588.T0	574.T0	596.T4	597.T1	575.T5	595.T5	590.T2	588.T1	599.T0	597.T4	599.T5	571.T3	570.T0	577.T2	590.T5	600.T1	597.T0	599.T2	590.T1	600.T0	586.T4	584.T5	592.T0	589.T3	570.T1	584.T4	602.T4	583.T1	598.T5	575.T4	584.T3	570.T2	602.T0	574.T4	578.T2	582.T3	575.T3	594.T4	602.T3	582.T0	577.T4	571.T0	576.T5	589.T5	598.T2	577.T5	594.T5	577.T0	590.T0	595.T2	571.T2	580.T2	585.T4	584.T0	603.T0	572.T4	585.T3	573.T0	601.T0	603.T4	574.T2	571.T4	593.T1	571.T5	593.T4	594.T1	588.T4	585.T2	603.T1	577.T1	594.T2	596.T1	582.T4	576.T0	591.T0	595.T3	594.T0	599.T1	585.T0	589.T0	591.T3	602.T1	596.T0	597.T5	581.T3	600.T3	581.T1	573.T4	583.T0	601.T4	582.T5	585.T5	589.T4	581.T0	586.T5	574.T3	603.T3	588.T2	592.T4	571.T1	582.T2	586.T1	581.T2	584.T2	592.T3	588.T3	594.T3	575.T2	581.T4	591.T2	575.T1	586.T3	576.T4	597.T2	584.T1	573.T2	593.T2	580.T3	572.T2	601.T3	591.T5	572.T3	593.T5	599.T3	570.T4	taxonomy
denovo227	20	7	0	19	12	9	16	0	3	0	0	2	10	1	8	4	4	7	3	13	1	1	9	1	0	1	16	15	7	1	5	25	13	5	3	1	0	22	8	3	0	87	47	0	1	19	0	2	101	7	3	14	3	3	4	2	2	8	26	3	11	8	36	11	33	5	10	2	3	1	3	74	2	3	4	1	16	46	8	1	3	7	61	0	2	4	3	1	0	21	6	31	1	0	12	17	4	4	22	0	6	14	5	36	36	2	1	5	0	2	2	6	7	1	7	9	13	1	2	9	1	36	2	0	2	0	1	29	3	0	12	5	1	0	13	107	1	14	2	0	28	4	1	1	5	11	30	22	5	16	5	2	28	7	11	6	36	11	55	17	61	61	36	62	42	16	8	3	2	12	7	2	30	13	31	4	11	2	1	2	1	1	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
denovo439	1	0	1	0	0	2	0	0	5	0	3	0	1	3	3	9	1	3	2	2	1	0	0	2	0	0	1	0	0	1	0	0	1	0	2	0	1	0	1	3	0	3	1	3	0	1	0	2	2	0	1	0	0	0	0	0	4	1	0	1	0	0	0	2	0	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	2	1	0	0	2	5	9	3	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	8	46	0	1	0	0	2	0	0	0	0	0	0	15	0	1	0	0	0	0	0	3	0	1	2	0	0	0	3	0	1	0	0	0	2	3	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
denovo585	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	7	1	0	0	1	0	0	0	0	0	0	1	1	3	1	0	1	0	0	0	3	0	0	0	0	2	0	0	0	0	0	2	3	0	1	0	2	0	0	0	2	0	0	0	2	0	1	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	3	0	3	0	0	0	0	0	2	0	1	1	0	1	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo680	1	0	0	0	0	0	0	3	0	2	0	0	1	1	1	0	0	0	4	0	2	1	0	0	0	0	0	0	3	1	0	1	2	2	2	0	1	0	6	0	0	1	1	0	4	13	3	1	0	0	0	8	1	0	3	2	0	0	0	0	0	2	0	1	1	0	4	0	0	2	0	6	1	0	0	0	1	0	1	2	0	3	0	1	4	8	0	0	1	3	5	0	2	1	1	1	2	0	0	0	0	2	0	0	7	3	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	3	1	2	0	0	0	2	1	0	0	0	0	0	1	0	1	1	0	0	0	1	2	0	2	11	0	1	0	1	1	0	0	0	0	0	2	0	0	3	1	1	0	0	0	0	0	1	1	0	1	0	0	2	0	1	5	1	0	5	0	0	1	2	2	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo710	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	2	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	5	0	0	0	0	2	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	2	5	0	1	0	0	3	1	1	3	1	0	4	0	1	0	0	0	0	0	0	1	0	3	0	7	0	0	0	0	5	1	3	0	0	0	0	1	0	0	1	0	2	0	6	2	0	3	1	1	0	0	0	0	1	1	0	0	1	3	1	0	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	7	0	2	0	0	0	0	0	0	0	0	1	3	0	0	1	1	1	0	0	0	0	1	0	0	3	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo726	3	0	0	0	2	1	1	0	0	0	0	0	0	0	2	0	12	0	0	0	1	0	0	0	2	0	0	3	0	0	0	2	12	0	0	0	12	4	7	1	0	0	2	1	0	0	5	2	7	0	3	0	2	2	3	1	1	2	0	0	3	0	0	0	0	0	1	0	3	0	0	0	0	2	13	0	0	0	1	0	3	0	2	0	0	1	0	1	0	1	1	0	0	3	0	0	0	6	1	0	0	2	0	0	0	2	0	0	3	4	0	5	0	0	5	1	0	0	0	0	17	1	0	0	0	0	0	3	19	0	0	0	0	0	3	1	30	0	1	0	0	32	0	0	0	0	0	5	0	2	2	0	2	1	1	7	2	2	0	3	2	4	0	6	0	0	1	0	0	0	2	1	20	0	0	0	4	0	0	1	0	0	2	0	4	0	0	k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
denovo810	2	0	1	0	1	0	0	0	0	2	1	0	0	1	0	1	2	1	5	0	2	0	0	0	1	0	0	0	2	2	0	1	5	0	0	0	0	0	7	0	2	1	0	1	0	6	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	2	0	6	0	0	1	0	2	1	1	2	0	1	1	0	0	0	1	0	0	1	1	1	0	0	3	4	2	0	0	0	0	0	4	0	1	1	1	0	0	2	1	1	0	3	0	0	2	0	0	0	1	3	0	0	0	1	1	1	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	0	0	0	3	2	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo842	1	0	1	1	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	3	2	1	0	0	2	2	1	0	0	0	1	0	2	1	1	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	2	3	0	5	0	0	0	0	1	0	3	1	0	0	0	0	1	2	0	0	0	0	1	0	0	4	2	2	0	0	0	1	4	0	0	0	0	2	2	0	0	0	0	5	1	0	3	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	1	1	5	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo1139	2	0	0	1	0	1	0	0	0	0	2	0	1	3	1	0	1	0	1	1	0	0	0	0	1	1	0	2	0	0	0	0	2	0	0	0	0	3	0	4	1	0	1	0	0	5	0	0	0	0	2	0	2	0	1	0	0	1	2	1	1	2	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	3	0	0	1	0	0	2	2	0	1	0	1	4	2	2	0	13	0	0	0	2	0	0	0	0	0	0	1	0	5	0	0	2	0	1	0	1	1	1	2	1	0	0	0	1	0	0	1	2	0	1	0	0	1	0	1	1	1	0	0	1	0	0	2	1	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	2	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
denovo1462	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	2	0	0	0	0	1	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	2	0	1	1	1	0	2	1	0	0	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	2	1	1	0	0	2	0	0	0	0	0	1	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
denovo1705	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	1	0	0	1	0	1	0	0	0	1	0	1	1	2	0	0	1	0	1	2	1	0	1	1	4	0	0	1	0	0	3	5	0	1	0	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	2	1	0	0	1	0	1	1	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	7	1	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	4	0	2	0	0	0	0	0	0	0	1	0	4	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo1752	119	816	82	451	27	259	63	1262	73	856	665	95	84	1150	460	41	476	522	687	169	446	1615	203	174	383	347	912	1664	833	97	264	239	705	1371	255	264	509	1671	651	1676	2258	297	1518	457	172	1452	718	278	507	659	487	689	516	109	348	569	162	338	181	434	899	1393	851	519	967	138	667	99	56	75	1463	423	1588	294	448	221	295	40	375	436	949	862	348	1838	132	752	136	209	134	307	1709	131	741	320	120	117	222	301	20	1290	229	695	210	69	717	449	1597	431	1005	149	145	142	73	182	487	346	801	216	127	1105	1854	432	401	580	723	292	1000	1060	155	40	40	497	661	133	66	88	187	214	406	1064	105	1637	323	48	615	971	158	1343	71	240	152	310	165	594	73	1094	391	193	173	197	427	107	119	30	34	68	343	34	203	174	294	38	134	82	471	231	179	906	642	551	660	139	623	27	630	40	12	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo2519	0	1	0	1	0	2	0	3	0	0	0	0	0	0	0	0	1	2	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	2	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	3	0	1	1	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	3	0	1	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo3019	4	2	0	0	1	0	0	2	0	1	5	4	2	0	0	1	3	1	2	0	2	0	0	0	1	2	0	3	0	1	0	2	0	5	1	0	2	0	1	3	3	0	1	4	1	3	4	1	2	0	0	3	4	5	0	1	1	1	0	0	0	2	0	5	1	2	2	1	2	2	0	2	0	0	3	0	1	0	1	0	0	4	3	2	4	0	2	0	0	3	0	0	0	0	1	0	1	3	0	0	2	1	0	0	0	0	2	0	0	6	0	1	0	0	1	4	3	0	1	0	0	4	2	0	1	0	2	2	0	0	1	1	2	0	0	0	2	1	3	0	0	1	1	1	0	1	0	1	0	1	3	1	2	0	0	1	2	0	2	2	0	0	0	1	0	0	2	0	0	0	2	1	1	0	1	0	3	0	0	1	0	0	1	1	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo3067	8	4	1	13	0	3	0	13	0	7	2	1	0	4	3	9	4	11	7	0	5	23	2	2	10	0	16	11	8	0	2	4	4	12	3	1	5	54	8	24	25	4	29	10	14	13	1	2	2	5	9	7	14	1	10	1	0	3	17	1	2	9	10	5	5	1	11	1	4	3	5	8	4	2	1	0	5	2	16	3	7	11	1	6	2	24	7	9	0	6	15	2	9	3	7	1	7	6	0	2	8	11	3	3	3	3	5	2	5	3	1	3	1	8	14	2	21	10	0	17	53	7	17	9	3	7	7	6	5	2	0	4	2	1	3	3	9	1	11	14	4	36	5	3	7	16	1	8	1	3	2	2	1	5	1	16	4	13	1	8	0	8	4	1	0	0	0	2	3	4	21	1	5	1	2	2	2	4	6	9	2	2	4	1	4	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo3129	3	0	0	3	0	2	4	0	0	1	6	0	2	2	3	1	0	1	0	6	0	0	3	0	0	3	2	3	0	0	3	1	1	4	0	0	1	0	0	0	0	6	1	1	2	1	0	0	7	0	1	1	0	0	0	0	2	0	0	2	2	2	0	0	1	0	0	1	1	0	0	1	0	3	0	0	2	0	0	1	2	1	1	0	0	0	3	0	0	0	0	0	0	0	1	1	4	2	3	1	0	1	1	0	1	4	0	3	2	1	0	0	0	0	2	0	1	0	5	0	1	2	0	2	0	1	1	1	5	0	0	1	2	3	0	1	0	1	1	2	0	0	0	1	0	0	4	0	0	2	0	1	1	3	1	0	0	1	1	1	1	3	2	1	0	1	0	1	1	0	1	0	2	0	2	0	0	1	0	1	2	0	0	0	1	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
denovo3218	1	2	4	2	0	1	0	0	1	0	1	0	1	1	0	0	3	0	2	0	1	1	2	2	2	0	0	5	0	0	8	0	0	0	4	2	1	0	0	2	0	0	2	0	0	1	2	0	0	0	4	0	0	1	0	0	1	0	5	0	0	0	0	0	0	17	1	0	0	0	0	2	4	1	2	0	0	0	1	1	0	0	0	0	1	2	1	0	0	0	0	2	0	0	1	0	2	5	5	0	1	0	1	3	1	1	0	0	0	1	0	0	4	5	4	0	1	0	5	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	3	0	0	0	0	0	7	1	0	0	4	2	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	14	1	0	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
denovo3520	1	0	1	0	0	0	0	2	0	0	1	0	0	0	3	2	1	1	0	0	1	3	0	0	1	1	1	1	0	0	0	0	2	2	1	0	0	0	1	4	2	0	1	0	3	6	0	0	1	0	0	1	1	0	1	1	0	3	0	0	1	0	1	1	4	0	2	1	0	1	1	1	5	0	0	0	0	0	1	0	4	1	1	2	0	4	0	0	0	1	2	2	1	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	3	0	3	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	5	0	0	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	2	0	3	1	1	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo3850	0	0	1	2	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	1	1	0	0	1	0	1	3	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	0	1	2	0	3	1	2	0	2	1	1	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	1	0	0	0	1	2	0	2	0	0	1	0	1	1	1	1	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo3876	2	3	0	3	1	1	0	1	1	0	3	1	5	2	3	5	3	10	2	0	2	3	0	0	6	1	10	1	2	1	1	2	1	1	0	0	4	0	2	7	3	1	2	5	2	5	1	1	9	0	0	6	5	2	6	3	2	2	4	1	4	2	6	6	2	0	0	4	0	3	0	11	1	0	0	1	2	0	13	0	0	3	1	1	5	2	2	1	0	2	5	0	3	3	7	0	0	4	0	0	6	4	0	0	1	1	1	0	2	2	6	0	0	1	0	3	3	0	0	0	11	4	1	1	0	2	2	0	1	1	1	6	1	1	0	1	5	1	4	6	1	3	4	0	6	5	1	5	0	0	3	0	2	0	1	1	0	4	5	0	2	3	1	1	0	0	0	3	1	2	2	1	0	1	2	1	2	0	0	3	1	1	1	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo3996	1	0	2	0	1	0	0	2	0	2	2	5	2	0	4	1	0	1	5	1	1	1	1	3	8	1	10	3	1	5	0	3	1	5	1	0	0	6	0	0	2	2	3	2	0	12	1	0	5	0	3	0	2	2	5	3	1	3	1	0	0	4	2	3	0	1	1	0	1	3	3	0	4	3	1	0	2	1	4	0	2	11	2	2	2	8	1	1	0	2	4	0	3	1	3	0	4	4	0	0	5	4	1	0	1	0	0	3	2	0	0	2	0	1	3	2	6	4	0	4	4	5	10	0	0	4	0	1	1	0	1	1	1	0	1	0	3	1	6	6	1	5	1	2	1	2	0	4	0	2	1	1	0	0	1	3	1	3	2	0	1	0	1	0	0	2	3	3	0	1	1	1	3	0	2	0	10	0	0	2	0	2	0	0	0	1	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo4145	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	11	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	2	3	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	1	0	0	2	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	1	0	0	1	1	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo4465	2	4	0	1	0	0	0	2	1	0	0	5	0	0	0	2	3	2	2	1	1	0	0	0	1	0	0	1	2	1	1	0	0	3	0	0	1	1	0	0	0	2	0	1	2	4	2	1	1	0	1	1	0	1	0	1	3	2	1	2	3	1	2	5	3	0	2	3	1	1	3	1	3	0	3	0	1	0	1	0	0	3	0	0	4	0	1	0	0	1	0	0	0	3	2	1	0	0	0	1	1	5	0	1	0	0	1	0	0	6	0	2	0	0	1	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	1	1	0	2	2	0	2	1	0	0	0	2	5	0	3	0	1	0	2	2	1	2	2	0	0	1	0	1	0	1	0	1	0	1	2	4	0	2	4	2	0	0	1	0	1	0	0	0	0	Unassigned
denovo4681	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	1	0	0	0	0	2	0	0	1	2	1	0	0	0	2	0	0	3	0	1	1	0	0	0	1	1	1	1	0	0	2	1	0	0	0	1	0	0	0	1	0	2	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo5135	2	2	0	4	2	2	4	7	3	0	0	3	38	5	1	1	45	1	1	20	0	2	1	4	1	10	6	9	0	1	0	0	1	2	0	2	14	50	2	5	3	3	297	2	6	5	3	4	6	15	2	1	0	1	6	2	1	2	2	0	1	3	27	4	0	3	3	0	1	1	73	0	1	2	1	0	13	0	267	0	46	5	11	38	0	4	6	5	0	18	1	2	4	1	1	1	1	2	18	6	0	2	1	709	0	0	1	2	1	76	0	0	2	1	4	9	93	2	1	226	2	3	0	2	23	0	1	0	0	9	0	1	0	0	2	1	0	1	0	0	23	46	2	1	80	0	1	2	0	1	2	1	33	4	1	6	28	2	0	0	2	2	4	42	0	10	6	0	1	1	0	0	4	0	0	0	0	1	0	1	0	0	5	1	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
denovo5186	1	0	0	2	0	1	0	6	0	0	1	0	0	0	1	0	2	0	1	0	1	0	0	0	3	0	0	1	0	2	1	3	1	1	0	1	2	0	1	3	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	1	0	0	1	0	1	0	2	0	2	2	2	0	1	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	1	4	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	3	1	0	1	1	0	1	4	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__CF231; s__
denovo5599	2	0	0	4	0	2	1	12	0	6	10	2	1	4	0	2	9	7	11	1	14	4	2	2	5	3	6	4	14	2	2	6	8	19	1	4	0	7	12	12	13	5	14	11	4	45	4	2	3	1	6	18	8	6	0	4	1	9	5	0	7	12	7	2	8	3	10	3	0	2	7	5	8	4	3	0	6	1	7	5	1	5	9	1	7	9	1	0	0	11	40	1	4	1	0	2	1	5	1	7	3	10	0	1	12	7	2	4	8	2	0	2	0	4	1	7	11	8	0	9	15	5	10	3	0	5	7	9	2	0	0	0	2	0	1	4	0	2	11	2	3	8	1	0	4	19	3	6	0	5	2	8	5	0	1	6	13	3	0	1	3	0	1	0	0	3	0	2	1	1	7	1	1	0	4	3	5	3	1	8	3	0	7	2	7	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
denovo5728	1	0	0	8	0	3	0	0	1	0	2	0	0	1	0	0	0	3	1	0	0	0	4	1	0	1	0	0	0	0	3	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	3	1	0	0	1	0	1	0	0	2	1	0	0	0	1	1	0	0	1	1	0	9	1	1	1	3	0	0	3	3	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	1	0	5	1	1	0	0	6	0	0	0	7	0	0	2	5	0	0	0	0	1	0	0	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
denovo5729	1	1	1	0	0	3	0	1	0	0	1	0	0	1	0	2	0	1	1	0	4	5	0	1	0	0	0	0	1	0	0	1	3	2	1	1	2	0	5	2	0	0	1	4	1	2	0	1	3	1	0	1	1	1	6	1	1	2	0	0	0	2	0	0	7	1	3	2	0	3	0	1	2	0	0	0	4	0	2	1	0	0	0	1	3	11	1	0	0	0	6	0	3	0	1	0	1	3	0	1	0	2	0	0	1	1	1	0	0	0	2	1	0	2	1	0	0	0	0	0	0	1	1	1	0	0	1	3	5	0	0	1	3	0	1	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	1	0	1	1	0	0	2	1	1	1	0	0	0	0	0	3	0	0	1	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__
