,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,588_T2,589_T2,590_T2,591_T2,592_T2,593_T2,594_T2,595_T2,596_T2,597_T2,598_T2,599_T2,600_T2,601_T2,602_T2,603_T2,570_T5,571_T5,572_T5,573_T5,574_T5,575_T5,576_T5,577_T5,578_T5,580_T5,581_T5,582_T5,583_T5,584_T5,585_T5,586_T5,588_T5,589_T5,590_T5,591_T5,592_T5,593_T5,594_T5,595_T5,596_T5,597_T5,598_T5,599_T5,600_T5,601_T5,602_T5,603_T5
10,-1.396168242,-1.432958338,-1.461383053,-1.694964531,9.176294561,-1.403265256,-1.099959143,6.430082757,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,8.38251861,-1.175300967,-1.289860689,-1.159301768,9.907440616,9.764558876,-0.845977339,-0.917760763,5.88317831,-1.134309991,-1.279846504,-0.880188036,-0.746658736,9.487803983,-1.28730708,-1.147305082,-0.758122024,9.363324769,8.422235337,9.182373519,-1.501884982,7.738735818,-1.401786954,-1.462698598,8.609906668,-1.246204902,-1.267727629,8.70229191,9.343437909,8.651933972,-1.109369634,-1.401341112
11,-1.396168242,-1.432958338,6.397824802,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,7.503346052,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,6.834699541,-1.147305082,-0.758122024,-1.095191998,6.513511757,6.961004385,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
15,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,7.85147418,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
19,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,6.652276766,-1.113654966,-1.114843834,7.602606272,-1.722804201,-1.670544381,-1.78635712,7.173090333,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,8.567168081,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,9.046314225,7.755051419,5.974870654,-1.246204902,-1.267727629,-1.601453449,-1.264098419,6.190131457,7.872343192,6.766226215
29,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,7.741849312,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,6.623120402,-1.109369634,-1.401341112
33,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,7.408652751,-1.722804201,-1.670544381,5.523456549,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,8.326571511,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
35,8.222121622,-1.432958338,8.286203098,7.607579976,-1.234701535,8.26877459,-1.099959143,-1.713612575,9.091015654,-1.202343544,-1.16746645,9.160500824,-1.095789284,-1.105698796,-1.181044406,8.176872796,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,6.911499584,-1.087183182,8.212677562,-1.289860689,-1.159301768,8.351620579,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,8.098911275,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,8.095691179,6.874504174,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,8.0869378,7.132198012
38,-1.396168242,-1.432958338,8.078492886,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,5.461784505,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,7.163843766,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
46,-1.396168242,-1.432958338,-1.461383053,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,8.829121342,-1.095789284,-1.105698796,-1.181044406,-1.113654966,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,-1.28730708,-1.147305082,-0.758122024,-1.095191998,-1.291717891,-1.251780258,-1.501884982,-1.245910009,-1.401786954,-1.462698598,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
49,-1.396168242,-1.432958338,7.536601535,-1.694964531,-1.234701535,-1.403265256,-1.099959143,-1.713612575,-1.280469266,-1.202343544,-1.16746645,-1.038308245,-1.095789284,-1.105698796,-1.181044406,7.96338398,-1.114843834,-1.618668302,-1.722804201,-1.670544381,-1.78635712,-1.47666562,-1.445907806,-1.433267303,-1.579733147,-1.573596909,-1.553095334,-1.540074153,-1.73604326,-1.63720623,-1.53252932,-1.630984894,-1.087183182,-1.175300967,-1.289860689,-1.159301768,-1.319760603,-1.101901867,-0.845977339,-0.917760763,-1.584663851,-1.134309991,-1.279846504,-0.880188036,-0.746658736,-1.654642512,7.448685055,-1.147305082,-0.758122024,-1.095191998,-1.291717891,7.152567562,-1.501884982,-1.245910009,-1.401786954,7.38624749,-1.988021286,-1.246204902,-1.267727629,-1.601453449,-1.264098419,-2.07265407,-1.109369634,-1.401341112
