,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,588_T2,589_T2,590_T2,592_T2,593_T2,594_T2,595_T2,596_T2,597_T2,598_T2,599_T2,600_T2,601_T2,602_T2,603_T2,570_T5,571_T5,572_T5,573_T5,574_T5,575_T5,576_T5,577_T5,578_T5,580_T5,581_T5,582_T5,583_T5,584_T5,585_T5,586_T5,588_T5,589_T5,590_T5,591_T5,592_T5,593_T5,594_T5,595_T5,596_T5,597_T5,598_T5,599_T5
1bbef1070bedf0db507fb6c7b5c28fff,7.1107887,5.817860863,3.781326472,4.301329037,3.954115435,4.377897932,4.147578054,5.391280754,5.148919412,3.445879962,4.691787191,4.019194723,3.927569518,4.941263704,-0.697070457,7.658159912,4.278911419,5.75542032,5.36909916,4.900059238,4.046228218,2.599160899,5.787526733,5.806367124,5.403202252,4.771001073,5.44061759,3.708139861,3.462999671,2.979504474,2.659666906,4.215877792,3.765617343,4.274053458,3.797589145,3.334465362,3.542681158,-3.181054284,-3.101532009,3.835677503,2.423133038,3.609837372,5.106509033,4.665717341,2.699782267,4.238008215,4.764655497,4.083747477,-2.705916834,3.581056621,3.150386018,3.652237753,3.2255193,2.845962752,4.846763921,3.142642958,3.005762147,3.60475723,3.275733398
54843b106b5061dc17ca8f371d357b44,-1.190606613,5.80733445,4.139834597,4.251936282,3.83795446,4.387317154,3.893662844,5.487295408,5.196596835,3.85134507,5.064462476,4.334711594,4.054859755,5.089683709,-0.697070457,7.603555778,4.272177387,6.009550859,5.254090051,4.645103859,3.797531593,2.080036472,5.39340538,5.657551979,5.346650083,4.415476215,5.290136639,3.530981423,3.640241963,2.84446819,2.484491072,4.402414721,3.788410353,-3.250372803,3.680479737,3.324394783,3.664955396,3.232848331,-3.101532009,3.975700803,2.262013689,3.244939449,4.95949429,4.460008852,2.481915773,3.752500399,4.512254112,3.972521841,-2.705916834,3.52558954,3.325738906,3.577860783,3.107736264,2.407707821,4.677788606,3.095546274,3.253213533,3.873710318,3.376538097
ff3c4e848cb548750221af3deb5389dc,-1.190606613,5.377771791,4.237473066,3.732636031,3.310239303,3.994274566,3.745138667,5.421817478,4.823006935,3.299276487,4.754307548,4.466771316,3.852416795,4.833430999,7.256484488,-0.785196314,4.31839023,5.750331251,5.065655666,4.0060239,3.306124055,1.7923544,-2.150167952,5.105784965,5.114374048,3.967237291,4.732655324,3.147739451,3.31164034,2.641452042,2.535388719,4.441782504,4.146774011,-3.250372803,3.159501742,3.239956464,3.342720942,-3.181054284,-3.101532009,3.639228567,2.00869926,2.941848751,4.055570214,4.234805568,1.990634745,4.008433773,4.02347832,3.463532765,-2.705916834,3.400172879,3.16691532,3.216601767,2.745946219,2.10321863,4.353065262,2.466302896,3.60470264,4.227096277,3.46810529
646c18c31a1f6154773b7b8e64b5c658,7.060573831,5.535400735,4.009959515,3.987882827,3.467524782,4.02616793,3.883191544,5.999528491,4.811172478,3.299276487,4.921361633,4.08171508,3.900044844,4.997433976,7.295056763,-0.785196314,4.368715314,5.665173442,4.90254636,4.057317195,3.397931604,2.438099341,5.068072734,5.173118085,4.966320948,4.024681297,4.804628823,3.022026707,3.286947727,2.597447456,2.422480997,4.316619361,3.996225758,-3.250372803,3.544347563,3.448008739,3.191171044,-3.181054284,3.707701919,4.029951393,2.103190103,3.036594118,4.531144888,4.468205619,2.310065516,4.756496712,4.275974083,3.744310323,-2.705916834,3.559237574,2.895493769,3.245898137,2.843584689,2.274176428,4.636019193,2.521872747,3.424804487,3.986505812,3.381093913
5171cbfbcd1781f0d7e7a7bdb94fb126,7.026465774,5.665453863,4.045805647,4.025623155,3.687847457,3.970854292,4.018366322,5.231948716,4.650053129,-2.00327077,-1.207627805,4.126166842,3.812610545,4.909658365,-0.697070457,-0.785196314,4.107270872,5.654000142,5.055571547,4.11042702,3.603375578,2.185396988,5.096737117,5.331909144,4.976903057,4.247824848,4.946803312,3.339630459,3.134670292,2.643909045,2.449060635,4.154100432,3.610024702,-3.250372803,3.558140885,3.100745031,3.280956348,-3.181054284,-3.101532009,3.784278729,2.061342993,3.153749211,4.803078603,4.441316719,2.587933967,4.660422881,4.398337979,3.817758229,-2.705916834,3.619862196,3.207081362,3.378444793,2.974204871,2.600392165,4.733051284,2.795949167,3.135738331,3.592969275,3.308034342
74803c74b50392f83753468b9235c931,-1.190606613,5.478242321,4.207972402,4.111752309,3.555122841,4.0870563,3.845653625,5.724425201,4.694504891,3.650674374,4.868717899,4.002934202,3.781680244,4.843283296,-0.697070457,-0.785196314,4.202218798,5.760483622,5.133533088,4.0753357,3.397931604,2.080036472,4.899548926,5.327932996,4.944814743,4.088157361,4.958779503,3.24329935,3.2170616,2.695325032,2.490800241,4.126769538,3.97073191,-3.250372803,3.438215145,3.201792461,3.247150311,3.003662465,-3.101532009,3.460801854,2.00869926,2.85765666,4.248081761,4.203389371,2.317847656,3.570178842,4.182934052,3.603161738,-2.705916834,3.458767044,3.063374641,3.266678105,2.994407579,2.369486608,4.356204982,2.521872747,3.388897779,3.701486857,3.429884077
2a2bbfefccc170850029ee0b903a7301,-1.190606613,4.869652528,4.249033889,3.546050075,2.649527399,3.478808563,3.431958018,5.053256927,4.457893123,-2.00327077,4.813148048,3.9864049,4.116655475,4.712549108,7.316447953,-0.785196314,4.251698855,5.448950334,4.590958766,3.738863463,2.992466496,1.386889292,-2.150167952,4.589971799,4.766831588,3.556617532,4.479206423,2.621223612,3.097601556,2.432960767,2.368881306,4.227332671,3.90775711,-3.250372803,3.046173057,3.342449436,2.847399505,1.617368104,-3.101532009,3.250692521,1.561848935,2.596642834,3.720214672,4.335257147,2.102426151,3.958836832,3.859080279,3.089672997,-2.705916834,3.21093088,2.947861754,3.134981239,2.719970733,2.051032877,4.120442966,1.931379721,3.884118404,4.080603135,3.332190106
b90340baf132ddf80f4a342d544f1b03,-1.190606613,5.284086306,3.808477461,3.659073464,3.133397212,3.766490635,3.616343559,5.1265882,4.507490064,-2.00327077,4.971372053,4.050943421,3.885993091,4.734649455,-0.697070457,-0.785196314,4.176529312,5.36256572,4.829043898,4.024981814,3.4657542,1.914244217,4.856573563,5.03892202,4.847872798,3.864444171,4.858696045,3.02046786,3.17181742,2.562126584,2.308478685,4.014951047,3.582719251,-3.250372803,3.179704449,3.28517407,2.997880456,-3.181054284,-3.101532009,3.4342124,2.044101187,2.87107968,4.352981341,4.211336433,2.176534123,3.665489022,4.17153142,3.463532765,-2.705916834,3.168371265,3.063374641,3.302035323,2.79595664,2.274176428,4.47711791,2.317692396,3.41856097,3.672707892,3.218574984
e305ca72b43b91c7a701c947a71ef4b7,-1.190606613,4.935035288,3.995253368,3.546050075,2.56637703,3.494193482,3.367970309,5.116435829,4.523490405,2.919786866,4.515896525,4.066447608,4.026575042,4.660961739,-0.697070457,-0.785196314,4.272177387,5.462649178,4.524267392,3.763556076,3.266903342,1.7923544,-2.150167952,4.598270602,4.766831588,3.378936355,4.671097431,2.708041172,3.086971235,2.397490588,2.338220654,4.061727112,3.879871907,-3.250372803,3.011285798,3.162113978,2.913539307,-3.181054284,-3.101532009,3.372464393,1.681195693,2.560924752,3.780839294,4.224442781,1.447019298,3.832543107,3.699691243,3.166634038,-2.705916834,2.970715345,2.84023109,3.120209921,2.378221439,1.9959731,4.147841941,2.067955256,3.63710104,3.846477167,3.325004447
ad4f3211c1c7fd39e69c4a22600a9475,6.586970918,5.455936563,3.772109816,3.801155977,3.244967913,3.778051458,3.792345071,5.146588867,4.607189424,3.158197889,4.691787191,3.720701734,3.682698411,4.631108776,-0.697070457,-0.785196314,4.058281484,5.406690525,4.816250546,4.204953193,3.559572956,2.147175775,4.771193951,5.140018136,4.90036298,4.083591143,4.832027798,3.125516315,3.036882518,2.646360027,2.262138347,3.726329566,3.384352704,-3.250372803,3.252025111,3.08543861,3.026867992,2.451593883,-3.101532009,3.120239632,2.00869926,2.884324907,4.462895787,4.37411918,2.270219607,3.924350656,4.286251666,3.618993203,-2.705916834,3.21093088,2.947861754,3.336184983,2.820054192,2.316140628,4.507215941,2.466302896,3.11332843,3.317075158,3.093411841
5a3a6d477b5fb489d2f7317edcd9b9cc,6.453439525,5.310519564,3.167516033,3.75368944,3.076045916,3.560638581,3.559791389,5.085345242,4.607189424,-2.00327077,-1.207627805,3.804083343,3.890698982,4.437818188,-0.697070457,7.616230219,3.95709634,5.654000142,5.028172573,4.577192654,3.785697135,2.234187152,5.199582699,5.397191436,5.002878544,4.300767267,5.123082555,3.323630118,3.169008429,2.601296082,2.252207779,3.668286197,3.341242581,-3.250372803,3.370324809,2.917917017,3.019699503,-3.181054284,-3.101532009,3.35317119,2.01766793,2.935618201,4.534611096,4.282613413,2.167565453,3.464818327,4.222939386,3.534358818,-2.705916834,2.93016925,2.817241572,3.219300824,3.835974764,1.9959731,4.327586176,2.624526901,2.744028598,2.871764141,2.957279667
cf32fb1a1851ffab51de8b752990d321,-1.190606613,5.256935317,3.060270503,3.537466331,2.783723464,3.282435253,2.312468144,6.255053452,3.694541684,4.797488765,-1.207627805,-2.040760407,2.589849827,3.967814558,-0.697070457,-0.785196314,3.135694824,4.497568282,3.709017515,3.515719912,3.761599584,3.288167287,4.313290729,4.456440407,4.364607973,2.731045766,6.377287484,2.137168229,1.187303478,2.078447986,2.144849261,3.384580272,2.886105863,3.135355642,3.71911753,2.784819746,3.244280869,2.310515285,3.097936347,2.9557902,3.151371538,3.609837372,3.696498145,3.336395261,2.520630285,4.931155396,3.536306887,2.704010516,3.12468457,3.100929985,2.958014126,2.796160205,3.736344923,2.908483109,3.601649173,2.67215495,2.017544997,2.513927082,2.22879312
0f54807ebcdb7fa491db917beeb3595e,-1.190606613,4.254466889,3.060270503,3.554560765,2.680943595,3.33749503,2.325046926,-1.578472549,3.773184811,3.650674374,-1.207627805,-2.040760407,2.763513321,3.437186307,-0.697070457,-0.785196314,3.226208832,4.676909211,3.734659945,3.118036944,2.881240861,3.00737704,4.253095568,4.171927909,4.020338426,2.588625426,-1.47563311,1.960115785,1.329723818,2.032030814,2.122376405,3.680167524,3.075347862,3.085030558,3.585169558,2.808834623,3.147820603,2.64264912,3.105904517,3.012143137,2.836503325,3.276544788,3.144850527,3.31075283,2.211625443,-1.955394571,3.41200917,2.477593639,3.249247292,2.749226053,3.045025503,2.654956895,3.52503583,2.660410175,-2.732579634,2.437315359,2.129662296,2.613456678,2.304954481
3440e49bbd5cc4432ab49dd963d49bcd,-1.190606613,4.659931997,3.002001595,3.408848954,2.554748992,3.234116675,2.286825713,-1.578472549,3.471398132,4.343821555,-1.207627805,-2.040760407,2.572458084,4.488007932,-0.697070457,-0.785196314,3.186988118,5.528462397,3.734659945,3.045716283,3.603375578,3.386866662,4.260368327,4.722460983,4.829745413,2.237764452,5.13313289,1.814933775,1.626216521,1.466173871,1.415499032,2.787224157,2.843546248,2.31827156,2.999380895,1.909351009,2.539572866,2.490308395,2.960970492,2.053888206,2.848245143,3.053401237,3.422061299,2.262784275,2.576029064,4.055686658,2.384348617,2.971889961,3.536929365,2.671934379,2.997623264,2.659685036,3.399872687,3.298680745,2.947722705,2.427463063,1.324397817,-2.917106127,1.421453571
cc3ff094f1c3297ae1c88cab123ca109,-1.190606613,4.436788446,3.217112974,3.368843619,2.542984151,3.073343455,2.086155018,5.568420952,3.676192545,4.315650678,6.053590532,5.033723894,2.379554418,3.10868224,-0.697070457,-0.785196314,2.6248692,-1.426893769,3.807863349,2.868382268,3.658945429,3.012856506,4.234678841,4.58160355,-1.945441412,2.458005244,4.356604101,1.477419329,1.778485732,1.320618286,1.499433483,2.870221076,2.9335724,2.398314268,2.83721414,2.041840192,2.670193049,2.598197357,3.097936347,2.359269855,2.852128643,2.850876973,3.502913396,1.987372295,2.237158745,3.773119686,2.559797295,2.767322795,3.509530391,2.558605694,2.817241572,2.523454587,2.932532175,3.113277522,2.734148605,2.306581171,1.811208564,3.153329987,1.688768341
de99c650af737e28dff50e5c852ebb84,-1.190606613,-1.427705648,3.484427744,2.942759224,2.303434564,2.867491401,2.086155018,-1.578472549,3.493870988,-2.00327077,-1.207627805,-2.040760407,2.64028068,3.881872129,-0.697070457,-0.785196314,3.291348134,4.161096046,3.584719798,2.21903771,-2.352156274,2.521869224,3.775765899,3.466041703,3.873013712,2.3731058,-1.47563311,1.440240326,1.207506186,1.546522999,2.063880198,3.52732832,3.224560261,2.909139891,3.011285798,2.705355575,2.776573452,2.620670213,2.942451444,2.698245222,2.446663535,2.978438198,2.652374042,3.236644858,1.827483104,-1.955394571,2.881380919,2.227449486,3.18410799,2.757456552,2.611389518,2.444762318,3.107736264,2.274176428,1.726508095,2.024470144,2.608152539,3.083460307,2.587624011
280f71fdbdabf1d2c4fd57cb3e93ed43,-1.190606613,4.909392857,3.133029857,3.114609481,1.987796414,3.084904277,1.986071559,-1.578472549,3.137196044,3.836077598,-1.207627805,-2.040760407,2.336069306,-2.204650002,-0.697070457,-0.785196314,-2.703106237,4.762676033,3.613707335,-2.620044785,-2.352156274,2.438099341,-2.150167952,3.896824619,3.097174815,2.081195391,-1.47563311,1.23956963,1.558163057,1.139217963,1.557062596,2.979115164,3.194407222,2.231260183,2.198875196,2.091672566,2.204262745,2.451593883,3.031796544,2.100408221,2.233642992,2.424792577,2.531746054,2.057989862,2.03274623,-1.955394571,1.855089292,2.248283573,3.258215962,2.568556025,2.916771167,2.155129025,2.578892135,2.55828068,-2.732579634,1.724365551,2.106672777,2.623927977,1.556999063
37835e4fbbd6bb6b2f6dbbbad70f9372,-1.190606613,-1.427705648,3.060270503,3.316475634,2.554748992,2.793383428,2.020557735,-1.578472549,3.738993446,-2.00327077,5.872920503,-2.040760407,2.192968462,-2.204650002,-0.697070457,-0.785196314,2.676162495,5.496097112,-2.135373856,3.163499319,3.820788455,2.590862096,3.312796296,3.609142546,4.65713267,2.739856396,5.737448857,1.739221953,1.079672814,1.234025757,1.222987484,2.83418114,1.867536282,2.829097184,3.382645293,1.326551886,2.333720812,2.47756937,2.053812244,2.490605857,2.933958662,3.173650365,3.878819702,3.077821273,2.294317159,4.392158895,-2.855694646,2.615215017,3.050576598,2.902195398,2.916771167,2.402965189,3.476833728,2.753069005,2.503036884,1.59653218,1.389995099,-2.917106127,1.45320227
439e4f84c2a2e0c0f39e67ceabe0632a,-1.190606613,-1.427705648,2.616339114,3.305664717,2.906146879,3.381170093,2.51773127,-1.578472549,3.846091582,-2.00327077,-1.207627805,-2.040760407,2.112925755,-2.204650002,-0.697070457,-0.785196314,2.872277374,-1.426893769,3.831120211,3.163499319,3.970000853,3.271430494,3.832924313,4.050975299,4.466077434,2.525446524,5.551843225,1.424972854,1.246726899,0.958000769,1.206085673,2.054856263,2.459587346,1.870246837,3.537378894,1.341366971,2.204262745,2.411319984,2.276955795,2.053888206,2.233642992,2.672628741,3.172249501,-2.844033389,1.601169978,4.581779754,2.384348617,2.092413202,3.249247292,2.030972952,2.793711074,1.593558203,3.464411208,2.395129039,3.427295786,1.662490147,-3.579915257,1.930780797,1.625052527
7a82038a2a87643382fdc201dacb1009,-1.190606613,5.098186928,-2.568099859,3.283685811,2.303434564,3.494193482,3.090514768,4.16905451,-2.31159181,4.892798944,-1.207627805,3.605632404,2.084754878,-2.204650002,7.737661418,-0.785196314,2.801325638,-1.426893769,3.682700206,2.724132659,4.073379208,1.653517955,-2.150167952,-1.853035864,4.955625659,2.685789175,5.952912722,0.988255202,1.19745585,0.784908019,0.28409692,-2.90039442,2.836273489,2.939445241,-3.022848472,0.883059382,-3.513467181,-3.181054284,-3.101532009,-3.36067957,2.933958662,2.079952091,3.613116536,-2.844033389,1.979823829,4.937545194,2.856063111,-3.186448258,3.556996928,-3.213119584,-3.134894474,-3.661096075,-2.644645958,-3.311464472,2.839509121,-3.788303804,0.984529991,-2.917106127,1.869030165
97855d38c5ce75bc28db3201640ab0b2,5.87831955,4.477610441,2.940126191,3.190595388,2.361845326,3.310344041,2.52798777,4.315657984,-2.31159181,4.60333275,-1.207627805,4.744090602,2.911433451,3.744671007,6.910982845,-0.785196314,2.963844567,-1.426893769,3.819559389,3.163499319,3.736906971,1.810703538,3.775765899,4.437209045,3.467548604,2.79114969,-1.47563311,1.447787531,1.991407729,1.003315965,0.650722195,2.285967984,-3.096716431,3.183268997,3.068772889,1.465664688,1.997248575,2.80299177,2.884743127,1.59336332,-3.564643458,2.551792268,3.493157221,2.680519475,1.50108652,-1.955394571,3.070622919,1.878265214,2.909164943,-3.213119584,1.828630178,1.76900688,4.329408645,-3.311464472,2.634065147,2.243159345,1.217152287,2.548216156,-3.549154266
88b905e812e0d73b7a740796f1969218,-1.190606613,-1.427705648,-2.568099859,4.009622814,2.660109508,3.140784736,2.558140808,-1.578472549,3.471398132,4.588944013,-1.207627805,-2.040760407,-2.81090671,-2.204650002,-0.697070457,-0.785196314,-2.703106237,-1.426893769,-2.135373856,3.425863583,3.887479829,2.438099341,3.609780761,5.130356225,-1.945441412,2.360366774,5.917034434,1.353228949,1.187303478,1.24402584,1.194656977,2.150166443,2.043426948,2.411053293,2.668878826,1.756588255,1.966789368,-3.181054284,2.220866328,2.722937835,2.622179038,2.735641709,3.483304925,-2.844033389,2.04300273,-1.955394571,3.361747335,2.578847373,3.414914414,-3.213119584,-3.134894474,2.082222255,3.773732455,2.590029378,3.772797429,2.053669298,0.935739827,-2.917106127,1.165520197
4c7ad9177b8f808b98713da6557b7bf1,-1.190606613,6.266031009,-2.568099859,4.332952225,2.450038038,-2.656132707,-3.182932068,-1.578472549,4.457893123,-2.00327077,-1.207627805,4.310900946,-2.81090671,-2.204650002,-0.697070457,-0.785196314,-2.703106237,-1.426893769,-2.135373856,3.981809642,3.068452403,2.292006723,-2.150167952,-1.853035864,-1.945441412,2.657618298,-1.47563311,2.098701948,-3.901146864,0.418057747,0.610312657,-2.90039442,3.514714522,-3.250372803,3.640288857,-3.733330692,-3.513467181,-3.181054284,4.068715264,-3.36067957,1.765077177,3.787370412,-2.463470067,-2.844033389,2.176534123,5.29294544,3.440996707,3.935064279,-2.705916834,3.112490807,-3.134894474,-3.661096075,-2.644645958,-3.311464472,-2.732579634,1.7920242,-3.579915257,-2.917106127,-3.549154266
