,570_T2,571_T2,572_T2,573_T2,574_T2,575_T2,576_T2,577_T2,578_T2,580_T2,581_T2,582_T2,583_T2,584_T2,585_T2,586_T2,588_T2,589_T2,590_T2,591_T2,592_T2,593_T2,594_T2,595_T2,596_T2,597_T2,598_T2,599_T2,600_T2,601_T2,602_T2,603_T2,570_T5,571_T5,572_T5,573_T5,574_T5,575_T5,576_T5,577_T5,578_T5,580_T5,581_T5,582_T5,583_T5,584_T5,585_T5,586_T5,588_T5,589_T5,590_T5,591_T5,592_T5,593_T5,594_T5,595_T5,596_T5,597_T5,598_T5,599_T5,600_T5,601_T5,602_T5,603_T5
s_Bacteroides_caecimuris,7.032752314,6.168560085,6.457079916,6.966300856,7.200379995,6.185581934,7.427874415,6.902222047,5.856070132,6.101740887,6.054100229,6.576631031,6.770191073,6.53850656,6.077822642,6.796425818,7.154510279,6.212624967,5.808929467,6.119686796,6.972904935,7.009597481,6.780794658,6.982672085,6.788488072,6.300082263,6.875512689,5.833532625,6.62036925,6.099630941,6.931911743,6.599197668,6.062615528,6.223555475,6.354258302,6.119495265,6.397997051,6.246530492,7.017143532,6.179979121,6.157714147,6.495120119,6.813659271,6.124402656,6.831355633,6.996195213,5.706023472,6.474253558,6.407980296,6.567178501,6.252091553,6.574879793,6.365193824,6.88114256,6.822646635,6.70185858,6.714694879,6.932468048,6.508483152,6.88275587,6.622794382,7.131584416,6.62449158,6.089820999
s_uncultured_bacterium,6.551103557,6.053191306,6.158478504,6.332445522,6.681212026,6.044961451,6.543563745,5.920399244,6.122995179,5.791816398,5.604294661,5.968545044,6.456626438,6.1171096,5.731139676,6.386368718,6.521734105,6.094670529,6.000585256,5.978660139,6.466430035,6.472943874,6.714077603,6.441463322,6.442881543,6.105054399,6.55742951,5.767732838,6.514274407,6.012904511,6.411874941,6.364954935,6.160436329,6.184170407,6.095792341,6.41541622,6.441712583,6.46514217,6.28822159,6.08859098,6.37875216,6.314553721,6.200285149,5.933618043,6.364228298,6.519213306,5.672592439,6.422768499,6.403199502,6.180174183,6.113857271,6.348523761,6.483299344,6.488671663,6.39223965,6.045021971,6.482200277,6.4391296,6.522757149,6.570429882,6.373824274,6.338247675,6.474790947,6.135120359
s_Parabacteroides_sp._YL27,6.300660447,5.555307166,6.259767399,6.524848107,6.924304599,6.188938009,6.463129225,4.976851088,5.963044878,5.449728507,4.353022017,5.670227768,6.437133625,5.718077347,4.472043606,6.107259076,6.341674136,6.217687013,5.462160444,5.598294871,6.641318013,6.465803157,7.221360235,6.718933404,6.708022598,6.128190031,6.613500004,5.004437435,6.459678927,5.789485884,6.397098164,6.681648679,5.994536137,5.910430782,5.895425362,6.386807167,6.310998024,6.480541924,6.340289686,5.679569867,6.139549573,6.627125899,6.357497931,5.653518591,6.272144644,6.477992077,4.727552362,6.198369485,6.452249423,6.471419427,6.008442058,6.126645113,6.617425457,6.880310601,6.749128765,5.584935884,6.541023774,6.481779814,6.608596155,6.612080303,6.270848727,5.934016761,6.646012374,6.144473992
s_Muribaculum_intestinale,6.300206684,5.548003813,6.247047364,6.515641817,6.918751492,6.192305292,6.462227383,4.973276329,5.951315758,5.449634627,4.348123556,5.655966759,6.434139279,5.720909151,4.453515338,6.107124469,6.337032891,6.216748022,5.453864988,5.591261421,6.635294957,6.465069624,7.214922096,6.708328622,6.70259372,6.127724686,6.615165022,4.999444913,6.45253511,5.779434004,6.392223591,6.682567418,5.987310526,5.903882408,5.886930248,6.374802734,6.304085244,6.471169907,6.337991772,5.684184399,6.138719694,6.620248882,6.344031242,5.642177277,6.273505534,6.476671922,4.714864961,6.196964952,6.452864511,6.474537015,6.003153307,6.12221132,6.614613115,6.877254149,6.749289441,5.593002138,6.535871893,6.473109179,6.605568973,6.606367962,6.269794185,5.933012334,6.642790666,6.139034486
s_Bifidobacterium_pseudolongum,5.989910384,5.119542267,5.638008794,5.703834054,6.683022106,5.437204703,3.688887475,1.045314402,6.768713762,4.91210791,4.953318028,6.116185337,6.127044025,5.732831051,5.365485078,6.590853648,5.927816011,5.846815852,5.759428925,5.480668041,5.4152087,6.197619035,5.670244592,5.698438858,5.657160404,5.815697922,5.566378062,4.565371562,6.354942998,5.809567744,6.480795068,6.798145933,5.094172802,5.797723138,5.414268224,5.388227529,5.777043558,6.245409191,3.017613275,1.613234598,5.638436356,5.365662069,3.784533467,4.281432929,3.257173999,5.456198278,2.863274268,6.29612237,4.554092548,5.642459577,4.70966471,4.797211198,5.647058384,6.071004388,5.771734117,5.71171458,6.751347544,6.594871713,7.263319505,6.872011007,5.891174478,5.448800973,6.306774337,5.506438674
s_Lachnoclostridium_sp._YL32,4.894034075,6.119430898,5.47478503,5.523981003,4.528834214,5.676606444,5.027482744,6.108213478,6.03875482,6.037965329,6.3482946,5.983676078,4.709328063,5.638095797,6.266063792,4.83122605,5.540302653,5.61501928,5.607698689,5.558570052,4.660845239,5.038054495,4.277449912,4.091284278,4.91193299,5.431959845,4.715797384,6.480649742,4.642856418,5.66317737,4.748605344,4.787457073,5.428760729,6.012988453,6.123703541,5.173072769,5.295565871,5.077092449,5.657572478,6.488343488,5.247796326,5.146218652,5.686198119,5.740107642,4.86037035,5.253230197,6.294733644,5.022557061,5.104844417,5.459891145,5.725332544,5.840171531,4.509818842,4.902165733,4.637955921,5.943380363,5.269766319,4.707007775,5.137254489,4.995618212,4.924489685,5.676836776,4.914610598,5.622130928
s_Parabacteroides_sp._CT06,6.219927478,4.478204158,5.081104687,5.489220443,5.676721189,4.712153299,5.827719277,5.402712884,4.766039704,4.325362634,4.836333807,5.062115734,5.310705784,5.324767525,4.603592669,6.245308461,5.301177002,4.819521469,5.318337631,5.390112299,5.542480187,5.193835209,5.173922769,5.676035977,5.278181626,5.265475941,5.666231055,4.425648712,5.83010826,5.202639703,5.29944648,5.311264624,5.271923691,4.832196744,5.331301074,5.281063488,5.17447016,5.132526769,6.038972147,5.432656528,5.62701267,4.903077548,5.468725091,5.64777537,5.694193288,5.183801442,4.497845821,5.574015421,5.910998514,5.774612826,4.863608141,5.346256762,5.369166072,5.26580395,5.40553562,5.709538412,5.818820786,6.014030198,5.787850231,5.480672231,5.881391607,5.651187034,5.314073056,4.577718348
s_Parabacteroides_distasonis,6.124812718,4.275848947,4.917454885,5.347399885,5.497816344,4.528434055,5.689326561,5.282933471,4.620751633,4.154762318,4.736034772,4.944603738,5.16266957,5.201694484,4.472604431,6.155133337,5.136571177,4.630510134,5.212015218,5.3073087,5.356191305,4.999530786,4.931436685,5.548148932,5.104286706,5.142371837,5.514575982,4.298804431,5.677704649,5.080267023,5.103606853,5.141445533,5.149108985,4.65756101,5.217754124,5.124689077,5.008815288,4.947464738,5.939599976,5.328234988,5.51641111,4.685943419,5.331613769,5.562682617,5.567633892,4.987746678,4.364021195,5.415780514,5.791360252,5.665828513,4.676304898,5.206685374,5.206400219,5.081272594,5.217922007,5.632646821,5.677252694,5.899445236,5.672440903,5.344204263,5.750978178,5.540493813,5.134366753,4.332341171
s_Alistipes_shahii,5.70133261,5.124668769,4.927028033,5.271575123,5.598174159,4.704833264,5.493335237,4.60027802,4.570903153,4.864114278,3.720590845,4.894899215,5.500363546,4.942875067,5.264195914,5.468919135,5.220401636,4.658141774,4.759163045,4.834039312,5.220273869,5.604978227,5.512256957,5.296396796,5.361676646,4.946177426,5.317823099,3.963279521,5.473441158,4.833935272,5.558733112,5.225442187,4.752686507,5.62668289,5.401922694,4.910148655,5.179554194,5.095161998,5.392660105,5.016009384,4.958873067,5.036930266,5.023621755,5.015289446,5.368805381,5.332712508,3.737911427,5.50145572,5.046008678,5.043456991,4.466039848,4.943156316,5.118340608,5.06834985,5.454362745,4.772978281,4.839318738,5.423788848,5.076546284,5.285974949,5.061590097,5.353297376,5.027948953,4.607924644
s_Bacteroides_xylanisolvens,5.600617588,4.67196395,4.925422118,5.368968196,5.628103767,4.588835715,5.952509068,5.648631495,4.338908314,4.676698978,4.691454085,5.002145485,5.281117608,5.169856979,4.529624279,5.492156062,5.6378761,4.554531248,4.313000805,4.666543988,5.464977424,5.569632098,5.000332914,5.60963986,5.173419526,4.737731363,5.28226542,4.332519651,5.259787702,4.753314923,5.475245058,5.052842599,4.464834574,4.63141335,4.922484224,4.450485714,4.84105997,4.608487664,5.531830727,4.572553798,4.582990533,4.853339901,5.344844788,4.585468379,5.403210915,5.518026056,4.044430371,4.963383276,4.855824262,4.915193121,4.640607078,5.125304068,4.757338298,5.413218546,5.184431699,5.230704487,5.139105776,5.307700374,4.912236493,5.432333053,5.063505862,5.727620079,5.004203283,4.413404733
s_Alistipes_finegoldii,5.585319561,4.982213118,4.775948168,5.114304404,5.451696121,4.491800679,5.377569078,4.4747657,4.41555673,4.757816599,3.607824213,4.689496888,5.358556349,4.759347468,5.116881211,5.311316262,5.110699214,4.553148414,4.590926007,4.726012238,5.113899137,5.495256393,5.366754757,5.175204928,5.176842153,4.787436397,5.156897856,3.784513837,5.297903315,4.581134805,5.40618779,5.086148597,4.640797085,5.46860944,5.290913349,4.734855927,5.016426463,4.928363941,5.28372299,4.882810015,4.814243272,4.851829598,4.912898603,4.750230437,5.220924567,5.202207801,3.649656794,5.336069462,4.920958843,4.915353577,4.313958417,4.771874379,5.036421551,4.967411422,5.27451765,4.652708634,4.690143215,5.298570868,4.950056774,5.163557209,4.918637503,5.258242022,4.884576831,4.443407628
s_Bacteroides_vulgatus,5.253855534,3.851906062,4.469915037,5.232742602,5.27338006,4.254552721,5.606725274,4.806767752,3.982415159,3.604824507,3.583833534,4.327097643,4.758499398,4.800150189,3.8276175,6.536777462,4.859568279,4.017788725,4.141048862,4.073308185,4.660669659,4.702724844,4.947066934,4.669930304,4.701099567,4.094382796,4.757433663,3.401196382,6.245627684,4.873610602,4.759980648,4.572833151,4.652239451,4.196267006,4.208695021,5.089998335,5.20627685,4.783845645,5.520066402,4.486943599,5.308830571,4.500671089,4.730266037,4.698816791,5.498877273,5.253096728,3.50554921,6.055647041,5.851831662,4.972024601,4.65287954,4.713041109,4.981179612,5.178624153,4.757972296,5.030401912,4.788659125,5.105157257,4.776787436,5.188236368,6.027841089,5.461842127,4.668427371,4.18013382
